Cell,Subclass,Ensembl,Gene,Coefficient
Microglia,Microglia,ENSMUSG00000028832,Stmn1,0.2504772800995935
Microglia,Microglia,ENSMUSG00000037894,H2az1,0.2358957481555276
Microglia,Microglia,ENSMUSG00000023004,Tuba1b,0.2231856023240641
Microglia,Microglia,ENSMUSG00000001525,Tubb5,0.17450767666272382
Microglia,Microglia,ENSMUSG00000054717,Hmgb2,0.15362434429934524
Microglia,Microglia,ENSMUSG00000027342,Pcna,0.13938023875297484
Microglia,Microglia,ENSMUSG00000066551,Hmgb1,0.13932100121972002
Microglia,Microglia,ENSMUSG00000062248,Cks2,0.13617992492883216
Microglia,Microglia,ENSMUSG00000060860,Ube2s,0.1340153572251468
Microglia,Microglia,ENSMUSG00000030654,Arl6ip1,0.13316782461761534
Microglia,Microglia,ENSMUSG00000079017,Ifi27l2a,0.12079643720399053
Microglia,Microglia,ENSMUSG00000022033,Pbk,0.1203602876929852
Microglia,Microglia,ENSMUSG00000034855,Cxcl10,0.1140622999172204
Microglia,Microglia,ENSMUSG00000031004,Mki67,0.11344794498969822
Microglia,Microglia,ENSMUSG00000017716,Birc5,0.11252330211560009
Microglia,Microglia,ENSMUSG00000008690,Ncaph2,0.1070335016860386
Microglia,Microglia,ENSMUSG00000021025,Nfkbia,0.10666557038597638
Microglia,Microglia,ENSMUSG00000029430,Ran,0.10648792103539768
Microglia,Microglia,ENSMUSG00000036752,Tubb4b,0.10535468341264832
Microglia,Microglia,ENSMUSG00000022021,Diaph3,0.10425559471733273
Microglia,Microglia,ENSMUSG00000092341,Malat1,-0.2795468811631685
Microglia,Microglia,ENSMUSG00000091971,Hspa1a,-0.14598989719105224
Microglia,Microglia,ENSMUSG00000007891,Ctsd,-0.14488790394915232
Microglia,Microglia,ENSMUSG00000024610,Cd74,-0.13944561070979353
Microglia,Microglia,ENSMUSG00000034892,Rps29,-0.13918667348464087
Microglia,Microglia,ENSMUSG00000025351,Cd63,-0.1324945461819649
Microglia,Microglia,ENSMUSG00000090733,Rps27,-0.1284408363746007
Microglia,Microglia,ENSMUSG00000090137,Uba52,-0.12125193264560515
Microglia,Microglia,ENSMUSG00000021250,Fos,-0.119714020517968
Microglia,Microglia,ENSMUSG00000059498,Fcgr3,-0.11541037554279249
Microglia,Microglia,ENSMUSG00000021939,Ctsb,-0.10806479432989559
Microglia,Microglia,ENSMUSG00000027447,Cst3,-0.10642785688392128
Microglia,Microglia,ENSMUSG00000067288,Rps28,-0.10592240116482725
Microglia,Microglia,ENSMUSG00000064373,Selenop,-0.10576615709091065
Microglia,Microglia,ENSMUSG00000021270,Hsp90aa1,-0.10134366728645933
Microglia,Microglia,ENSMUSG00000050708,Ftl1,-0.10075394311648428
Microglia,Microglia,ENSMUSG00000024661,Fth1,-0.09360975161640059
Microglia,Microglia,ENSMUSG00000037902,Sirpa,-0.09142016417354
Microglia,Microglia,ENSMUSG00000004207,Psap,-0.09040675366959144
Microglia,Microglia,ENSMUSG00000045962,Wnk1,-0.09033357841974672
