Name	Major_Name	Marker	Ensembl	Coefficient
AC	AC	Synpr	Synpr	0.5936472906784561
AC	AC	Asic2	Asic2	0.5613106251113942
AC	AC	Frmd5	Frmd5	0.5577469117432072
AC	AC	Slc32a1	Slc32a1	0.5513312245693966
AC	AC	Gad1	Gad1	0.5173637207255922
AC	AC	Gria4	Gria4	0.5002836713639363
AC	AC	Tfap2b	Tfap2b	0.4856902354902104
AC	AC	Grik2	Grik2	0.47604455512911215
AC	AC	Grm8	Grm8	0.45408015314462985
AC	AC	Anks1b	Anks1b	0.4505393387216083
AC	AC	C1ql1	C1ql1	0.4416897527649976
AC	AC	Slc6a9	Slc6a9	0.4268344991711882
AC	AC	Slc6a1	Slc6a1	0.40243518626555613
AC	AC	Ptprk	Ptprk	0.38984465177001376
AC	AC	Nckap5	Nckap5	0.3643195475480677
AC	AC	Lhfp	Lhfp	0.3531588470501861
AC	AC	Prkg1	Prkg1	0.34829289371802435
AC	AC	Pcp4	Pcp4	0.3436921679518496
AC	AC	Cxcl14	Cxcl14	0.34350884444630514
AC	AC	Dlgap1	Dlgap1	0.3431288745752166
AC	AC	Rbpms	Rbpms	-0.8010418306100311
AC	AC	Nefl	Nefl	-0.5817642526010882
AC	AC	Sncg	Sncg	-0.5792926280814945
AC	AC	Rbms3	Rbms3	-0.5387113544549771
AC	AC	Nrn1	Nrn1	-0.48802239920300344
AC	AC	Galntl6	Galntl6	-0.4777479250389265
AC	AC	Nefm	Nefm	-0.4774021467042784
AC	AC	Gng13	Gng13	-0.46736418293605375
AC	AC	Thsd7b	Thsd7b	-0.4668876863185521
AC	AC	Marchf1	Marchf1	-0.44879168416294807
AC	AC	Cst3	Cst3	-0.4239585145230981
AC	AC	D130079A08Rik	D130079A08Rik	-0.4133540635476286
AC	AC	Zfp804b	Zfp804b	-0.3922931781613884
AC	AC	Clstn2	Clstn2	-0.38689513341503223
AC	AC	Pcp2	Pcp2	-0.3859970830131782
AC	AC	Lhfpl3	Lhfpl3	-0.37889545865330987
AC	AC	Ebf1	Ebf1	-0.36697750791210276
AC	AC	Rbpms2	Rbpms2	-0.3637543687029385
AC	AC	Thy1	Thy1	-0.35452881593843455
AC	AC	Kcnd2	Kcnd2	-0.34660349377846045
Astrocyte	Astrocyte	Hspa1a	Hspa1a	0.42758181098640524
Astrocyte	Astrocyte	Eftud2	Eftud2	0.4056064131040732
