Major_Name	Name	Ensembl	Marker	Coefficient
AC	AC	ENSMUSG00000092094	Zfp804b	0.5758793705497713
AC	AC	ENSMUSG00000056158	Car10	0.4177015079343672
AC	AC	ENSMUSG00000025400	Tac2	0.3044613729568932
AC	AC	ENSMUSG00000098682	Otx2os1	0.28100705124839004
AC	AC	ENSMUSG00000045103	Dmd	0.2571999994607542
AC	AC	ENSMUSG00000063063	Ctnna2	0.2488133180130109
AC	AC	ENSMUSG00000029088	Kcnip4	0.23989148421766243
AC	AC	ENSMUSG00000027500	Stmn2	0.23580115950429206
AC	AC	ENSMUSG00000021730	Hcn1	0.2324095936765196
AC	AC	ENSMUSG00000055639	Dach1	0.2096680558321498
AC	AC	ENSMUSG00000028399	Ptprd	0.20735691099173967
AC	AC	ENSMUSG00000015090	Ptgds	0.20702138493912525
AC	AC	ENSMUSG00000026347	Tmem163	0.2064987879325255
AC	AC	ENSMUSG00000096914	Galntl6	0.20062492671256338
AC	AC	ENSMUSG00000009394	Syn2	0.199195991798958
AC	AC	ENSMUSG00000025889	Snca	0.18685362326172392
AC	AC	ENSMUSG00000039114	Nrn1	0.18426481867128136
AC	AC	ENSMUSG00000026335	Pam	0.17903744427938642
AC	AC	ENSMUSG00000047907	Tshz2	0.17807732487092878
AC	AC	ENSMUSG00000027200	Sema6d	0.17424221457779707
AC	AC	ENSMUSG00000092341	Malat1	-0.7103325839889695
AC	AC	ENSMUSG00000020704	Asic2	-0.3456514600566765
AC	AC	ENSMUSG00000066392	Nrxn3	-0.3181649809130019
AC	AC	ENSMUSG00000016559	H3f3b	-0.28254259682036886
AC	AC	ENSMUSG00000034813	Grip1	-0.2645776237765815
AC	AC	ENSMUSG00000064341	mt-Nd1	-0.2642629210486549
AC	AC	ENSMUSG00000025892	Gria4	-0.24461563951774257
AC	AC	ENSMUSG00000025927	Tfap2b	-0.23149441747054697
AC	AC	ENSMUSG00000024211	Grm8	-0.23064521030186572
AC	AC	ENSMUSG00000033981	Gria2	-0.22972504596408755
AC	AC	ENSMUSG00000027827	Kcnab1	-0.22700537853638894
AC	AC	ENSMUSG00000098243	Gm4258	-0.22645166310800988
AC	AC	ENSMUSG00000033307	Mif	-0.2234411800587314
AC	AC	ENSMUSG00000037605	Adgrl3	-0.21700964436768547
AC	AC	ENSMUSG00000039714	Cplx3	-0.2148038780592018
AC	AC	ENSMUSG00000036478	Btg1	-0.21471514182221796
AC	AC	ENSMUSG00000034892	Rps29	-0.21029119361964058
AC	AC	ENSMUSG00000030092	Cntn6	-0.20691604321651974
AC	AC	ENSMUSG00000021359	Tfap2a	-0.2048758427527542
AC	AC	ENSMUSG00000037771	Slc32a1	-0.20331937428191446
AC	AC_1	ENSMUSG00000029838	Ptn	0.8634078077784331
AC	AC_1	ENSMUSG00000031558	Slit2	0.8141313909237414
AC	AC_1	ENSMUSG00000025128	Bhlhe22	0.750527324649728
AC	AC_1	ENSMUSG00000047161	Chst9	0.6999332496454238
