Major_Name	Name	Ensembl	Marker	Coefficient
BC	BC	ENSMUSG00000052305	Hbb-bs	0.6995315994938448
BC	BC	ENSMUSG00000069919	Hba-a1	0.6098021546173018
BC	BC	ENSMUSG00000002985	Apoe	0.6077645040600109
BC	BC	ENSMUSG00000069917	Hba-a2	0.5782032429910942
BC	BC	ENSMUSG00000026473	Glul	0.4811089481410169
BC	BC	ENSMUSG00000073940	Hbb-bt	0.4013951658665166
BC	BC	ENSMUSG00000027447	Cst3	0.3660358764960041
BC	BC	ENSMUSG00000049775	Tmsb4x	0.22780737205782545
BC	BC	ENSMUSG00000018593	Sparc	0.22252567373384194
BC	BC	ENSMUSG00000024661	Fth1	0.2151558565217663
BC	BC	ENSMUSG00000050708	Ftl1	0.21198925875859104
BC	BC	ENSMUSG00000026385	Dbi	0.19188087352540048
BC	BC	ENSMUSG00000060126	Tpt1	0.19149735214175279
BC	BC	ENSMUSG00000039194	Rlbp1	0.18775060896089532
BC	BC	ENSMUSG00000022037	Clu	0.1785534357341534
BC	BC	ENSMUSG00000052387	Trpm3	0.17739638010549094
BC	BC	ENSMUSG00000032883	Acsl3	0.17545540574886814
BC	BC	ENSMUSG00000063524	Eno1	0.1732169095259477
BC	BC	ENSMUSG00000020704	Asic2	0.1729639497369534
BC	BC	ENSMUSG00000060988	Galnt13	0.16674697051164464
BC	BC	ENSMUSG00000092341	Malat1	-0.29667489212429526
BC	BC	ENSMUSG00000066392	Nrxn3	-0.28766887647741735
BC	BC	ENSMUSG00000004630	Pcp2	-0.25133047859806734
BC	BC	ENSMUSG00000037161	Mgarp	-0.2390385821361474
BC	BC	ENSMUSG00000064370	mt-Cytb	-0.23461048472029758
BC	BC	ENSMUSG00000005649	Cabp5	-0.23282053837460545
BC	BC	ENSMUSG00000090223	Pcp4	-0.22862997892000622
BC	BC	ENSMUSG00000064351	mt-Co1	-0.21321030516462322
BC	BC	ENSMUSG00000022935	Grik1	-0.21035190186447472
BC	BC	ENSMUSG00000109394	A230057D06Rik	-0.20118142471577002
BC	BC	ENSMUSG00000056158	Car10	-0.20062456470552817
BC	BC	ENSMUSG00000019943	Atp2b1	-0.1875464103672329
BC	BC	ENSMUSG00000035864	Syt1	-0.18234086212264067
BC	BC	ENSMUSG00000092094	Zfp804b	-0.1767612680787067
BC	BC	ENSMUSG00000045776	Lrtm1	-0.17412824134959082
BC	BC	ENSMUSG00000032249	Anp32a	-0.17269145644563771
BC	BC	ENSMUSG00000034891	Sncb	-0.17201777454156594
BC	BC	ENSMUSG00000004980	Hnrnpa2b1	-0.16649119536382667
BC	BC	ENSMUSG00000022876	Samsn1	-0.1602784044085266
BC	BC	ENSMUSG00000029663	Gngt1	-0.1572758106599461
BC	BC1A	ENSMUSG00000035566	Pcdh17	0.6062935740352359
BC	BC1A	ENSMUSG00000031558	Slit2	0.40310753127161425
BC	BC1A	ENSMUSG00000057132	Rpgrip1	0.3164983170207631
BC	BC1A	ENSMUSG00000017723	Wfdc2	0.26159756689316144
BC	BC1A	ENSMUSG00000010803	Gabra1	0.25258516984665685
BC	BC1A	ENSMUSG00000075330	A930003A15Rik	0.23019272899262758
BC	BC1A	ENSMUSG00000021743	Fezf2	0.22945719524198954
BC	BC1A	ENSMUSG00000026109	Tmeff2	0.2124929127846498
BC	BC1A	ENSMUSG00000029212	Gabrb1	0.20591544244558274
BC	BC1A	ENSMUSG00000028172	Tacr3	0.19129596672846938
BC	BC1A	ENSMUSG00000021268	Meg3	0.18221642619824235
BC	BC1A	ENSMUSG00000022836	Mylk	0.18181238103380734
BC	BC1A	ENSMUSG00000038388	Pals2	0.1737334850248512
