Name	Major_Name	Marker	Ensembl	Coefficient
10_Novel	RGC	Ano3	Ano3	0.6673518747277285
10_Novel	RGC	Pcdh9	Pcdh9	0.5728070490738159
10_Novel	RGC	Pou6f2	Pou6f2	0.45104021884079826
10_Novel	RGC	Tafa1	Tafa1	0.433950381
10_Novel	RGC	Sdk1	Sdk1	0.3996934786998421
10_Novel	RGC	Tmeff2	Tmeff2	0.38259913999572626
10_Novel	RGC	Robo1	Robo1	0.3805874912025413
10_Novel	RGC	Fat3	Fat3	0.3192984172946548
10_Novel	RGC	Nlgn1	Nlgn1	0.3176238667556517
10_Novel	RGC	Ntng1	Ntng1	0.3174504666543031
10_Novel	RGC	Mgat4c	Mgat4c	0.3090731314296963
10_Novel	RGC	Hcn1	Hcn1	0.29955762113255957
10_Novel	RGC	Alk	Alk	0.29482218129543053
10_Novel	RGC	Cdh6	Cdh6	0.2887889484234913
10_Novel	RGC	Calb1	Calb1	0.2765985877417821
10_Novel	RGC	Nell1	Nell1	0.27191782483398624
10_Novel	RGC	Sema6a	Sema6a	0.2508559073205011
10_Novel	RGC	Spock1	Spock1	0.24108520023870714
10_Novel	RGC	Pde11a	Pde11a	0.23350277774695852
10_Novel	RGC	Nxph1	Nxph1	0.2319725580341582
10_Novel	RGC	Calb2	Calb2	-0.786966104
10_Novel	RGC	mt-Nd1	mt-Nd1	-0.468227623
10_Novel	RGC	Ralyl	Ralyl	-0.390584794
10_Novel	RGC	Scg2	Scg2	-0.35249303
10_Novel	RGC	Cplx2	Cplx2	-0.348819524
10_Novel	RGC	Zfp804b	Zfp804b	-0.335358486
10_Novel	RGC	Kcnip4	Kcnip4	-0.329630714
10_Novel	RGC	Galntl6	Galntl6	-0.324670278
10_Novel	RGC	Ftl1	Ftl1	-0.314875958
10_Novel	RGC	Actb	Actb	-0.301220128
10_Novel	RGC	Nrg1_ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	-0.278194817
10_Novel	RGC	Lrrtm4	Lrrtm4	-0.274297806
10_Novel	RGC	Sorcs1	Sorcs1	-0.251057346
10_Novel	RGC	Unc5d	Unc5d	-0.250147693
10_Novel	RGC	Pcdh7	Pcdh7	-0.249169049
10_Novel	RGC	Gm32647	Gm32647	-0.247271635
10_Novel	RGC	Cntnap2	Cntnap2	-0.247012841
10_Novel	RGC	Kcnd2	Kcnd2	-0.246880216
10_Novel	RGC	Frmd5	Frmd5	-0.244994934
10_Novel	RGC	Synpr	Synpr	-0.233731982
11_Novel	RGC	Tac1	Tac1	0.7720125688076257
11_Novel	RGC	Chrm3	Chrm3	0.7234314733506715
11_Novel	RGC	Pvalb	Pvalb	0.6636709086749791
11_Novel	RGC	Ebf3	Ebf3	0.6226131
11_Novel	RGC	Pex5l	Pex5l	0.6082914431170783
11_Novel	RGC	Sdk1	Sdk1	0.4567565213037532
11_Novel	RGC	Sgcz	Sgcz	0.4346862656757263
11_Novel	RGC	Calb2	Calb2	0.42401465602692234
11_Novel	RGC	Lingo2	Lingo2	0.41774569891533875
11_Novel	RGC	Hs6st3	Hs6st3	0.40251952406272146
11_Novel	RGC	Cntn5	Cntn5	0.3800498916080428
11_Novel	RGC	Cplx2	Cplx2	0.3752457345895319
11_Novel	RGC	Nrn1	Nrn1	0.3680128214096507
11_Novel	RGC	Gm17750	Gm17750	0.36664101096049306
11_Novel	RGC	Sox6	Sox6	0.3541562738392977
11_Novel	RGC	Ntng1	Ntng1	0.3306433209166167
11_Novel	RGC	Adcy2	Adcy2	0.3014892116084765
11_Novel	RGC	Kcnd3	Kcnd3	0.27583919808639135
11_Novel	RGC	Tenm1	Tenm1	0.2742002913092089
11_Novel	RGC	Galntl6	Galntl6	0.2566621138635575
11_Novel	RGC	Ebf1	Ebf1	-0.711993119
11_Novel	RGC	Rbfox1	Rbfox1	-0.605169193
11_Novel	RGC	Aldoc	Aldoc	-0.542692704
11_Novel	RGC	Kcnip4	Kcnip4	-0.538325643
11_Novel	RGC	Pcdh7	Pcdh7	-0.531580266
11_Novel	RGC	Kcnd2	Kcnd2	-0.50941549
11_Novel	RGC	Asic2	Asic2	-0.494294367
11_Novel	RGC	Lrrc4c	Lrrc4c	-0.444309697
11_Novel	RGC	Reln	Reln	-0.408361794
