Name	Major_Name	Marker	Ensembl	Coefficient
AC	AC	Anks1b	Anks1b	0.4505393387216083
AC	AC	Asic2	Asic2	0.5613106251113942
AC	AC	Dlgap1	Dlgap1	0.3431288745752166
AC	AC	Frmd5	Frmd5	0.5577469117432072
AC	AC	Gria4	Gria4	0.5002836713639363
AC	AC	Nckap5	Nckap5	0.3643195475480677
AC	AC	Prkg1	Prkg1	0.3482928937180243
AC	AC	Ptprk	Ptprk	0.3898446517700137
AC	AC	Synpr	Synpr	0.5936472906784561
AC	AC	Tfap2b	Tfap2b	0.4856902354902104
Astrocyte	Astrocyte	Aldoc	Aldoc	0.1715274790647063
Astrocyte	Astrocyte	Atf3	Atf3	0.2270114608110778
Astrocyte	Astrocyte	Ccn1	Ccn1	0.2171485780477278
Astrocyte	Astrocyte	Creb5	Creb5	0.3201515158167457
Astrocyte	Astrocyte	Csrp1	Csrp1	0.1635212787974172
Astrocyte	Astrocyte	Dnajb1	Dnajb1	0.177772691105202
Astrocyte	Astrocyte	Eftud2	Eftud2	0.4056064131040732
Astrocyte	Astrocyte	Egr1	Egr1	0.1873363387578565
Astrocyte	Astrocyte	Fos	Fos	0.3082817803571563
Astrocyte	Astrocyte	Fosb	Fosb	0.2965716545857411
Astrocyte	Astrocyte	Gfap	Gfap	0.2603657537934278
Astrocyte	Astrocyte	Hspa1a	Hspa1a	0.4275818109864052
Astrocyte	Astrocyte	Junb	Junb	0.1694271413141224
Astrocyte	Astrocyte	Mlc1	Mlc1	0.1576760806188192
Astrocyte	Astrocyte	Ppp1r15a	Ppp1r15a	0.1608687263320728
Astrocyte	Astrocyte	S100b	S100b	0.2426588003663
Astrocyte	Astrocyte	Vcl	Vcl	0.2906782868278315
Astrocyte	Astrocyte	Wwtr1	Wwtr1	0.1877854859248605
Astrocyte	Astrocyte	Zswim6	Zswim6	0.1640421040518456
BC	BC	Gm20754	Gm20754	0.5233154126556463
BC	BC	Grik1	Grik1	0.5098688967569986
BC	BC	Grm5	Grm5	0.4288259964146793
BC	BC	Pcdh9	Pcdh9	0.782237267589547
BC	BC	Ptprz1	Ptprz1	0.3810561430567327
BC	BC	Samsn1	Samsn1	0.7613858877934143
BC	BC	Scg2	Scg2	0.4224465976990766
BC	BC	Slit2	Slit2	0.5273457514922035
BC	BC	Tenm3	Tenm3	0.3985618209720733
BC	BC	Trpm1	Trpm1	0.5551393032512364
BC	BC	Ttyh1	Ttyh1	0.4074811716216924
BC	BC	Zfp804b	Zfp804b	0.8033635631644225
Cone	Cone	Arr3	Arr3	0.4552001249308711
Cone	Cone	Cdh18	Cdh18	0.2755231539659488
Cone	Cone	Cngb3	Cngb3	0.3085011185254799
Cone	Cone	Gm32442	Gm32442	0.1182058953880906
Cone	Cone	Gnat2	Gnat2	0.2486441457490542
Cone	Cone	Gnb3	Gnb3	0.1606836649817723
Cone	Cone	Gngt2	Gngt2	0.2702110112761817
Cone	Cone	Lrfn2	Lrfn2	0.1310359412358581
Cone	Cone	Opn1mw	Opn1mw	0.3837613632508393
Cone	Cone	Opn1sw	Opn1sw	0.2375878997815418
Cone	Cone	Pals2	Pals2	0.1065525646364776
Cone	Cone	Pcdh15	Pcdh15	0.1968524818530527
Cone	Cone	Pde6c	Pde6c	0.2667070911508414
