Marker,Major_Name,Name,Ensembl,Marker,Coefficient
Pam,AC,AC,ENSMUSG00000026335,Pam,0.1790374442793864
Bhlhe22,AC,AC_1,ENSMUSG00000025128,Bhlhe22,0.750527324649728
Cacnb2,AC,AC_10,ENSMUSG00000057914,Cacnb2,0.2774716168106015
Cntn6,AC,AC_10,ENSMUSG00000030092,Cntn6,0.8894695156684662
Grik2,AC,AC_10,ENSMUSG00000056073,Grik2,0.6363001976244677
Nrxn1,AC,AC_10,ENSMUSG00000024109,Nrxn1,0.3399566283081684
Prkcb,AC,AC_10,ENSMUSG00000052889,Prkcb,0.3005645742983993
Gpr22,AC,AC_11,ENSMUSG00000044067,Gpr22,0.1596974916395449
Rph3a,AC,AC_11,ENSMUSG00000029608,Rph3a,0.1222141520922342
Cdh22,AC,AC_12,ENSMUSG00000053166,Cdh22,0.1702236536837458
Cntn4,AC,AC_12,ENSMUSG00000064293,Cntn4,0.1751961969207415
Gabrb2,AC,AC_12,ENSMUSG00000007653,Gabrb2,0.2167879860531318
Ldhb,AC,AC_12,ENSMUSG00000030246,Ldhb,0.1399243613954175
Ly6h,AC,AC_12,ENSMUSG00000022577,Ly6h,0.1856270726575023
Grin2a,AC,AC_13,ENSMUSG00000059003,Grin2a,0.2187769200375735
Itm2b,AC,AC_13,ENSMUSG00000022108,Itm2b,0.2305855657994464
Nxph1,AC,AC_13,ENSMUSG00000046178,Nxph1,0.4592639360627991
Slc17a8,AC,AC_13,ENSMUSG00000019935,Slc17a8,0.4119937027888921
Ctnnd2,AC,AC_14,ENSMUSG00000022240,Ctnnd2,0.365442039149197
Cacna2d3,AC,AC_15,ENSMUSG00000021991,Cacna2d3,0.1935173251292393
Gsta4,AC,AC_15,ENSMUSG00000032348,Gsta4,0.2466981723234882
Nrxn2,AC,AC_15,ENSMUSG00000033768,Nrxn2,0.1859421726782904
Etl4,AC,AC_17,ENSMUSG00000036617,Etl4,0.1869691093218968
Hecw1,AC,AC_17,ENSMUSG00000021301,Hecw1,0.1293999856717378
Hs3st5,AC,AC_17,ENSMUSG00000044499,Hs3st5,0.1092733552885285
Isl1,AC,AC_17,ENSMUSG00000042258,Isl1,0.1380491472765932
Megf11,AC,AC_17,ENSMUSG00000036466,Megf11,0.1416136872046545
Rims1,AC,AC_17,ENSMUSG00000041670,Rims1,0.2087183995765953
Sox2ot,AC,AC_17,ENSMUSG00000105265,Sox2ot,0.1652840016446262
Cpne4,AC,AC_18,ENSMUSG00000032564,Cpne4,0.4439390306358259
Negr1,AC,AC_18,ENSMUSG00000040037,Negr1,0.2286851847128891
Phactr1,AC,AC_18,ENSMUSG00000054728,Phactr1,0.2815038149544345
Cabp1,AC,AC_19,ENSMUSG00000029544,Cabp1,0.1356741170101591
Wwox,AC,AC_19,ENSMUSG00000004637,Wwox,0.3450882287967724
Dpf3,AC,AC_20,ENSMUSG00000021221,Dpf3,0.2691807866952983
Grm8,AC,AC_20,ENSMUSG00000024211,Grm8,0.312927107498528
Cpne5,AC,AC_21,ENSMUSG00000024008,Cpne5,0.2136670924333732
Caln1,AC,AC_23,ENSMUSG00000060371,Caln1,0.3083335778662975
Slc8a1,AC,AC_23,ENSMUSG00000054640,Slc8a1,0.2145198042004861
Hif1a,AC,AC_24,ENSMUSG00000021109,Hif1a,0.1876225987420484
Adgrb3,AC,AC_25,ENSMUSG00000033569,Adgrb3,0.2211127448404883
Camk2d,AC,AC_25,ENSMUSG00000053819,Camk2d,0.2005458889251393
Pou6f2,AC,AC_25,ENSMUSG00000009734,Pou6f2,0.2229603756148607
Ntrk3,AC,AC_26,ENSMUSG00000059146,Ntrk3,0.1576312158639537
Synpr,AC,AC_27,ENSMUSG00000056296,Synpr,0.2574964144354578
Mdga2,AC,AC_28,ENSMUSG00000034912,Mdga2,0.2705543477733025
Glra1,AC,AC_29,ENSMUSG00000000263,Glra1,0.2649281170609197
Myo16,AC,AC_29,ENSMUSG00000039057,Myo16,0.164151775090636
Nell1,AC,AC_29,ENSMUSG00000055409,Nell1,0.2860057218206065
Tmem108,AC,AC_29,ENSMUSG00000042757,Tmem108,0.1547678450495119
Vstm2b,AC,AC_29,ENSMUSG00000039257,Vstm2b,0.1875146144819133
Apba1,AC,AC_3,ENSMUSG00000024897,Apba1,0.1375086783198354
Calm1,AC,AC_3,ENSMUSG00000001175,Calm1,0.1332259384669973
Dync1i1,AC,AC_3,ENSMUSG00000029757,Dync1i1,0.1452843913849027
Eif1b,AC,AC_3,ENSMUSG00000006941,Eif1b,0.1653960833745474
Magi2,AC,AC_3,ENSMUSG00000040003,Magi2,0.1864054540430468
Nebl,AC,AC_3,ENSMUSG00000053702,Nebl,0.1488370604900283
Pde8b,AC,AC_3,ENSMUSG00000021684,Pde8b,0.1610924950608144
Lgr5,AC,AC_30,ENSMUSG00000020140,Lgr5,0.1687442807576354
Cacng3,AC,AC_31,ENSMUSG00000066189,Cacng3,0.2213770706607071
Tpbg,AC,AC_31,ENSMUSG00000035274,Tpbg,0.4345260628195115
Asic2,AC,AC_33,ENSMUSG00000020704,Asic2,0.1478252850393465
Mast4,AC,AC_33,ENSMUSG00000034751,Mast4,0.1896302185651043
Itm2c,AC,AC_34,ENSMUSG00000026223,Itm2c,0.1401454825387869
Map1b,AC,AC_34,ENSMUSG00000052727,Map1b,0.2800140741158748
Nap1l1,AC,AC_34,ENSMUSG00000058799,Nap1l1,0.1452446829617065
Snhg11,AC,AC_35,ENSMUSG00000044349,Snhg11,0.1221592925823627
Atrnl1,AC,AC_36,ENSMUSG00000054843,Atrnl1,0.1861551664405889
Spock3,AC,AC_36,ENSMUSG00000054162,Spock3,0.1819601065303869
Adcy8,AC,AC_37,ENSMUSG00000022376,Adcy8,0.2037263006433336
Foxp1,AC,AC_37,ENSMUSG00000030067,Foxp1,0.2298854329826916
Gfra1,AC,AC_38,ENSMUSG00000025089,Gfra1,0.1960800483752707
Ccdc85a,AC,AC_39,ENSMUSG00000032878,Ccdc85a,0.1339595824402078
Mgarp,AC,AC_4,ENSMUSG00000037161,Mgarp,0.322670720377737
Mt1,AC,AC_4,ENSMUSG00000031765,Mt1,0.2952474374783542
Slc6a9,AC,AC_4,ENSMUSG00000028542,Slc6a9,0.3492092831184793
Grm1,AC,AC_40,ENSMUSG00000019828,Grm1,0.1981362983394567
Grm5,AC,AC_40,ENSMUSG00000049583,Grm5,0.1933337162087388
Kctd8,AC,AC_40,ENSMUSG00000037653,Kctd8,0.2230382782819344
Etv1,AC,AC_42,ENSMUSG00000004151,Etv1,0.3851978362699664
Fstl5,AC,AC_44,ENSMUSG00000034098,Fstl5,0.1550977120303923
Gpr88,AC,AC_44,ENSMUSG00000068696,Gpr88,0.2314986501597603
Fat3,AC,AC_45,ENSMUSG00000074505,Fat3,0.1777362737569545
Dlg2,AC,AC_46,ENSMUSG00000052572,Dlg2,0.1470400441582442
Fstl4,AC,AC_46,ENSMUSG00000036264,Fstl4,0.1854326484256836
Nefl,AC,AC_46,ENSMUSG00000022055,Nefl,0.2039097475357535
Cplx2,AC,AC_48,ENSMUSG00000025867,Cplx2,0.1494974099082089
Slc6a11,AC,AC_49,ENSMUSG00000030307,Slc6a11,0.142766135376653
Celf4,AC,AC_5,ENSMUSG00000024268,Celf4,0.2022893469466322
Dkk3,AC,AC_5,ENSMUSG00000030772,Dkk3,0.387818661404186
Impact,AC,AC_50,ENSMUSG00000024423,Impact,0.1406509749973524
Ldb2,AC,AC_50,ENSMUSG00000039706,Ldb2,0.274613737215799
Necab2,AC,AC_51,ENSMUSG00000031837,Necab2,0.1533528842380132
Sdc2,AC,AC_51,ENSMUSG00000022261,Sdc2,0.1813099982880042
Gap43,AC,AC_52,ENSMUSG00000047261,Gap43,0.1165733651265275
Nos1,AC,AC_52,ENSMUSG00000029361,Nos1,0.2242584470416688
Pafah1b1,AC,AC_53,ENSMUSG00000020745,Pafah1b1,0.0463674152411267
Ptpro,AC,AC_53,ENSMUSG00000030223,Ptpro,0.0667187585402034
Rmst,AC,AC_54,ENSMUSG00000112117,Rmst,0.139116913602761
Ywhah,AC,AC_54,ENSMUSG00000018965,Ywhah,0.0944724021575225
Pcp2,AC,AC_56,ENSMUSG00000004630,Pcp2,0.1959883535142898
Acot7,AC,AC_57,ENSMUSG00000028937,Acot7,0.1118179070136337
Tmeff2,AC,AC_57,ENSMUSG00000026109,Tmeff2,0.2184759891984696
Zwint,AC,AC_57,ENSMUSG00000019923,Zwint,0.1139042115822021
Fgf12,AC,AC_58,ENSMUSG00000022523,Fgf12,0.1737762696449443
Asap1,AC,AC_59,ENSMUSG00000022377,Asap1,0.2012267555368608
Dnm3,AC,AC_59,ENSMUSG00000040265,Dnm3,0.1627291918865201
Rims2,AC,AC_59,ENSMUSG00000037386,Rims2,0.1630487719839192
Arhgef26,AC,AC_6,ENSMUSG00000036885,Arhgef26,0.1869747777493089
Prkce,AC,AC_6,ENSMUSG00000045038,Prkce,0.1795243554291463
Slc24a2,AC,AC_6,ENSMUSG00000037996,Slc24a2,0.254139851910344
Syt7,AC,AC_6,ENSMUSG00000024743,Syt7,0.239543229476393
Cog5,AC,AC_60,ENSMUSG00000035933,Cog5,0.021619991664762
Brinp1,AC,AC_61,ENSMUSG00000028351,Brinp1,0.1918183722573539
Cst3,AC,AC_63,ENSMUSG00000027447,Cst3,0.0632209122383116
Mxra7,AC,AC_7,ENSMUSG00000020814,Mxra7,0.4295593261434526
Atp2b1,AC,AC_8,ENSMUSG00000019943,Atp2b1,0.2873643511560557
Snap25,AC,AC_8,ENSMUSG00000027273,Snap25,0.2416178360285783
Phactr3,AC,AC_9,ENSMUSG00000027525,Phactr3,0.1872557991321346
Slc6a1,AC,AC_9,ENSMUSG00000030310,Slc6a1,0.2266232983455419
