Marker,Major_Name,Name,Ensembl,Marker,Coefficient
Apoe,BC,BC,ENSMUSG00000002985,Apoe,0.6077645040600109
Cst3,BC,BC,ENSMUSG00000027447,Cst3,0.3660358764960041
Fth1,BC,BC,ENSMUSG00000024661,Fth1,0.2151558565217663
Ftl1,BC,BC,ENSMUSG00000050708,Ftl1,0.211989258758591
Galnt13,BC,BC,ENSMUSG00000060988,Galnt13,0.1667469705116446
Trpm3,BC,BC,ENSMUSG00000052387,Trpm3,0.1773963801054909
Cabp1,BC,BC1A,ENSMUSG00000029544,Cabp1,0.1565093261939773
Gabra1,BC,BC1A,ENSMUSG00000010803,Gabra1,0.2525851698466568
Gabrb1,BC,BC1A,ENSMUSG00000029212,Gabrb1,0.2059154424455827
Meg3,BC,BC1A,ENSMUSG00000021268,Meg3,0.1822164261982423
Tcf4,BC,BC1A,ENSMUSG00000053477,Tcf4,0.1560102848558277
Ntm,BC,BC1B,ENSMUSG00000059974,Ntm,0.1703727733518965
Ptprd,BC,BC1B,ENSMUSG00000028399,Ptprd,0.1385904268097315
Ebf1,BC,BC2,ENSMUSG00000057098,Ebf1,0.336132511425278
Gria2,BC,BC2,ENSMUSG00000033981,Gria2,0.2262399240757531
Mgat4c,BC,BC2,ENSMUSG00000019888,Mgat4c,0.2023140189799065
Neto1,BC,BC2,ENSMUSG00000050321,Neto1,0.4933278245754537
Pde1a,BC,BC2,ENSMUSG00000059173,Pde1a,0.197086378232053
Tnnt1,BC,BC2,ENSMUSG00000064179,Tnnt1,0.2196331763840283
Cntnap5a,BC,BC3A,ENSMUSG00000070695,Cntnap5a,0.2956556587113947
Erbb4,BC,BC3A,ENSMUSG00000062209,Erbb4,0.7518629170724316
Kcnh7,BC,BC3A,ENSMUSG00000059742,Kcnh7,0.4690811439483512
Ntng1,BC,BC3A,ENSMUSG00000059857,Ntng1,0.4081226079232234
Adamtsl1,BC,BC3B,ENSMUSG00000066113,Adamtsl1,0.3101323460375157
Cpe,BC,BC3B,ENSMUSG00000037852,Cpe,0.277669623486714
