Marker,Major_Name,Name,Ensembl,Marker,Coefficient
Auts2,RGC,10_Novel,ENSMUSG00000029673,Auts2,0.3161046039483237
Mmp9,RGC,10_Novel,ENSMUSG00000017737,Mmp9,0.3479321671337761
Khdrbs2,RGC,11_Novel,ENSMUSG00000026058,Khdrbs2,0.2385243288419338
Cntn4,RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.50147419047251
Olfm1,RGC,12_ooDS_NT,ENSMUSG00000026833,Olfm1,0.3645480479780438
Nalf1,RGC,14_ooDS_Cck,ENSMUSG00000079157,Nalf1,0.2891434862162023
Nrsn1,RGC,16_ooDS_DV,ENSMUSG00000048978,Nrsn1,0.2056507926829786
Il1rapl1,RGC,18_Novel,ENSMUSG00000052372,Il1rapl1,0.3006009856152317
Mgarp,RGC,18_Novel,ENSMUSG00000037161,Mgarp,0.4160641277469149
Tenm1,RGC,19_Novel,ENSMUSG00000016150,Tenm1,0.4846924428070401
Gpi1,RGC,1_W3D1.1,ENSMUSG00000036427,Gpi1,0.3479989378701502
Kcnc2,RGC,1_W3D1.1,ENSMUSG00000035681,Kcnc2,0.4670384663505013
Ptprm,RGC,1_W3D1.1,ENSMUSG00000033278,Ptprm,0.4195983976855233
Rbpms2,RGC,1_W3D1.1,ENSMUSG00000032387,Rbpms2,0.333823315687636
Tuba1a,RGC,1_W3D1.1,ENSMUSG00000072235,Tuba1a,0.3232813785270517
Ppp3ca,RGC,20_Novel,ENSMUSG00000028161,Ppp3ca,0.278554182752288
Tmcc3,RGC,22_M5,ENSMUSG00000020023,Tmcc3,0.3051221826541356
Trhde,RGC,22_M5,ENSMUSG00000050663,Trhde,0.6871546794861568
Camk2d,RGC,23_W3D2,ENSMUSG00000053819,Camk2d,0.39233264471599
Chrm2,RGC,23_W3D2,ENSMUSG00000045613,Chrm2,0.7903115586484889
Rab3c,RGC,23_W3D2,ENSMUSG00000021700,Rab3c,0.4084716546340655
Klhl1,RGC,24_Novel,ENSMUSG00000022076,Klhl1,0.3854794481066144
Dlg2,RGC,25_Novel,ENSMUSG00000052572,Dlg2,0.2604680211536892
Ctnna2,RGC,26_Novel,ENSMUSG00000063063,Ctnna2,0.3227622955793218
Plcb4,RGC,26_Novel,ENSMUSG00000039943,Plcb4,0.4408457382639196
Chrna6,RGC,27_Novel,ENSMUSG00000031491,Chrna6,0.2676929592889929
Cst3,RGC,29_Novel,ENSMUSG00000027447,Cst3,0.5073885668981314
D130009I18Rik,RGC,2_W3D1.2,ENSMUSG00000115432,D130009I18Rik,0.8013814920436493
Ccser1,RGC,30_Novel,ENSMUSG00000039578,Ccser1,0.2976076735642414
Hdac9,RGC,30_Novel,ENSMUSG00000004698,Hdac9,0.377704644662942
Pde10a,RGC,30_Novel,ENSMUSG00000023868,Pde10a,0.4319526254238028
Cygb,RGC,31_M2,ENSMUSG00000020810,Cygb,0.2843806327254828
Ndnf,RGC,31_M2,ENSMUSG00000049001,Ndnf,0.2646501023023661
Car10,RGC,32_F_Novel,ENSMUSG00000056158,Car10,0.2481625582191869
Snca,RGC,32_F_Novel,ENSMUSG00000025889,Snca,0.2578859176575127
Eomes,RGC,33_M1,ENSMUSG00000032446,Eomes,0.2463681083103042
Pde4b,RGC,33_M1,ENSMUSG00000028525,Pde4b,0.2164638849344113
Six3,RGC,33_M1,ENSMUSG00000038805,Six3,0.3107836207105882
Vamp1,RGC,34_Novel,ENSMUSG00000030337,Vamp1,0.2829517430194385
Slc8a1,RGC,36_Novel,ENSMUSG00000054640,Slc8a1,0.4087548782204218
Chchd10,RGC,37_Novel,ENSMUSG00000049422,Chchd10,0.2062757779884981
Cnr1,RGC,37_Novel,ENSMUSG00000044288,Cnr1,0.2751515296239852
Unc5c,RGC,38_FmidiON,ENSMUSG00000059921,Unc5c,0.4645751824949128
Thsd7a,RGC,39_Novel,ENSMUSG00000032625,Thsd7a,0.2297457531387112
D130079A08Rik,RGC,3_FminiON,ENSMUSG00000115424,D130079A08Rik,0.2686825911015216
Nell2,RGC,3_FminiON,ENSMUSG00000022454,Nell2,0.3128269172631218
Ptchd4,RGC,3_FminiON,ENSMUSG00000042256,Ptchd4,0.3564885621512948
Trarg1,RGC,3_FminiON,ENSMUSG00000046275,Trarg1,0.3686934736620627
Adcyap1,RGC,40_M1dup,ENSMUSG00000024256,Adcyap1,0.17481556732311
Brinp1,RGC,40_M1dup,ENSMUSG00000028351,Brinp1,0.1801461442342674
Cd24a,RGC,40_M1dup,ENSMUSG00000047139,Cd24a,0.2054023779175835
Celf4,RGC,40_M1dup,ENSMUSG00000024268,Celf4,0.1856181428772927
Gldn,RGC,40_M1dup,ENSMUSG00000046167,Gldn,0.2400285966343885
Rbms3,RGC,40_M1dup,ENSMUSG00000039607,Rbms3,0.1828959464428676
Mdga2,RGC,42_AlphaOFFS,ENSMUSG00000034912,Mdga2,0.1352452395983916
Map1a,RGC,43_AlphaONS,ENSMUSG00000027254,Map1a,0.1183195013438612
Slc24a2,RGC,43_AlphaONS,ENSMUSG00000037996,Slc24a2,0.12809628230727
Ttll7,RGC,43_AlphaONS,ENSMUSG00000036745,Ttll7,0.1183150849101407
Dpp6,RGC,44_Novel,ENSMUSG00000061576,Dpp6,0.1852981328394258
Ly6h,RGC,44_Novel,ENSMUSG00000022577,Ly6h,0.1857720638732438
Kcng2,RGC,45_AlphaOFFT,ENSMUSG00000059852,Kcng2,0.1045449148463122
Map7d2,RGC,45_AlphaOFFT,ENSMUSG00000041020,Map7d2,0.0550159262655305
