Name	Major_Name	Marker	Ensembl	Coefficient
AC_10	AC	Cacnb2	Cacnb2	0.2600170158551851
AC_10	AC	Grik2	Grik2	0.6069739672286757
AC_10	AC	Nrxn1	Nrxn1	0.3112983229776113
AC_11	AC	Kcnh5	Kcnh5	0.160371185706575
AC_12	AC	Ly6h	Ly6h	0.2098237106900077
AC_13	AC	Slc17a8	Slc17a8	0.6408950440211192
AC_14	AC	Cdk14	Cdk14	0.2683332096533273
AC_14	AC	Gpm6b	Gpm6b	0.3314702501559809
AC_15	AC	Cacna2d3	Cacna2d3	0.2019708119276625
AC_17	AC	Med12l	Med12l	0.109423806901141
AC_17	AC	Sox2ot	Sox2ot	0.2304684677013856
AC_19	AC	Wwox	Wwox	0.376396937524958
AC_20	AC	Dpf3	Dpf3	0.3166141575736691
AC_29	AC	Glra1	Glra1	0.2581872889829611
AC_3	AC	Pak5	Pak5	0.2729014888794233
AC_3	AC	Pde8b	Pde8b	0.2432938700120219
AC_36	AC	Atrnl1	Atrnl1	0.2173755394375219
AC_4	AC	Slc6a9	Slc6a9	0.3868186978452457
AC_49	AC	Phlda1	Phlda1	0.2437998319516706
AC_59	AC	Plxdc2	Plxdc2	0.2479513304168559
AC_6	AC	Arhgef26	Arhgef26	0.2830376462001492
Astrocyte	Astrocyte	Ccn1	Ccn1	0.2171485780477288
Astrocyte	Astrocyte	Csrp1	Csrp1	0.1635212787974176
Astrocyte	Astrocyte	Eftud2	Eftud2	0.4056064131040759
Astrocyte	Astrocyte	Fosb	Fosb	0.2965716545857423
Astrocyte	Astrocyte	Gfap	Gfap	0.2603657537934283
Astrocyte	Astrocyte	Mlc1	Mlc1	0.1576760806188205
Astrocyte	Astrocyte	Ppp1r15a	Ppp1r15a	0.1608687263320745
Astrocyte	Astrocyte	Vcl	Vcl	0.2906782868278312
Astrocyte	Astrocyte	Wwtr1	Wwtr1	0.1877854859248609
Astrocyte	Astrocyte	Zswim6	Zswim6	0.1640421040518459
BC	BC	St18	St18	0.3172416070793635
BC	BC	Trpm3	Trpm3	0.3590405005461554
BC1A	BC	Frmd3	Frmd3	0.2118083292956307
BC1B	BC	Vsx2	Vsx2	0.2114815246617393
BC2	BC	Neto1	Neto1	0.5861395805741263
BC2	BC	Rcvrn	Rcvrn	0.1827350883914327
BC5B	BC	Epb41l2	Epb41l2	0.2646399295794341
BC5B	BC	Prph2	Prph2	0.3028200600522697
BC5C	BC	Tmem200a	Tmem200a	0.2955788598937239
BC5C	BC	Vwc2l	Vwc2l	0.4859225246598287
BC5D	BC	Epha7	Epha7	0.2651092907696702
BC5D	BC	Neurod4	Neurod4	0.1901713281108602
BC7	BC	Cdh9	Cdh9	0.3559286046671071
BC7	BC	Tmsb10	Tmsb10	0.2722072712256588
RBC	BC	Cep112	Cep112	0.2002764945517679
RBC	BC	Mt1	Mt1	0.2574315461162144
Cone	Cone	Arr3	Arr3	0.4552001249308681
Cone	Cone	Gm32442	Gm32442	0.1182058953880878
Cone	Cone	Lrfn2	Lrfn2	0.1310359412358619
Cone	Cone	Opn1mw	Opn1mw	0.3837613632508383
Cone	Cone	Opn1sw	Opn1sw	0.2375878997815393
Cone	Cone	Pde6c	Pde6c	0.266707091150839
Cone	Cone	Pde6h	Pde6h	0.4539442070274149
Cone	Cone	Rbp3	Rbp3	0.1557548559697036
Cone	Cone	Rtbdn	Rtbdn	0.1042112782448973
Endothelial	Endothelial	Adgrl4	Adgrl4	0.1725001610171035
Endothelial	Endothelial	Arl15	Arl15	0.1385628907762304
Endothelial	Endothelial	Bsg	Bsg	0.1352335373528285
Endothelial	Endothelial	Cldn5	Cldn5	0.3355066066767332
Endothelial	Endothelial	Ctla2a	Ctla2a	0.1403429511497178
