Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Arl6ip1,Microglia,Microglia,ENSMUSG00000030654,Arl6ip1,0.1331678246176153
Tuba1b,Microglia,Microglia,ENSMUSG00000023004,Tuba1b,0.2231856023240641
Stmn1,Microglia,Microglia,ENSMUSG00000028832,Stmn1,0.2504772800995935
Selenop,Microglia,Microglia,ENSMUSG00000064373,Selenop,-0.1057661570909106
Rps28,Microglia,Microglia,ENSMUSG00000067288,Rps28,-0.1059224011648272
Rps27,Microglia,Microglia,ENSMUSG00000090733,Rps27,-0.1284408363746007
Psap,Microglia,Microglia,ENSMUSG00000004207,Psap,-0.0904067536695914
Nfkbia,Microglia,Microglia,ENSMUSG00000021025,Nfkbia,0.1066655703859763
Malat1,Microglia,Microglia,ENSMUSG00000092341,Malat1,-0.2795468811631685
Hspa1a,Microglia,Microglia,ENSMUSG00000091971,Hspa1a,-0.1459898971910522
Tubb5,Microglia,Microglia,ENSMUSG00000001525,Tubb5,0.1745076766627238
Hsp90aa1,Microglia,Microglia,ENSMUSG00000021270,Hsp90aa1,-0.1013436672864593
Hmgb1,Microglia,Microglia,ENSMUSG00000066551,Hmgb1,0.13932100121972
H2az1,Microglia,Microglia,ENSMUSG00000037894,H2az1,0.2358957481555276
Ftl1,Microglia,Microglia,ENSMUSG00000050708,Ftl1,-0.1007539431164842
Fth1,Microglia,Microglia,ENSMUSG00000024661,Fth1,-0.0936097516164005
Fos,Microglia,Microglia,ENSMUSG00000021250,Fos,-0.119714020517968
Cxcl10,Microglia,Microglia,ENSMUSG00000034855,Cxcl10,0.1140622999172204
Ctsd,Microglia,Microglia,ENSMUSG00000007891,Ctsd,-0.1448879039491523
Ctsb,Microglia,Microglia,ENSMUSG00000021939,Ctsb,-0.1080647943298955
Cd74,Microglia,Microglia,ENSMUSG00000024610,Cd74,-0.1394456107097935
Hmgb2,Microglia,Microglia,ENSMUSG00000054717,Hmgb2,0.1536243442993452
Ube2s,Microglia,Microglia,ENSMUSG00000060860,Ube2s,0.1340153572251468
