Gene,Cell Type,Gene,Coefficient
Ano3,10_Novel,Ano3,0.6673518747277285
Nlgn1,10_Novel,Nlgn1,0.3176238667556517
Nxph1,10_Novel,Nxph1,0.2319725580341582
Nell1,10_Novel,Nell1,0.2719178248339862
Calb1,10_Novel,Calb1,0.2765985877417821
Robo1,10_Novel,Robo1,0.3805874912025413
Spock1,10_Novel,Spock1,0.2410852002387071
Mgat4c,10_Novel,Mgat4c,0.3090731314296963
Tafa1,10_Novel,Tafa1,0.433950381491132
Pcdh9,10_Novel,Pcdh9,0.5728070490738159
Hcn1,10_Novel,Hcn1,0.2995576211325595
Cdh6,10_Novel,Cdh6,0.2887889484234913
Sema6a,10_Novel,Sema6a,0.2508559073205011
Tmeff2,10_Novel,Tmeff2,0.3825991399957262
Ntng1,10_Novel,Ntng1,0.3174504666543031
Fat3,10_Novel,Fat3,0.3192984172946548
Pou6f2,10_Novel,Pou6f2,0.4510402188407982
Sdk1,10_Novel,Sdk1,0.3996934786998421
Alk,10_Novel,Alk,0.2948221812954305
Chrm3,11_Novel,Chrm3,0.7234314733506715
Ntng1,11_Novel,Ntng1,0.3306433209166167
Sox6,11_Novel,Sox6,0.3541562738392977
Cntn5,11_Novel,Cntn5,0.3800498916080428
Pvalb,11_Novel,Pvalb,0.6636709086749791
Cplx2,11_Novel,Cplx2,0.3752457345895319
Adcy2,11_Novel,Adcy2,0.3014892116084765
Sgcz,11_Novel,Sgcz,0.4346862656757263
Tac1,11_Novel,Tac1,0.7720125688076257
Tenm1,11_Novel,Tenm1,0.2742002913092089
Lingo2,11_Novel,Lingo2,0.4177456989153387
Kcnd3,11_Novel,Kcnd3,0.2758391980863913
Pex5l,11_Novel,Pex5l,0.6082914431170783
Hs6st3,11_Novel,Hs6st3,0.4025195240627214
Nrn1,11_Novel,Nrn1,0.3680128214096507
Ebf3,11_Novel,Ebf3,0.622613099700653
Galntl6,11_Novel,Galntl6,0.2566621138635575
Sdk1,11_Novel,Sdk1,0.4567565213037532
Pcdh7,12_ooDS_NT,Pcdh7,0.4357152859445804
Plcb1,12_ooDS_NT,Plcb1,0.4916056908580259
Pcdh10,12_ooDS_NT,Pcdh10,0.6192961939125652
Pcp4l1,12_ooDS_NT,Pcp4l1,0.4234265013414905
Rgs6,12_ooDS_NT,Rgs6,0.6322801705986522
Alk,12_ooDS_NT,Alk,0.8358472750850068
Pcdh9,12_ooDS_NT,Pcdh9,0.5502988201348666
Cntn4,12_ooDS_NT,Cntn4,0.45841361947157
Nell1,12_ooDS_NT,Nell1,0.5875053433701789
Cplx1,12_ooDS_NT,Cplx1,1.0743874843856267
Dab1,12_ooDS_NT,Dab1,0.4814839492432319
Dgkb,12_ooDS_NT,Dgkb,0.59783051161315
Gabrg3,12_ooDS_NT,Gabrg3,0.7297519556453602
Kcnb2,12_ooDS_NT,Kcnb2,0.4592409722084512
Nefm,12_ooDS_NT,Nefm,0.4877779546768679
Kcnh7,12_ooDS_NT,Kcnh7,0.7418734378113333
Ncam2,12_ooDS_NT,Ncam2,0.5356956848394012
Sparcl1,12_ooDS_NT,Sparcl1,0.4204219253634646
Galntl6,13_Novel,Galntl6,0.4441256243767845
Gabrg3,13_Novel,Gabrg3,0.8986949831634111
Nrgn,13_Novel,Nrgn,0.449589209129225
Dpp10,13_Novel,Dpp10,0.6977285301295356
Pcdh11x,13_Novel,Pcdh11x,0.3794847977029263
Crhbp,13_Novel,Crhbp,0.3408768396080009
Cplx2,13_Novel,Cplx2,0.7101061565806285
Ptprm,13_Novel,Ptprm,0.3729299840134926
Cntnap5a,13_Novel,Cntnap5a,0.3478423676959529
Cntn5,13_Novel,Cntn5,0.9984597256819846
Pcdh7,13_Novel,Pcdh7,0.3680359980044341
Fstl5,13_Novel,Fstl5,0.3650628112895218
Nrg1_ENSMUSG00000062991,13_Novel,Nrg1_ENSMUSG00000062991,1.0186005008359404
Sox6,13_Novel,Sox6,0.4093114303376219
Runx1,13_Novel,Runx1,0.4313461735962874
Tppp3,13_Novel,Tppp3,0.3684527839604227
Sdk1,13_Novel,Sdk1,0.344967744722997
Cck,14_ooDS_Cck,Cck,0.5156848952055277
Vsnl1,14_ooDS_Cck,Vsnl1,0.3133356642105411
Pou6f2,14_ooDS_Cck,Pou6f2,0.3486914283184271
Mgat4c,14_ooDS_Cck,Mgat4c,0.6913443125439214
Astn2,14_ooDS_Cck,Astn2,0.2899538149533089
Sema3a,14_ooDS_Cck,Sema3a,0.4401904982740255
Cdh18,14_ooDS_Cck,Cdh18,0.3927492065972924
Pcdh11x,14_ooDS_Cck,Pcdh11x,0.2604974423920144
Lingo2,14_ooDS_Cck,Lingo2,0.2962701725288144
Asic2,14_ooDS_Cck,Asic2,0.2694129756358101
Kirrel3,14_ooDS_Cck,Kirrel3,0.4852936569980718
Sorcs1,14_ooDS_Cck,Sorcs1,0.4791640090327861
Csmd1,14_ooDS_Cck,Csmd1,0.2553288707110174
Nrg1_ENSMUSG00000062991,14_ooDS_Cck,Nrg1_ENSMUSG00000062991,0.4670357327289274
Crim1,14_ooDS_Cck,Crim1,0.2842254569064863
Gabrg3,14_ooDS_Cck,Gabrg3,0.2928723816055881
Cdh12,14_ooDS_Cck,Cdh12,0.2994288667186264
Penk,15_Novel,Penk,0.5009302883517188
Tshz2,15_Novel,Tshz2,0.4983480615138987
Schip1,15_Novel,Schip1,0.3762311176467023
Kirrel3,15_Novel,Kirrel3,0.6806234965471791
Cpne4,15_Novel,Cpne4,0.3379098722430756
Meis2,15_Novel,Meis2,0.7261113330288125
Ebf1,15_Novel,Ebf1,0.4125463701895565
Pcdh11x,15_Novel,Pcdh11x,0.7015609367629234
Tppp3,15_Novel,Tppp3,0.3915978083783711
Nrgn,15_Novel,Nrgn,0.6991910079296483
Galntl6,15_Novel,Galntl6,0.5716814672170722
Asic2,15_Novel,Asic2,0.4171800068784585
Mid1,15_Novel,Mid1,0.5434981247093056
Tenm3,15_Novel,Tenm3,0.4220780071017474
Crhbp,15_Novel,Crhbp,0.8540505642504328
Cntnap5a,15_Novel,Cntnap5a,0.61587835192953
Dpp10,15_Novel,Dpp10,0.4176269016539435
Grin2a,15_Novel,Grin2a,0.3595674677543802
Crhbp,16_ooDS_DV,Crhbp,0.472626346982152
Pcdh11x,16_ooDS_DV,Pcdh11x,0.6990301868548514
Tafa1,16_ooDS_DV,Tafa1,0.5149040380692473
Nrn1,16_ooDS_DV,Nrn1,0.3129480968843959
Opcml,16_ooDS_DV,Opcml,0.3499960264915796
Cplx2,16_ooDS_DV,Cplx2,0.331900338479524
Pcp4,16_ooDS_DV,Pcp4,0.3888659182533645
6330411D24Rik,16_ooDS_DV,6330411D24Rik,0.32538116519949
Ralyl,16_ooDS_DV,Ralyl,0.2842653688090162
Rgs4,16_ooDS_DV,Rgs4,0.604112684224465
Cntn5,16_ooDS_DV,Cntn5,0.4868259722093943
Gm32647,16_ooDS_DV,Gm32647,0.3325844959241776
Cdh6,16_ooDS_DV,Cdh6,0.7838889099604528
Ebf1,16_ooDS_DV,Ebf1,0.3071330874509159
Hs3st4,16_ooDS_DV,Hs3st4,0.7450732302727034
Scg2,16_ooDS_DV,Scg2,0.5284084549846081
Col25a1,16_ooDS_DV,Col25a1,0.5978589386113071
Clstn2,16_ooDS_DV,Clstn2,0.3521776359760589
Alk,16_ooDS_DV,Alk,0.3138447309115399
Pcp4,17_Tbr1_S1,Pcp4,0.5495286877965374
Crhbp,17_Tbr1_S1,Crhbp,0.4039399077668497
Ctxn3,17_Tbr1_S1,Ctxn3,0.6165840973246689
Hs3st4,17_Tbr1_S1,Hs3st4,0.5373806848982322
Ntng1,17_Tbr1_S1,Ntng1,0.4592330054981841
Zmat4,17_Tbr1_S1,Zmat4,0.3720489589435535
Ebf1,17_Tbr1_S1,Ebf1,0.3768828935183768
