Name	Marker	Curated	Queried	Major_Name
AC35	2010007h06rik	Curated		AC
NOVEL_18	4833423e24rik	Curated		RGC
ALPHAOFF-T	6330411d24rik		Queried	RGC
DV-OODSGC	6330411d24rik		Queried	RGC
NOVEL_36	6330411d24rik		Queried	RGC
NOVEL_39	6330411d24rik		Queried	RGC
W3D2	6330411d24rik		Queried	RGC
M1A	A230065h16rik	Curated		RGC
M2	A230065h16rik	Curated		RGC
AC13	A930001a20rik		Queried	AC
AC35	A930001a20rik		Queried	AC
AC53	A930001a20rik		Queried	AC
AC9	A930001a20rik		Queried	AC
MG	Abca8a		Queried	MG
AC26	Abi3bp	Curated		AC
EAR2+ MONOCYTE	Ace	Curated		IMMUNE CELL
MG	Acsl3		Queried	MG
PERICYTE	Acta2	Curated		PERICYTE
AC25	Adamtsl1		Queried	AC
AC35	Adamtsl1		Queried	AC
AC51	Adamtsl1		Queried	AC
BC3B	Adamtsl1		Queried	BC
AC16	Adarb2		Queried	AC
AC19	Adarb2		Queried	AC
AC32	Adarb2		Queried	AC
AC41	Adarb2		Queried	AC
AC50	Adarb2		Queried	AC
AC58	Adarb2		Queried	AC
BC5B	Adarb2		Queried	BC
BC5D	Adarb2		Queried	BC
BC8	Adarb2		Queried	BC
BC9	Adarb2		Queried	BC
BC7	Adcy2		Queried	BC
NOVEL_11	Adcy2		Queried	RGC
AC	Adcy8		Queried	AC
AC37	Adcy8		Queried	AC
IPRGC	Adcyap1	Curated		RGC
M1A	Adcyap1	Curated		RGC
ENDOTHELIAL	Adgrl4		Queried	ENDOTHELIAL
AC48	Adra1b	Curated		AC
AC16	Ai593442		Queried	AC
AC21	Ai593442		Queried	AC
AC23	Ai593442		Queried	AC
AC25	Ai593442		Queried	AC
AC32	Ai593442		Queried	AC
AC7	Ai593442		Queried	AC
AC26	Alcam		Queried	AC
AC58	Alcam		Queried	AC
AC59	Alcam		Queried	AC
NOVEL_19	Alcam		Queried	RGC
