Name	Major_Name	Marker	Queried_Name	Queried_Major_Name
AC	AC	Cd90	AC	AC
AC	AC	Pax6	AC	AC
AC1	AC	Ptn	AC_1	AC
AC10	AC	Cntn6	AC_10	AC
AC11	AC	Slc35d3	AC_11	AC
AC13	AC	Nxph1	AC_13	AC
AC14	AC	Gulo	AC_14	AC
AC15	AC	Vmn2r122	AC_15	AC
AC16	AC	Sct	AC_16	AC
AC17	AC	Gng7	AC_17	AC
AC18	AC	Cpne4	AC_18	AC
AC19	AC	Nxph2	AC_19	AC
AC2	AC	Crybb3	AC_2	AC
AC20	AC	Sema3a	AC_20	AC
AC21	AC	Elavl2	AC_21	AC
AC22	AC	Cbln4	AC_22	AC
AC23	AC	Rasgrp1	AC_23	AC
AC24	AC	Neurod6	AC_24	AC
AC25	AC	Tpbg	AC_25	AC
AC26	AC	Abi3bp	AC_26	AC
AC27	AC	Igsf3	AC_27	AC
AC28	AC	Nfib	AC_28	AC
AC29	AC	Glra1	AC_29	AC
AC3	AC	Gjd2	AC_3	AC
AC30	AC	Igfbp5	AC_30	AC
AC31	AC	Stxbp6	AC_31	AC
AC32	AC	Ramp3	AC_32	AC
AC33	AC	Robo3	AC_33	AC
AC34	AC	Tpm2	AC_34	AC
AC35	AC	2010007h06rik	AC_35	AC
AC36	AC	Kctd12	AC_36	AC
AC37	AC	Crh	AC_37	AC
AC38	AC	Bcl11b	AC_38	AC
AC39	AC	Mef2c	AC_39	AC
AC4	AC	Prom1	AC_4	AC
AC40	AC	Gch1	AC_40	AC
AC41	AC	Pou3f1	AC_41	AC
AC42	AC	Etv1	AC_42	AC
AC43	AC	Tbx2	AC_43	AC
AC44	AC	Gpr88	AC_44	AC
AC45	AC	Otor	AC_45	AC
AC46	AC	Nefm	AC_46	AC
AC47	AC	Slc38a5	AC_47	AC
AC48	AC	Adra1b	AC_48	AC
AC49	AC	Sh3bp5	AC_49	AC
AC5	AC	Cbfa2t3	AC_5	AC
AC50	AC	Ldb2	AC_50	AC
AC51	AC	Ghrh	AC_51	AC
AC52	AC	Gm525	AC_52	AC
AC53	AC	Ngf	AC_53	AC
AC54	AC	Tmem163	AC_54	AC
AC55	AC	Mafb	AC_55	AC
AC56	AC	Lrtm1	AC_56	AC
AC57	AC	Tmeff2	AC_57	AC
AC58	AC	Apela	AC_58	AC
AC59	AC	Igfbp2	AC_59	AC
AC6	AC	Nefh	AC_6	AC
AC60	AC	Tnfsf8	AC_60	AC
AC61	AC	Epha3	AC_61	AC
AC62	AC	Pappa2	AC_62	AC
AC63	AC	Crip2	AC_63	AC
AC7	AC	Pcdh17	AC_7	AC
AC8	AC	Tfap2e	AC_8	AC
AC9	AC	Trhde	AC_9	AC
MOUSE AC	AC	Gm10631	AC_12	AC
ASTROCYTE	ASTROCYTE	Gfap	GLIAL CELL	ASTROCYTE
ASTROCYTE	ASTROCYTE	Isg15	GLIAL CELL	ASTROCYTE
ASTROCYTE	ASTROCYTE	Pdgfra	GLIAL CELL	ASTROCYTE
ASTROCYTE	ASTROCYTE	S100b	GLIAL CELL	ASTROCYTE
ASTROCYTE	ASTROCYTE	Slc1a3	GLIAL CELL	ASTROCYTE
CYCLING ASTROCYTE	ASTROCYTE	Cenpa		ASTROCYTE
CYCLING ASTROCYTE	ASTROCYTE	Cks2		ASTROCYTE
CYCLING ASTROCYTE	ASTROCYTE	Mki67		ASTROCYTE
IFN-RESPONSE ASTROCYTE	ASTROCYTE	Ifit1		ASTROCYTE
IFN-RESPONSE ASTROCYTE	ASTROCYTE	Ifit3		ASTROCYTE
IGF2+ ASTROCYTE	ASTROCYTE	Angpt4		ASTROCYTE
IGF2+ ASTROCYTE	ASTROCYTE	Igf2		ASTROCYTE
IGF2+ ASTROCYTE	ASTROCYTE	Vegfa		ASTROCYTE
RARE CYCLING ASTROCYTE	ASTROCYTE	Fabp7		ASTROCYTE
RARE CYCLING ASTROCYTE	ASTROCYTE	Nes		ASTROCYTE
REACTIVE ASTROCYTE	ASTROCYTE	Chil1		ASTROCYTE
REACTIVE ASTROCYTE	ASTROCYTE	Cp		ASTROCYTE
REACTIVE ASTROCYTE	ASTROCYTE	Lcn2		ASTROCYTE
3B	BC	Prkar2b		BC
BC	BC	Vsx2	BC	BC
BC1A	BC	Pcdh17	BC1A	BC
BC1A	BC	Tacr3	BC1A	BC
BC1B	BC	Pcdh10	BC1B	BC
BC1B	BC	Tacr3	BC1B	BC
BC1B	BC	Wls	BC1B	BC
BC2	BC	Bhlhe22	BC2	BC
BC2	BC	Ebf1	BC2	BC
BC2	BC	Neto1	BC2	BC
BC2	BC	Rcvrn	BC2	BC
BC2	BC	Syt2	BC2	BC
BC2	BC	Tacr3	BC2	BC
BC3A	BC	Erbb4	BC3A	BC
BC3A	BC	Irx6	BC3A	BC
BC3B	BC	Grik1	BC3B	BC
BC3B	BC	Nnat	BC3B	BC
BC4	BC	Col11a1	BC4	BC
BC4	BC	Grik1	BC4	BC
BC4	BC	Hcn4	BC4	BC
BC5A	BC	Cabp5	BC5A	BC
BC5A	BC	Hcn1	BC5A	BC
BC5A	BC	Kcng4	BC5A	BC
