Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Nckap5,AC,0.364319547548068,AC,,Queried,Nckap5,AC,AC
Dlgap1,AC,0.343128874575217,AC,,Queried,Dlgap1,AC,AC
C1ql1,AC,0.441689752764998,AC,,Queried,C1ql1,AC,AC
Synpr,AC,0.593647290678456,AC,,Queried,Synpr,AC,AC
Ptprk,AC,0.389844651770014,AC,,Queried,Ptprk,AC,AC
Asic2,AC,0.561310625111394,AC,,Queried,Asic2,AC,AC
Gria4,AC,0.500283671363936,AC,,Queried,Gria4,AC,AC
Frmd5,AC,0.557746911743207,AC,,Queried,Frmd5,AC,AC
Tfap2b,AC,0.48569023549021,AC,,Queried,Tfap2b,AC,AC
Anks1b,AC,0.450539338721608,AC,,Queried,Anks1b,AC,AC
Pcp4,AC,0.34369216795185,AC,,Queried,Pcp4,AC,AC
Prkg1,AC,0.348292893718024,AC,,Queried,Prkg1,AC,AC
Creb5,ASTROCYTE,0.320151515816746,ASTROCYTE,,Queried,Creb5,Astrocyte,Astrocyte
Csrp1,ASTROCYTE,0.163521278797417,ASTROCYTE,,Queried,Csrp1,Astrocyte,Astrocyte
S100b,ASTROCYTE,0.2426588003663,ASTROCYTE,,Queried,S100b,Astrocyte,Astrocyte
Mlc1,ASTROCYTE,0.157676080618819,ASTROCYTE,,Queried,Mlc1,Astrocyte,Astrocyte
Dnajb1,ASTROCYTE,0.177772691105202,ASTROCYTE,,Queried,Dnajb1,Astrocyte,Astrocyte
Hspa1a,ASTROCYTE,0.427581810986405,ASTROCYTE,,Queried,Hspa1a,Astrocyte,Astrocyte
Fos,ASTROCYTE,0.308281780357156,ASTROCYTE,,Queried,Fos,Astrocyte,Astrocyte
Fosb,ASTROCYTE,0.296571654585741,ASTROCYTE,,Queried,Fosb,Astrocyte,Astrocyte
Junb,ASTROCYTE,0.169427141314122,ASTROCYTE,,Queried,Junb,Astrocyte,Astrocyte
