Name	Major_Name	Marker	Queried_Name	Queried_Major_Name	feature_length	Raw_Mean_Expression_Minorclass_Marker	Raw_Mean_Expression_Majorclass_Marker	AC	Astrocyte	BC	Cone	Endothelial	HC	MG	Microglia	Pericyte	RGC	RPE	Rod	major_keep	is_major	minor_keep	final_keep
AC	AC	Pax6	AC	AC	11694.0		3.6049294	3.6049294	0.6339286	0.015020802	0.009375666	0.021663778	2.3095238	4.58118	0.074128866	0.05707196	2.5023935	0.07435898	0.016972749	True	True	True	True
AC1	AC	Ptn	AC_1	AC	3433.0	4.4562445	1.1100141	1.1100141	16.252975	0.012130502	0.01598125	4.969671	0.0952381	7.4873376	0.19049968	2.3002481	1.5854096	0.03846154	0.010959716	True	False	True	True
AC10	AC	Cntn6	AC_10	AC	6499.0	5.270238	0.58148867	0.58148867	0.2544643	0.8862273	0.0023439166	0.009532062	0.023809524	0.078159146	0.010026298	0.017369727	0.6245732	0.0025641026	0.0025473933	False	False	True	True
AC13	AC	Nxph1	AC_13	AC	4753.0	11.068182	0.15162633	0.15162633	0.01860119	0.08450478	0.0010654166	0.0	0.03968254	0.089086	0.004766601	0.004962779	0.452365	0.0076923077	0.0025770143	False	False	True	True
AC15	AC	Vmn2r122	AC_15	AC																False	False	True	True
AC18	AC	Cpne4	AC_18	AC	5499.0	8.138116	0.31566247	0.31566247	0.03125	0.0067659295	0.0025569997	0.0017331023	0.42857143	0.011826713	0.014135437	0.004962779	2.491741	0.0	0.0033471563	False	False	True	True
AC20	AC	Sema3a	AC_20	AC	13868.0		0.20505749	0.20505749	0.1436012	0.018633677	0.007244833	0.020797227	0.031746034	0.011826713	0.0023011176	0.004962779	0.45857364	0.0	0.0011848342	False	False	True	True
AC21	AC	Elavl2	AC_21	AC	8313.0		0.18385738	0.18385738	0.04613095	0.0039267205	0.0023439166	0.012131716	0.023809524	0.033294767	0.011176857	0.007444169	1.6562699	0.0025641026	0.0058945497	False	False	True	True
AC22	AC	Cbln4	AC_22	AC	2902.0	8.306479	0.2039741	0.2039741	0.0029761905	0.00027005328	0.0	0.0008665511	0.0	0.0005142049	0.0016436555	0.009925558	0.033412304	0.0051282053	0.00017772512	False	False	True	True
AC25	AC	Tpbg	AC_25	AC	3828.0	6.193199	0.2095142	0.2095142	0.04761905	0.30493394	0.012358832	0.006932409	0.0	0.21378069	0.014464168	0.009925558	0.009623397	0.0025641026	0.00071090047	False	False	True	True
AC28	AC	Nfib	AC_28	AC	14957.0		0.18809249	0.18809249	2.908482	1.5827093	0.0104410825	4.3388214	0.06349207	4.2128806	0.012327416	0.3300248	0.0521526	0.36666667	0.0063092415	True	False	True	True
AC29	AC	Glra1	AC_29	AC	2414.0	7.297994	0.10341516	0.10341516	0.01264881	0.78181887	0.0012784998	0.06585789	0.0	0.00629901	0.054076266	0.019851116	0.06925905	0.0	0.001007109	False	False	True	True
AC31	AC	Stxbp6	AC_31	AC	5297.0	4.6141734	0.6183488	0.6183488	0.57886904	0.0006641851	0.00021308332	0.16377816	0.0	0.7692506	0.008382643	0.019851116	0.072477736	0.017948719	0.0012440758	False	False	True	True
AC35	AC	2010007h06rik	AC_35	AC	4934.0		0.011154064	0.011154064	0.007440476	0.00096343335	0.00021308332	0.023396881	0.0	0.006170459	0.0	0.007444169	0.004280696	0.0051282053	0.0	False	False	True	True
