Name	Major_Name	Marker	Queried_Name	Queried_Major_Name	feature_length	Raw_Mean_Expression_Minorclass_Marker	Raw_Mean_Expression_Majorclass_Marker	AC	Astrocyte	BC	Cone	Endothelial	HC	MG	Microglia	Pericyte	RGC	RPE	Rod	major_keep	is_major	minor_keep	final_keep
AC	AC	Cd90	AC	AC																False	True	True	False
AC	AC	Pax6	AC	AC	11694.0		3.6049294	3.6049294	0.6339286	0.015020802	0.009375666	0.021663778	2.3095238	4.58118	0.074128866	0.05707196	2.5023935	0.07435898	0.016972749	True	True	True	True
AC1	AC	Ptn	AC_1	AC	3433.0	4.4562445	1.1100141	1.1100141	16.252975	0.012130502	0.01598125	4.969671	0.0952381	7.4873376	0.19049968	2.3002481	1.5854096	0.03846154	0.010959716	True	False	True	True
AC10	AC	Cntn6	AC_10	AC	6499.0	5.270238	0.58148867	0.58148867	0.2544643	0.8862273	0.0023439166	0.009532062	0.023809524	0.078159146	0.010026298	0.017369727	0.6245732	0.0025641026	0.0025473933	False	False	True	True
AC11	AC	Slc35d3	AC_11	AC	2630.0		0.027355773	0.027355773	0.0	0.00025545582	0.00042616663	0.0008665511	0.0	0.0003856537	0.0013149244	0.0	0.004885222	0.0	0.00053317536	False	False	False	False
AC13	AC	Nxph1	AC_13	AC	4753.0	11.068182	0.15162633	0.15162633	0.01860119	0.08450478	0.0010654166	0.0	0.03968254	0.089086	0.004766601	0.004962779	0.452365	0.0076923077	0.0025770143	False	False	True	True
AC14	AC	Gulo	AC_14	AC	2263.0		0.068327874	0.068327874	0.42261904	0.00081745855	1.1385041	0.0	0.015873017	0.070446074	0.00591716	0.0024813896	0.0024017645	0.0	0.0132109	False	False	False	False
AC15	AC	Vmn2r122	AC_15	AC																False	False	True	True
AC16	AC	Sct	AC_16	AC	645.0		0.037377194	0.037377194	0.09375	0.0020217502	0.016407415	0.0017331023	0.0	0.010541201	0.0016436555	0.0	0.003300384	0.0025641026	0.006131517	False	False	False	False
AC17	AC	Gng7	AC_17	AC	3786.0		0.08460345	0.08460345	0.13020833	0.011218159	0.015128915	0.022530328	0.11111111	0.3209924	0.027284682	0.034739453	0.05408055	0.06666667	0.0019253554	False	False	False	False
AC18	AC	Cpne4	AC_18	AC	5499.0	8.138116	0.31566247	0.31566247	0.03125	0.0067659295	0.0025569997	0.0017331023	0.42857143	0.011826713	0.014135437	0.004962779	2.491741	0.0	0.0033471563	False	False	True	True
AC19	AC	Nxph2	AC_19	AC	2579.0		0.04845739	0.04845739	0.00074404763	0.00020436464	0.00021308332	0.0	0.0	0.0003856537	0.00016436556	0.0024813896	0.0004738175	0.0	0.00014810427	False	False	False	False
AC2	AC	Crybb3	AC_2	AC	2333.0		0.13623716	0.13623716	0.65625	0.0013721626	0.00085233327	0.16204506	0.015873017	0.087286286	0.006574622	0.029776676	0.03467037	0.0	0.00041469195	False	False	False	False
AC20	AC	Sema3a	AC_20	AC	13868.0		0.20505749	0.20505749	0.1436012	0.018633677	0.007244833	0.020797227	0.031746034	0.011826713	0.0023011176	0.004962779	0.45857364	0.0	0.0011848342	False	False	True	True
AC21	AC	Elavl2	AC_21	AC	8313.0		0.18385738	0.18385738	0.04613095	0.0039267205	0.0023439166	0.012131716	0.023809524	0.033294767	0.011176857	0.007444169	1.6562699	0.0025641026	0.0058945497	False	False	True	True
AC22	AC	Cbln4	AC_22	AC	2902.0	8.306479	0.2039741	0.2039741	0.0029761905	0.00027005328	0.0	0.0008665511	0.0	0.0005142049	0.0016436555	0.009925558	0.033412304	0.0051282053	0.00017772512	False	False	True	True
