Name	Marker	Curated	Queried
AC35	2010007h06rik	Curated	
AC44	6330403k07rik		Queried
AC48	6330403k07rik		Queried
AC54	6330403k07rik		Queried
AC61	6330403k07rik		Queried
AC43	6430548m08rik		Queried
AC51	6430548m08rik		Queried
AC13	A930001a20rik		Queried
AC35	A930001a20rik		Queried
AC9	A930001a20rik		Queried
AC26	Abi3bp	Curated	
AC57	Acot7		Queried
AC25	Adamtsl1		Queried
AC35	Adamtsl1		Queried
AC51	Adamtsl1		Queried
AC16	Adarb2		Queried
AC19	Adarb2		Queried
AC32	Adarb2		Queried
AC41	Adarb2		Queried
AC50	Adarb2		Queried
AC58	Adarb2		Queried
AC37	Adcy8		Queried
AC25	Adgrb3		Queried
AC48	Adra1b	Curated	
AC54	Ahi1		Queried
AC63	Ahi1		Queried
AC21	Ai593442		Queried
AC23	Ai593442		Queried
AC7	Ai593442		Queried
AC23	Aldoc		Queried
AC53	Aldoc		Queried
AC6	Aldoc		Queried
AC11	Alk		Queried
AC15	Alk		Queried
AC23	Ank2		Queried
AC8	Ank2		Queried
AC23	Ank3		Queried
AC46	Ank3		Queried
AC	Anks1b		Queried
AC3	Apba1		Queried
AC58	Apela	Curated	
AC45	App		Queried
AC50	App		Queried
AC6	Arhgef26		Queried
AC59	Asap1		Queried
AC	Asic2		Queried
AC33	Asic2		Queried
AC8	Atp2b1		Queried
AC36	Atrnl1		Queried
AC38	Bcl11b	Curated	
AC1	Bhlhe22		Queried
AC48	Bmerb1		Queried
AC54	Bmerb1		Queried
AC61	Brinp1		Queried
AC15	Brinp3		Queried
AC18	Brinp3		Queried
AC28	Brinp3		Queried
AC35	Brinp3		Queried
AC36	Brinp3		Queried
AC	C1ql1		Queried
AC11	C1ql1		Queried
AC2	C1ql1		Queried
AC21	C1ql1		Queried
AC22	C1ql1		Queried
AC25	C1ql1		Queried
AC34	C1ql1		Queried
AC46	C1ql1		Queried
AC48	C1ql1		Queried
AC50	C1ql1		Queried
AC8	C1ql1		Queried
AC11	C1ql2		Queried
AC41	C1ql2		Queried
AC46	C1ql2		Queried
AC48	C1ql2		Queried
AC5	C1ql2		Queried
AC21	C1ql3		Queried
AC50	C1ql3		Queried
AC52	C1ql3		Queried
AC19	Cabp1		Queried
AC1	Cacna2d1		Queried
AC52	Cacna2d1		Queried
AC15	Cacna2d3		Queried
AC10	Cacnb2		Queried
AC31	Cacng3		Queried
AC14	Cadm1		Queried
AC27	Cadm1		Queried
AC17	Calb2		Queried
AC25	Calb2		Queried
AC30	Calb2		Queried
AC36	Calb2		Queried
AC52	Calb2		Queried
AC55	Calb2		Queried
AC57	Calb2		Queried
AC3	Calm1		Queried
AC23	Caln1		Queried
AC25	Camk2d		Queried
AC10	Camk2n1		Queried
AC13	Camk2n1		Queried
AC	Car10		Queried
AC16	Car10		Queried
AC27	Car10		Queried
AC28	Car10		Queried
AC4	Car10		Queried
AC56	Car10		Queried
AC3	Car2		Queried
AC53	Car2		Queried
AC8	Car2		Queried
AC9	Car2		Queried
AC13	Car3		Queried
AC35	Car3		Queried
AC11	Car8		Queried
AC38	Car8		Queried
AC41	Car8		Queried
AC5	Cbfa2t3	Curated	
AC14	Cbln2		Queried
AC18	Cbln2		Queried
AC22	Cbln2		Queried
AC34	Cbln2		Queried
AC40	Cbln2		Queried
AC47	Cbln2		Queried
AC53	Cbln2		Queried
AC55	Cbln2		Queried
AC59	Cbln2		Queried
AC6	Cbln2		Queried
AC61	Cbln2		Queried
AC22	Cbln4	Curated	Queried
AC43	Cbln4		Queried
AC39	Ccdc85a		Queried
AC	Cd90	Curated	
AC17	Cdh18		Queried
AC32	Cdh18		Queried
AC31	Cdh20		Queried
AC34	Cdh20		Queried
AC39	Cdh20		Queried
AC49	Cdh20		Queried
AC6	Cdh20		Queried
AC61	Cdh20		Queried
MOUSE AC	Cdh22		Queried
AC34	Cdkn1c		Queried
AC8	Cdkn1c		Queried
AC13	Celf2		Queried
AC18	Celf2		Queried
AC5	Celf4		Queried
AC53	Chga		Queried
AC6	Chga		Queried
AC25	Chgb		Queried
AC31	Chgb		Queried
AC43	Chgb		Queried
AC8	Chgb		Queried
AC11	Chrm3		Queried
AC8	Chrm3		Queried
AC1	Chst9		Queried
AC7	Chst9		Queried
AC40	Cngb3		Queried
AC47	Cngb3		Queried
AC52	Cngb3		Queried
AC55	Cngb3		Queried
AC59	Cngb3		Queried
AC42	Cntn3		Queried
AC55	Cntn3		Queried
AC62	Cntn3		Queried
MOUSE AC	Cntn4		Queried
AC13	Cntn5		Queried
AC21	Cntn5		Queried
AC30	Cntn5		Queried
AC42	Cntn5		Queried
AC46	Cntn5		Queried
AC54	Cntn5		Queried
AC56	Cntn5		Queried
AC7	Cntn5		Queried
AC10	Cntn6	Curated	Queried
AC19	Cntnap2		Queried
AC27	Cntnap2		Queried
AC43	Cntnap2		Queried
AC8	Cntnap2		Queried
AC15	Cntnap5a		Queried
AC2	Cntnap5a		Queried
AC25	Cntnap5a		Queried
AC32	Cntnap5a		Queried
AC50	Cntnap5a		Queried
AC24	Cntnap5b		Queried
AC52	Cntnap5b		Queried
AC60	Cog5		Queried
AC17	Col25a1		Queried
AC19	Col25a1		Queried
AC36	Col25a1		Queried
AC48	Cplx2		Queried
AC42	Cpm		Queried
AC62	Cpm		Queried
AC18	Cpne4	Curated	Queried
AC21	Cpne5		Queried
AC19	Cpne8		Queried
AC33	Cpne8		Queried
AC37	Crh	Curated	
AC63	Crip2	Curated	
AC2	Crybb3	Curated	
AC22	Csmd1		Queried
AC26	Csmd1		Queried
AC29	Csmd1		Queried
AC31	Csmd1		Queried
AC33	Csmd1		Queried
AC34	Csmd1		Queried
AC45	Csmd1		Queried
AC55	Csmd1		Queried
AC61	Csmd1		Queried
AC3	Csmd3		Queried
AC47	Csmd3		Queried
AC55	Csmd3		Queried
AC63	Cst3		Queried
AC	Ctnna2		Queried
AC54	Ctnna2		Queried
AC14	Ctnnd2		Queried
AC31	Cxcl14		Queried
AC44	Cxcl14		Queried
AC48	Cxcl14		Queried
AC7	Cxcl14		Queried
AC16	Dab1		Queried
AC19	Dab1		Queried
AC28	Dab1		Queried
AC3	Dab1		Queried
AC26	Dcc		Queried
AC28	Dcc		Queried
AC45	Dcc		Queried
AC50	Dcc		Queried
AC5	Dkk3		Queried
AC46	Dlg2		Queried
AC	Dlgap1		Queried
AC16	Dlgap2		Queried
AC25	Dlgap2		Queried
AC61	Dlgap2		Queried
AC	Dmd		Queried
AC14	Dmd		Queried
AC18	Dmd		Queried
AC27	Dmd		Queried
AC29	Dmd		Queried
AC36	Dmd		Queried
AC41	Dmd		Queried
AC45	Dmd		Queried
AC59	Dnm3		Queried
AC20	Dpf3		Queried
AC43	Dpp10		Queried
AC44	Dpp10		Queried
AC45	Dpp10		Queried
AC63	Dpp10		Queried
AC16	Dpp6		Queried
AC27	Dpp6		Queried
AC38	Dpp6		Queried
AC9	Dpp6		Queried
AC3	Dync1i1		Queried
AC10	Ebf1		Queried
AC15	Ebf1		Queried
AC24	Ebf1		Queried
MOUSE AC	Ebf1		Queried
AC19	Efna5		Queried
AC33	Efna5		Queried
AC37	Efna5		Queried
AC40	Efna5		Queried
AC22	Egfem1		Queried
AC30	Egfem1		Queried
AC9	Egfem1		Queried
AC3	Eif1b		Queried
AC21	Elavl2	Curated	Queried
AC48	Elavl2		Queried
AC52	Elavl2		Queried
AC26	Emb		Queried
AC42	Emb		Queried
AC39	Epha3		Queried
AC49	Epha3		Queried
AC61	Epha3	Curated	Queried
AC26	Epha5		Queried
AC37	Epha5		Queried
AC22	Erbb4		Queried
AC28	Erbb4		Queried
AC36	Erbb4		Queried
AC38	Erbb4		Queried
AC45	Erbb4		Queried
AC49	Erbb4		Queried
AC50	Erbb4		Queried
AC59	Erbb4		Queried
AC61	Erbb4		Queried
AC39	Esrrg		Queried
AC49	Esrrg		Queried
AC53	Esrrg		Queried
AC61	Esrrg		Queried
AC17	Etl4		Queried
AC42	Etv1	Curated	Queried
AC45	Fat3		Queried
AC58	Fgf12		Queried
AC1	Fgf14		Queried
AC28	Fgf14		Queried
AC63	Fgf14		Queried
AC1	Filip1l		Queried
AC27	Filip1l		Queried
AC31	Filip1l		Queried
