Cell,Subclass,Ensembl,Gene,Coefficient
BC,BC,ENSMUSG00000002985,Apoe,1.4452112025816963
BC,BC,ENSMUSG00000052305,Hbb-bs,1.0144353480340333
BC,BC,ENSMUSG00000026473,Glul,0.9639422758547526
BC,BC,ENSMUSG00000069919,Hba-a1,0.9304625813178737
BC,BC,ENSMUSG00000027447,Cst3,0.8982721916670489
BC,BC,ENSMUSG00000069917,Hba-a2,0.8908085902918289
BC,BC,ENSMUSG00000073940,Hbb-bt,0.7969436442158409
BC,BC,ENSMUSG00000049775,Tmsb4x,0.6239574613126282
BC,BC,ENSMUSG00000029838,Ptn,0.501376845254525
BC,BC,ENSMUSG00000050708,Ftl1,0.494559436566769
BC,BC,ENSMUSG00000018593,Sparc,0.4536443478179256
BC,BC,ENSMUSG00000032532,Cck,0.4513085732634496
BC,BC,ENSMUSG00000015090,Ptgds,0.44547404228656906
BC,BC,ENSMUSG00000005233,Spc25,0.4416394467073295
BC,BC,ENSMUSG00000052387,Trpm3,0.4341842168794366
BC,BC,ENSMUSG00000056296,Synpr,0.42556933860909485
BC,BC,ENSMUSG00000039194,Rlbp1,0.41348345325178415
BC,BC,ENSMUSG00000060802,B2m,0.40729514974695796
BC,BC,ENSMUSG00000005360,Slc1a3,0.40273902928269595
BC,BC,ENSMUSG00000026701,Prdx6,0.4004969820840844
BC,BC,ENSMUSG00000064341,mt-Nd1,-0.6280399898382474
BC,BC,ENSMUSG00000004630,Pcp2,-0.5831831595012822
BC,BC,ENSMUSG00000022311,Csmd3,-0.5137044671650784
BC,BC,ENSMUSG00000030428,Ttyh1,-0.46446495255062575
BC,BC,ENSMUSG00000090137,Uba52,-0.44342182448528655
BC,BC,ENSMUSG00000022935,Grik1,-0.43718740212483675
BC,BC,ENSMUSG00000034701,Neurod1,-0.43326359294962996
BC,BC,ENSMUSG00000005649,Cabp5,-0.42983466350500926
BC,BC,ENSMUSG00000022876,Samsn1,-0.42552673430631244
BC,BC,ENSMUSG00000010803,Gabra1,-0.42256537585896725
BC,BC,ENSMUSG00000103428,Gm20754,-0.41327708962977777
BC,BC,ENSMUSG00000029108,Pcdh7,-0.413071917755673
BC,BC,ENSMUSG00000090223,Pcp4,-0.398162399689806
BC,BC,ENSMUSG00000092094,Zfp804b,-0.38783591991965854
BC,BC,ENSMUSG00000019943,Atp2b1,-0.38705751444588704
BC,BC,ENSMUSG00000029088,Kcnip4,-0.3863011964845289
BC,BC,ENSMUSG00000052551,Adarb2,-0.37747394759467184
BC,BC,ENSMUSG00000024063,Lbh,-0.3703804188890769
BC,BC,ENSMUSG00000048015,Neurod4,-0.3667573396609552
BC,BC,ENSMUSG00000086020,Gm12239,-0.36491062203536845
BC,BC1A,ENSMUSG00000035566,Pcdh17,1.0729495584466309
BC,BC1A,ENSMUSG00000031558,Slit2,0.6352715574951849
BC,BC1A,ENSMUSG00000057132,Rpgrip1,0.47406981605422543
BC,BC1A,ENSMUSG00000075330,A930003A15Rik,0.4241668890710498
BC,BC1A,ENSMUSG00000021743,Fezf2,0.39053519808232706
BC,BC1A,ENSMUSG00000026109,Tmeff2,0.35367038003507273
BC,BC1A,ENSMUSG00000010803,Gabra1,0.3491263885889624
BC,BC1A,ENSMUSG00000022836,Mylk,0.34706220858672293
BC,BC1A,ENSMUSG00000054920,Klhl5,0.32712371120610817
BC,BC1A,ENSMUSG00000029212,Gabrb1,0.31854680955092096
BC,BC1A,ENSMUSG00000028172,Tacr3,0.31719426433394204
BC,BC1A,ENSMUSG00000046743,Fat4,0.308893417975201
BC,BC1A,ENSMUSG00000038388,Pals2,0.2974281269079847
BC,BC1A,ENSMUSG00000096914,Galntl6,0.2529288173053902
BC,BC1A,ENSMUSG00000045493,Bhlhe23,0.251174359774309
BC,BC1A,ENSMUSG00000030428,Ttyh1,0.24310140811482595
BC,BC1A,ENSMUSG00000055865,Tafa3,0.2276430512862293
BC,BC1A,ENSMUSG00000059173,Pde1a,0.21305373534418973
BC,BC1A,ENSMUSG00000053931,Cnn3,0.21204236357210607
BC,BC1A,ENSMUSG00000033278,Ptprm,0.1981647674862288
BC,BC1A,ENSMUSG00000025739,Gng13,-0.5398831519572311
BC,BC1A,ENSMUSG00000046178,Nxph1,-0.5292260002574789
BC,BC1A,ENSMUSG00000022935,Grik1,-0.5032383245666976
BC,BC1A,ENSMUSG00000030206,Gsg1,-0.4689122963689194
BC,BC1A,ENSMUSG00000005649,Cabp5,-0.4391565634152803
BC,BC1A,ENSMUSG00000059857,Ntng1,-0.4245348747882355
BC,BC1A,ENSMUSG00000050711,Scg2,-0.42011670467244067
BC,BC1A,ENSMUSG00000004630,Pcp2,-0.38407845459378076
BC,BC1A,ENSMUSG00000036510,Cdh8,-0.3731103940196946
BC,BC1A,ENSMUSG00000092094,Zfp804b,-0.35194293955346734
BC,BC1A,ENSMUSG00000008575,Nfib,-0.3032771708261004
BC,BC1A,ENSMUSG00000023439,Gnb3,-0.2847434330522178
BC,BC1A,ENSMUSG00000024084,Qpct,-0.28227642455220275
BC,BC1A,ENSMUSG00000020326,Ccng1,-0.2801534474154047
BC,BC1A,ENSMUSG00000055421,Pcdh9,-0.27081850391873397
BC,BC1A,ENSMUSG00000025255,Zfhx4,-0.26819878616047554
BC,BC1A,ENSMUSG00000052551,Adarb2,-0.2634151083360442
BC,BC1A,ENSMUSG00000070337,Gpr179,-0.2541887484620473
BC,BC1A,ENSMUSG00000000617,Grm6,-0.24203079218123402
BC,BC1A,ENSMUSG00000067786,Nnat,-0.23164947381316053
BC,BC1B,ENSMUSG00000046178,Nxph1,1.0470727635059387
BC,BC1B,ENSMUSG00000028173,Wls,0.8521316283383754
BC,BC1B,ENSMUSG00000005649,Cabp5,0.8307131066212176
BC,BC1B,ENSMUSG00000035456,Prdm8,0.7202361364733322
BC,BC1B,ENSMUSG00000049100,Pcdh10,0.6522924514417994
BC,BC1B,ENSMUSG00000027562,Car2,0.5943657452930105
BC,BC1B,ENSMUSG00000022762,Ncam2,0.5926318420123896
BC,BC1B,ENSMUSG00000026934,Lhx3,0.5539058408745776
BC,BC1B,ENSMUSG00000020326,Ccng1,0.41829500593038016
BC,BC1B,ENSMUSG00000024084,Qpct,0.34144639094322443
BC,BC1B,ENSMUSG00000031245,Hmgn5,0.30909220136896887
BC,BC1B,ENSMUSG00000026193,Fn1,0.30696420511544376
BC,BC1B,ENSMUSG00000031530,Dusp4,0.30024707581580945
BC,BC1B,ENSMUSG00000022321,Cdh10,0.28732405004558775
BC,BC1B,ENSMUSG00000039706,Ldb2,0.27523857904214777
BC,BC1B,ENSMUSG00000025255,Zfhx4,0.2664355138478939
BC,BC1B,ENSMUSG00000035131,Brinp3,0.26194420107383076
BC,BC1B,ENSMUSG00000038128,Camk4,0.2510489671084525
BC,BC1B,ENSMUSG00000021239,Vsx2,0.24585007588272056
BC,BC1B,ENSMUSG00000103428,Gm20754,0.23833999087799296
BC,BC1B,ENSMUSG00000035566,Pcdh17,-0.7189644449183645
BC,BC1B,ENSMUSG00000057132,Rpgrip1,-0.6880766862692088
BC,BC1B,ENSMUSG00000025739,Gng13,-0.5811389289052175
BC,BC1B,ENSMUSG00000092094,Zfp804b,-0.5729380477939509
BC,BC1B,ENSMUSG00000090223,Pcp4,-0.5540541191785051
BC,BC1B,ENSMUSG00000030523,Trpm1,-0.49499938734792603
BC,BC1B,ENSMUSG00000021337,Scgn,-0.45468045181488764
BC,BC1B,ENSMUSG00000064341,mt-Nd1,-0.4456290266537247
BC,BC1B,ENSMUSG00000030206,Gsg1,-0.42048336702694367
BC,BC1B,ENSMUSG00000031558,Slit2,-0.3915030575216453
BC,BC1B,ENSMUSG00000026468,Lhx4,-0.38833949325924794
BC,BC1B,ENSMUSG00000075330,A930003A15Rik,-0.3744112428273771
BC,BC1B,ENSMUSG00000064179,Tnnt1,-0.37195598895101695
BC,BC1B,ENSMUSG00000062151,Unc13c,-0.362725602289773
BC,BC1B,ENSMUSG00000022935,Grik1,-0.34327547959336707
BC,BC1B,ENSMUSG00000030428,Ttyh1,-0.3261235574557807
BC,BC1B,ENSMUSG00000029663,Gngt1,-0.31362013329237287
BC,BC1B,ENSMUSG00000021743,Fezf2,-0.3031663185273647
BC,BC1B,ENSMUSG00000033080,Vsx1,-0.2794827005101625
BC,BC1B,ENSMUSG00000042258,Isl1,-0.27931061459505374
BC,BC2,ENSMUSG00000050321,Neto1,0.8243492126529268
