Cell,Subclass,Ensembl,Gene,Coefficient
Microglia,Microglia,ENSMUSG00000028832,Stmn1,1.1256841185815953
Microglia,Microglia,ENSMUSG00000054717,Hmgb2,0.5314415475737164
Microglia,Microglia,ENSMUSG00000022021,Diaph3,0.46409672096210974
Microglia,Microglia,ENSMUSG00000034349,Smc4,0.4513510325423063
Microglia,Microglia,ENSMUSG00000033450,Tagap,0.4429943607805924
Microglia,Microglia,ENSMUSG00000026360,Rgs2,0.43497568568032435
Microglia,Microglia,ENSMUSG00000023067,Cdkn1a,0.43462638100063616
Microglia,Microglia,ENSMUSG00000030223,Ptpro,0.4167832836488957
Microglia,Microglia,ENSMUSG00000039683,Sdk1,0.38242753379268973
Microglia,Microglia,ENSMUSG00000023015,Racgap1,0.38127988305176713
Microglia,Microglia,ENSMUSG00000079017,Ifi27l2a,0.3786600037239875
Microglia,Microglia,ENSMUSG00000003038,Hmgn2,0.3519486750559231
Microglia,Microglia,ENSMUSG00000015852,Fcrls,0.34950236582597044
Microglia,Microglia,ENSMUSG00000000682,Cd52,0.3420634828668144
Microglia,Microglia,ENSMUSG00000029687,Ezh2,0.33941795282241705
Microglia,Microglia,ENSMUSG00000021025,Nfkbia,0.29920175392406834
Microglia,Microglia,ENSMUSG00000026628,Atf3,0.2975002180052647
Microglia,Microglia,ENSMUSG00000034855,Cxcl10,0.2930146517599695
Microglia,Microglia,ENSMUSG00000024590,Lmnb1,0.28954358857570833
Microglia,Microglia,ENSMUSG00000029304,Spp1,0.2871305703794075
Microglia,Microglia,ENSMUSG00000090137,Uba52,-0.5666687227306342
Microglia,Microglia,ENSMUSG00000024610,Cd74,-0.4938208372361438
Microglia,Microglia,ENSMUSG00000050708,Ftl1,-0.4842477214917881
Microglia,Microglia,ENSMUSG00000025351,Cd63,-0.45330069958096175
Microglia,Microglia,ENSMUSG00000068240,Gm11808,-0.38706326337059493
Microglia,Microglia,ENSMUSG00000052837,Junb,-0.38044092096103355
Microglia,Microglia,ENSMUSG00000064373,Selenop,-0.3661880952980897
Microglia,Microglia,ENSMUSG00000029580,Actb,-0.35962026134740377
Microglia,Microglia,ENSMUSG00000059498,Fcgr3,-0.3580505752825781
Microglia,Microglia,ENSMUSG00000026748,Plxdc2,-0.33938786756571515
Microglia,Microglia,ENSMUSG00000091971,Hspa1a,-0.3319009069217534
Microglia,Microglia,ENSMUSG00000020101,Vsir,-0.32776869161835215
Microglia,Microglia,ENSMUSG00000007891,Ctsd,-0.32627105330965966
Microglia,Microglia,ENSMUSG00000021250,Fos,-0.3165568626676417
Microglia,Microglia,ENSMUSG00000026126,Ptpn18,-0.2840491710692557
Microglia,Microglia,ENSMUSG00000005413,Hmox1,-0.28368746023454
Microglia,Microglia,ENSMUSG00000021876,Rnase4,-0.28280816967481376
Microglia,Microglia,ENSMUSG00000027447,Cst3,-0.27954075698629327
Microglia,Microglia,ENSMUSG00000040430,Pitpnc1,-0.27783521460464927
Microglia,Microglia,ENSMUSG00000090386,Mir99ahg,-0.2688901006997537
