Cell,Subclass,Ensembl,Gene,Coefficient
RGC,10_Novel,ENSMUSG00000074968,Ano3,1.074224008695381
RGC,10_Novel,ENSMUSG00000059857,Ntng1,0.9198764542822762
RGC,10_Novel,ENSMUSG00000022883,Robo1,0.7048966630728396
RGC,10_Novel,ENSMUSG00000055421,Pcdh9,0.7033868702739053
RGC,10_Novel,ENSMUSG00000009734,Pou6f2,0.6926615953906757
RGC,10_Novel,ENSMUSG00000049775,Tmsb4x,0.6206261433585691
RGC,10_Novel,ENSMUSG00000035566,Pcdh17,0.586286255866647
RGC,10_Novel,ENSMUSG00000028519,Dab1,0.5650327394069574
RGC,10_Novel,ENSMUSG00000059187,Tafa1,0.5562202259709786
RGC,10_Novel,ENSMUSG00000039683,Sdk1,0.5440270477645456
RGC,10_Novel,ENSMUSG00000030551,Nr2f2,0.5400321358835529
RGC,10_Novel,ENSMUSG00000026109,Tmeff2,0.5168479911974513
RGC,10_Novel,ENSMUSG00000039385,Cdh6,0.5058171178563362
RGC,10_Novel,ENSMUSG00000021730,Hcn1,0.47316557915865765
RGC,10_Novel,ENSMUSG00000074505,Fat3,0.4688642451013472
RGC,10_Novel,ENSMUSG00000053465,Hs6st3,0.46882635234207354
RGC,10_Novel,ENSMUSG00000031586,Rbpms,0.4550216289599815
RGC,10_Novel,ENSMUSG00000046178,Nxph1,0.4532165014120797
RGC,10_Novel,ENSMUSG00000019828,Grm1,0.44079517715336136
RGC,10_Novel,ENSMUSG00000003541,Ier3,0.43126924992918975
RGC,10_Novel,ENSMUSG00000003657,Calb2,-1.1701010931238325
RGC,10_Novel,ENSMUSG00000029088,Kcnip4,-0.9863182566442801
RGC,10_Novel,ENSMUSG00000029580,Actb,-0.6449722346423504
RGC,10_Novel,ENSMUSG00000050711,Scg2,-0.6440721328574391
RGC,10_Novel,ENSMUSG00000064341,mt-Nd1,-0.6383171117572717
RGC,10_Novel,ENSMUSG00000039419,Cntnap2,-0.611291832256454
RGC,10_Novel,ENSMUSG00000039717,Ralyl,-0.5959078837161045
RGC,10_Novel,ENSMUSG00000025867,Cplx2,-0.5867525793407942
RGC,10_Novel,ENSMUSG00000005716,Pvalb,-0.5400546982972391
RGC,10_Novel,ENSMUSG00000096914,Galntl6,-0.5293655601438166
RGC,10_Novel,ENSMUSG00000037996,Slc24a2,-0.5272615777750819
RGC,10_Novel,ENSMUSG00000029309,Sparcl1,-0.5071353976238527
RGC,10_Novel,ENSMUSG00000034755,Pcdh11x,-0.477332489022272
RGC,10_Novel,ENSMUSG00000022231,Sema5a,-0.47182068639405583
RGC,10_Novel,ENSMUSG00000029108,Pcdh7,-0.46846617317241285
RGC,10_Novel,ENSMUSG00000075334,Rprm,-0.4490494294646905
RGC,10_Novel,ENSMUSG00000063626,Unc5d,-0.44335160656097333
RGC,10_Novel,ENSMUSG00000055026,Gabrg3,-0.43538756209317747
RGC,10_Novel,ENSMUSG00000110067,6330411D24Rik,-0.43128312009416625
RGC,10_Novel,ENSMUSG00000040681,Hmgn1,-0.4224714658973149
RGC,11_Novel,ENSMUSG00000027674,Pex5l,1.1251222156219431
RGC,11_Novel,ENSMUSG00000061762,Tac1,1.0936458154953985
RGC,11_Novel,ENSMUSG00000010476,Ebf3,1.0309002668043732
RGC,11_Novel,ENSMUSG00000005716,Pvalb,0.9526629338095922
RGC,11_Novel,ENSMUSG00000046159,Chrm3,0.8087029536262709
RGC,11_Novel,ENSMUSG00000098087,Gm17750,0.7309524143693817
RGC,11_Novel,ENSMUSG00000053465,Hs6st3,0.7241083316024538
RGC,11_Novel,ENSMUSG00000026058,Khdrbs2,0.6973184756874045
RGC,11_Novel,ENSMUSG00000059857,Ntng1,0.6575574157039665
RGC,11_Novel,ENSMUSG00000058571,Gpc6,0.6230316630914188
RGC,11_Novel,ENSMUSG00000055540,Epha6,0.6072694950823123
RGC,11_Novel,ENSMUSG00000057914,Cacnb2,0.5750129031063895
RGC,11_Novel,ENSMUSG00000022935,Grik1,0.5148942918440547
RGC,11_Novel,ENSMUSG00000029769,Ccdc136,0.49855142924600576
RGC,11_Novel,ENSMUSG00000039488,Cntn5,0.4917272028352744
RGC,11_Novel,ENSMUSG00000045659,Plekha7,0.4772652500210582
RGC,11_Novel,ENSMUSG00000039683,Sdk1,0.4722048543963705
RGC,11_Novel,ENSMUSG00000066189,Cacng3,0.46789806235028825
RGC,11_Novel,ENSMUSG00000039717,Ralyl,0.4667600237104764
RGC,11_Novel,ENSMUSG00000021779,Thrb,0.4569254824903018
RGC,11_Novel,ENSMUSG00000060882,Kcnd2,-0.8861680816831627
RGC,11_Novel,ENSMUSG00000008658,Rbfox1,-0.885830114322169
RGC,11_Novel,ENSMUSG00000057098,Ebf1,-0.8619303081665727
RGC,11_Novel,ENSMUSG00000017390,Aldoc,-0.835366960008424
RGC,11_Novel,ENSMUSG00000050587,Lrrc4c,-0.8316258205619551
RGC,11_Novel,ENSMUSG00000033278,Ptprm,-0.7196448534545253
RGC,11_Novel,ENSMUSG00000090223,Pcp4,-0.7190689310604731
RGC,11_Novel,ENSMUSG00000046275,Trarg1,-0.6497392809815534
RGC,11_Novel,ENSMUSG00000029108,Pcdh7,-0.6187416462668041
RGC,11_Novel,ENSMUSG00000000560,Gabra2,-0.6181966434159964
RGC,11_Novel,ENSMUSG00000063887,Nlgn1,-0.5872862097787339
RGC,11_Novel,ENSMUSG00000042453,Reln,-0.5733502048819145
RGC,11_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,-0.5426880803600116
RGC,11_Novel,ENSMUSG00000028832,Stmn1,-0.5290692839370894
RGC,11_Novel,ENSMUSG00000022311,Csmd3,-0.5033740932667
RGC,11_Novel,ENSMUSG00000043531,Sorcs1,-0.502878116900406
RGC,11_Novel,ENSMUSG00000056296,Synpr,-0.493309499886678
RGC,11_Novel,ENSMUSG00000055471,Alk,-0.47483509063595347
RGC,11_Novel,ENSMUSG00000042581,Thsd7b,-0.4716406721154075
RGC,11_Novel,ENSMUSG00000010803,Gabra1,-0.46978322163694164
RGC,12_ooDS_NT,ENSMUSG00000021647,Cartpt,1.3087387305731675
RGC,12_ooDS_NT,ENSMUSG00000033615,Cplx1,1.2195899238378414
RGC,12_ooDS_NT,ENSMUSG00000055471,Alk,1.0465676547016778
RGC,12_ooDS_NT,ENSMUSG00000055026,Gabrg3,0.7720569555937872
RGC,12_ooDS_NT,ENSMUSG00000036095,Dgkb,0.7457114750243518
RGC,12_ooDS_NT,ENSMUSG00000055421,Pcdh9,0.7248868211167917
RGC,12_ooDS_NT,ENSMUSG00000059742,Kcnh7,0.6959825836563387
RGC,12_ooDS_NT,ENSMUSG00000049100,Pcdh10,0.692362836299219
RGC,12_ooDS_NT,ENSMUSG00000038156,Spon1,0.6632071628364625
RGC,12_ooDS_NT,ENSMUSG00000021219,Rgs6,0.6293048729537104
RGC,12_ooDS_NT,ENSMUSG00000055409,Nell1,0.6216119142678779
RGC,12_ooDS_NT,ENSMUSG00000014846,Tppp3,0.6065990211368368
RGC,12_ooDS_NT,ENSMUSG00000092083,Kcnb2,0.5926729951270652
RGC,12_ooDS_NT,ENSMUSG00000038370,Pcp4l1,0.5747645292925956
RGC,12_ooDS_NT,ENSMUSG00000063600,Egfem1,0.5413757938537216
RGC,12_ooDS_NT,ENSMUSG00000029108,Pcdh7,0.5243041052058943
RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.5239631256020221
RGC,12_ooDS_NT,ENSMUSG00000034098,Fstl5,0.5204448496318174
RGC,12_ooDS_NT,ENSMUSG00000028519,Dab1,0.519477869388354
RGC,12_ooDS_NT,ENSMUSG00000032936,Camkv,0.5057528098314318
RGC,12_ooDS_NT,ENSMUSG00000043531,Sorcs1,-1.1429576469355103
RGC,12_ooDS_NT,ENSMUSG00000019888,Mgat4c,-1.007171503868971
RGC,12_ooDS_NT,ENSMUSG00000057098,Ebf1,-1.0030141294702406
RGC,12_ooDS_NT,ENSMUSG00000029088,Kcnip4,-0.8926004880595169
RGC,12_ooDS_NT,ENSMUSG00000034755,Pcdh11x,-0.8727344431540827
RGC,12_ooDS_NT,ENSMUSG00000045083,Lingo2,-0.823478694737579
RGC,12_ooDS_NT,ENSMUSG00000039488,Cntn5,-0.7710327588901351
RGC,12_ooDS_NT,ENSMUSG00000038530,Rgs4,-0.7216655766543704
