Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Sdk1,AC,AC,ENSMUSG00000039683,Sdk1,0.6098967538889213
Stmn2,AC,AC,ENSMUSG00000027500,Stmn2,0.4927742733639367
Scg2,AC,AC,ENSMUSG00000050711,Scg2,0.5259086065160278
Adcy8,AC,AC,ENSMUSG00000022376,Adcy8,0.6698061102854894
Plcb1,AC,AC,ENSMUSG00000051177,Plcb1,0.6571599210463507
Fgf13,AC,AC,ENSMUSG00000031137,Fgf13,0.496497123458104
Zfp804b,AC,AC,ENSMUSG00000092094,Zfp804b,1.0536806942770958
Tac2,AC,AC,ENSMUSG00000025400,Tac2,0.8215481100425206
Pde3a,AC,AC,ENSMUSG00000041741,Pde3a,0.5930400406228734
Cngb3,AC,AC,ENSMUSG00000056494,Cngb3,0.6553048701236892
Sgcd,AC,AC,ENSMUSG00000020354,Sgcd,0.5029842112059472
Nell1,AC,AC,ENSMUSG00000055409,Nell1,0.5831786225820929
Rbfox1,AC,AC_1,ENSMUSG00000008658,Rbfox1,0.6402924743326103
Tenm3,AC,AC_1,ENSMUSG00000031561,Tenm3,0.667334456304751
Cntnap5b,AC,AC_1,ENSMUSG00000067028,Cntnap5b,0.624566909692217
Ptn,AC,AC_1,ENSMUSG00000029838,Ptn,0.981397260280219
Slit2,AC,AC_1,ENSMUSG00000031558,Slit2,0.8792002201585947
Glul,AC,AC_1,ENSMUSG00000026473,Glul,0.6121455262235967
Bhlhe22,AC,AC_1,ENSMUSG00000025128,Bhlhe22,0.9321989212798388
Camk4,AC,AC_1,ENSMUSG00000038128,Camk4,0.6501622356228088
Zfp804b,AC,AC_1,ENSMUSG00000092094,Zfp804b,0.9353185480009826
Cacna2d1,AC,AC_1,ENSMUSG00000040118,Cacna2d1,0.6834977044231129
Chst9,AC,AC_1,ENSMUSG00000047161,Chst9,0.8994564365164051
Grik2,AC,AC_10,ENSMUSG00000056073,Grik2,0.8321389566359039
Nrxn1,AC,AC_10,ENSMUSG00000024109,Nrxn1,0.435776321013584
Sox5,AC,AC_10,ENSMUSG00000041540,Sox5,0.3462474718745452
Cacnb2,AC,AC_10,ENSMUSG00000057914,Cacnb2,0.4537140239259882
Cntn6,AC,AC_10,ENSMUSG00000030092,Cntn6,1.314126492782366
Kcnip4,AC,AC_10,ENSMUSG00000029088,Kcnip4,0.5047072101037667
Kcnh7,AC,AC_10,ENSMUSG00000059742,Kcnh7,0.4557578791703101
Ebf1,AC,AC_10,ENSMUSG00000057098,Ebf1,0.3184496609627621
Nckap5,AC,AC_10,ENSMUSG00000049690,Nckap5,0.5079423060043561
Tenm2,AC,AC_10,ENSMUSG00000049336,Tenm2,0.4018388398339594
Schip1,AC,AC_10,ENSMUSG00000027777,Schip1,0.4142062658464452
Kirrel3,AC,AC_10,ENSMUSG00000032036,Kirrel3,0.4853110440080267
C1ql2,AC,AC_11,ENSMUSG00000036907,C1ql2,0.1968015142555989
Pantr1,AC,AC_11,ENSMUSG00000060424,Pantr1,0.2570635045815954
Pcdh15,AC,AC_11,ENSMUSG00000052613,Pcdh15,0.2943231378656292
Lrp1b,AC,AC_11,ENSMUSG00000049252,Lrp1b,0.1737513944160442
Kcnd2,AC,AC_11,ENSMUSG00000060882,Kcnd2,0.2867093711546569
Nfia,AC,AC_11,ENSMUSG00000028565,Nfia,0.2119146462864991
Pde3a,AC,AC_11,ENSMUSG00000041741,Pde3a,0.2112942689924572
Camk4,AC,AC_11,ENSMUSG00000038128,Camk4,0.2036340908084385
C1ql1,AC,AC_11,ENSMUSG00000045532,C1ql1,0.1860588853581942
Mgat4c,AC,AC_11,ENSMUSG00000019888,Mgat4c,0.2268912626717166
Chrm3,AC,AC_11,ENSMUSG00000046159,Chrm3,0.2254060368559687
Galntl6,AC,AC_11,ENSMUSG00000096914,Galntl6,0.2022280774016582
Nr4a2,AC,AC_11,ENSMUSG00000026826,Nr4a2,0.1668729383300523
Alk,AC,AC_11,ENSMUSG00000055471,Alk,0.1988254008508168
Ptprm,AC,AC_11,ENSMUSG00000033278,Ptprm,0.2064585633326765
Kcnh5,AC,AC_11,ENSMUSG00000034402,Kcnh5,0.170535366334849
Grid2,AC,AC_11,ENSMUSG00000071424,Grid2,0.43817206139962
Car8,AC,AC_11,ENSMUSG00000041261,Car8,0.1954568202005545
Sphkap,AC,AC_12,ENSMUSG00000026163,Sphkap,0.1873032166110155
Ptprt,AC,AC_12,ENSMUSG00000053141,Ptprt,0.1875315462729842
Ly6h,AC,AC_12,ENSMUSG00000022577,Ly6h,0.2574515251533646
Kctd8,AC,AC_12,ENSMUSG00000037653,Kctd8,0.2158868958232455
Slc24a3,AC,AC_12,ENSMUSG00000063873,Slc24a3,0.3581886564622797
Pcdh7,AC,AC_12,ENSMUSG00000029108,Pcdh7,0.6149489084516686
Glra3,AC,AC_12,ENSMUSG00000038257,Glra3,0.5140032188097006
Lamp5,AC,AC_12,ENSMUSG00000027270,Lamp5,0.2789286050391445
Slit2,AC,AC_12,ENSMUSG00000031558,Slit2,0.2706959659682267
Grm5,AC,AC_12,ENSMUSG00000049583,Grm5,0.2202564542381921
Gabra1,AC,AC_12,ENSMUSG00000010803,Gabra1,0.6024201378889815
Gas7,AC,AC_12,ENSMUSG00000033066,Gas7,0.4201222058240831
Rgs6,AC,AC_12,ENSMUSG00000021219,Rgs6,0.4223562155019467
Ptgds,AC,AC_12,ENSMUSG00000015090,Ptgds,0.457052909781076
Cdh22,AC,AC_12,ENSMUSG00000053166,Cdh22,0.3494616287552414
Rbms3,AC,AC_12,ENSMUSG00000039607,Rbms3,0.4938410649185473
Cntn4,AC,AC_12,ENSMUSG00000064293,Cntn4,0.3039410617904877
Khdrbs2,AC,AC_13,ENSMUSG00000026058,Khdrbs2,0.2356343880650318
Nxph1,AC,AC_13,ENSMUSG00000046178,Nxph1,0.9067939642367084
Zfp804b,AC,AC_13,ENSMUSG00000092094,Zfp804b,0.2691320090160984
A930001A20Rik,AC,AC_13,ENSMUSG00000098008,A930001A20Rik,0.5699697902858875
Cacna2d1,AC,AC_13,ENSMUSG00000040118,Cacna2d1,0.2734141743739663
Fat3,AC,AC_13,ENSMUSG00000074505,Fat3,0.2335870558240656
