Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Cst3,BC,BC,ENSMUSG00000027447,Cst3,0.8982721916670489
Ftl1,BC,BC,ENSMUSG00000050708,Ftl1,0.494559436566769
Trpm3,BC,BC,ENSMUSG00000052387,Trpm3,0.4341842168794366
Cck,BC,BC,ENSMUSG00000032532,Cck,0.4513085732634496
Apoe,BC,BC,ENSMUSG00000002985,Apoe,1.4452112025816963
Ptprm,BC,BC1A,ENSMUSG00000033278,Ptprm,0.1981647674862288
Rpgrip1,BC,BC1A,ENSMUSG00000057132,Rpgrip1,0.4740698160542254
Slit2,BC,BC1A,ENSMUSG00000031558,Slit2,0.6352715574951849
Galntl6,BC,BC1A,ENSMUSG00000096914,Galntl6,0.2529288173053902
Tmeff2,BC,BC1A,ENSMUSG00000026109,Tmeff2,0.3536703800350727
Gabrb1,BC,BC1A,ENSMUSG00000029212,Gabrb1,0.3185468095509209
Gabra1,BC,BC1A,ENSMUSG00000010803,Gabra1,0.3491263885889624
Ttyh1,BC,BC1A,ENSMUSG00000030428,Ttyh1,0.2431014081148259
Pde1a,BC,BC1A,ENSMUSG00000059173,Pde1a,0.2130537353441897
Gm20754,BC,BC1B,ENSMUSG00000103428,Gm20754,0.2383399908779929
Zfhx4,BC,BC1B,ENSMUSG00000025255,Zfhx4,0.2664355138478939
Car2,BC,BC1B,ENSMUSG00000027562,Car2,0.5943657452930105
Nxph1,BC,BC1B,ENSMUSG00000046178,Nxph1,1.0470727635059387
Cabp5,BC,BC1B,ENSMUSG00000005649,Cabp5,0.8307131066212176
Vsx2,BC,BC1B,ENSMUSG00000021239,Vsx2,0.2458500758827205
Brinp3,BC,BC1B,ENSMUSG00000035131,Brinp3,0.2619442010738307
Nxph1,BC,BC2,ENSMUSG00000046178,Nxph1,0.4288830654827642
Ebf1,BC,BC2,ENSMUSG00000057098,Ebf1,0.6136765098059176
Neto1,BC,BC2,ENSMUSG00000050321,Neto1,0.8243492126529268
Mgat4c,BC,BC2,ENSMUSG00000019888,Mgat4c,0.3432966476563646
Cdh8,BC,BC2,ENSMUSG00000036510,Cdh8,0.4353020635588979
Scg2,BC,BC2,ENSMUSG00000050711,Scg2,0.2791407286426753
Pde1a,BC,BC2,ENSMUSG00000059173,Pde1a,0.2631005688025066
Tnnt1,BC,BC2,ENSMUSG00000064179,Tnnt1,0.3468819856896171
Galntl6,BC,BC2,ENSMUSG00000096914,Galntl6,0.4157387034892196
Erbb4,BC,BC3A,ENSMUSG00000062209,Erbb4,1.355624072927345
Tnnt1,BC,BC3A,ENSMUSG00000064179,Tnnt1,0.6637804661373465
Slit2,BC,BC3A,ENSMUSG00000031558,Slit2,1.0868166373741794
Gsg1,BC,BC3A,ENSMUSG00000030206,Gsg1,0.7739895733138099
Grik1,BC,BC3A,ENSMUSG00000022935,Grik1,0.6193951645349621
Kcnab1,BC,BC3A,ENSMUSG00000027827,Kcnab1,0.7223422454765204
Lrp1b,BC,BC3A,ENSMUSG00000049252,Lrp1b,0.8822873305857397
Ntng1,BC,BC3A,ENSMUSG00000059857,Ntng1,0.8973496334923374
Gm20754,BC,BC3A,ENSMUSG00000103428,Gm20754,0.6243160509302674
Kcnh7,BC,BC3A,ENSMUSG00000059742,Kcnh7,0.9830982022138408
Zfhx4,BC,BC3A,ENSMUSG00000025255,Zfhx4,0.8350035695684509
Cabp5,BC,BC3A,ENSMUSG00000005649,Cabp5,0.589300618502181
Cntnap5a,BC,BC3A,ENSMUSG00000070695,Cntnap5a,0.6341605882894474
Cdh8,BC,BC3A,ENSMUSG00000036510,Cdh8,0.6107890265480651
Nnat,BC,BC3B,ENSMUSG00000067786,Nnat,0.9739520478992704
Kirrel3,BC,BC3B,ENSMUSG00000032036,Kirrel3,0.540086433208431
Cabp5,BC,BC3B,ENSMUSG00000005649,Cabp5,0.427622119812911
Gsg1,BC,BC3B,ENSMUSG00000030206,Gsg1,0.3199185672062966
Grik1,BC,BC3B,ENSMUSG00000022935,Grik1,1.019631403932179
Sgcz,BC,BC3B,ENSMUSG00000039539,Sgcz,0.4429438571460458
Gngt2,BC,BC3B,ENSMUSG00000038811,Gngt2,0.6787328034136382
Gngt1,BC,BC3B,ENSMUSG00000029663,Gngt1,0.3475646984136589
Cngb3,BC,BC3B,ENSMUSG00000056494,Cngb3,0.7253977266822936
Sulf1,BC,BC3B,ENSMUSG00000016918,Sulf1,0.4341598959183383
Adamtsl1,BC,BC3B,ENSMUSG00000066113,Adamtsl1,0.3196995514499601
Meis2,BC,BC3B,ENSMUSG00000027210,Meis2,0.3911195536618478
Tenm3,BC,BC3B,ENSMUSG00000031561,Tenm3,0.3472629560620056
Nfib,BC,BC4,ENSMUSG00000008575,Nfib,0.271504187788664
Kctd16,BC,BC4,ENSMUSG00000051401,Kctd16,0.2769128359613275
Kcnd3,BC,BC4,ENSMUSG00000040896,Kcnd3,0.5388850580969518
Pcp4,BC,BC4,ENSMUSG00000090223,Pcp4,0.2201591005307011
Cacna2d1,BC,BC4,ENSMUSG00000040118,Cacna2d1,0.1995814562385056
Gabrr3,BC,BC4,ENSMUSG00000074991,Gabrr3,0.2612173765296179
