Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Actb,Microglia,Microglia,ENSMUSG00000029580,Actb,-0.3596202613474037
Rgs2,Microglia,Microglia,ENSMUSG00000026360,Rgs2,0.4349756856803243
Plxdc2,Microglia,Microglia,ENSMUSG00000026748,Plxdc2,-0.3393878675657151
Nfkbia,Microglia,Microglia,ENSMUSG00000021025,Nfkbia,0.2992017539240683
Junb,Microglia,Microglia,ENSMUSG00000052837,Junb,-0.3804409209610335
Hspa1a,Microglia,Microglia,ENSMUSG00000091971,Hspa1a,-0.3319009069217534
Hmgb2,Microglia,Microglia,ENSMUSG00000054717,Hmgb2,0.5314415475737164
Selenop,Microglia,Microglia,ENSMUSG00000064373,Selenop,-0.3661880952980897
Ftl1,Microglia,Microglia,ENSMUSG00000050708,Ftl1,-0.4842477214917881
Cxcl10,Microglia,Microglia,ENSMUSG00000034855,Cxcl10,0.2930146517599695
Ctsd,Microglia,Microglia,ENSMUSG00000007891,Ctsd,-0.3262710533096596
Cdkn1a,Microglia,Microglia,ENSMUSG00000023067,Cdkn1a,0.4346263810006361
Cd74,Microglia,Microglia,ENSMUSG00000024610,Cd74,-0.4938208372361438
Cd52,Microglia,Microglia,ENSMUSG00000000682,Cd52,0.3420634828668144
Atf3,Microglia,Microglia,ENSMUSG00000026628,Atf3,0.2975002180052647
Fos,Microglia,Microglia,ENSMUSG00000021250,Fos,-0.3165568626676417
Stmn1,Microglia,Microglia,ENSMUSG00000028832,Stmn1,1.1256841185815951
