Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Tmeff2,RGC,10_Novel,ENSMUSG00000026109,Tmeff2,0.5168479911974513
Pcdh17,RGC,10_Novel,ENSMUSG00000035566,Pcdh17,0.586286255866647
Ntng1,RGC,10_Novel,ENSMUSG00000059857,Ntng1,0.9198764542822762
Tmsb4x,RGC,10_Novel,ENSMUSG00000049775,Tmsb4x,0.6206261433585691
Pou6f2,RGC,10_Novel,ENSMUSG00000009734,Pou6f2,0.6926615953906757
Dab1,RGC,10_Novel,ENSMUSG00000028519,Dab1,0.5650327394069574
Rbpms,RGC,10_Novel,ENSMUSG00000031586,Rbpms,0.4550216289599815
Sdk1,RGC,10_Novel,ENSMUSG00000039683,Sdk1,0.5440270477645456
Cdh6,RGC,10_Novel,ENSMUSG00000039385,Cdh6,0.5058171178563362
Ano3,RGC,10_Novel,ENSMUSG00000074968,Ano3,1.074224008695381
Hs6st3,RGC,10_Novel,ENSMUSG00000053465,Hs6st3,0.4688263523420735
Hcn1,RGC,10_Novel,ENSMUSG00000021730,Hcn1,0.4731655791586576
Robo1,RGC,10_Novel,ENSMUSG00000022883,Robo1,0.7048966630728396
Tafa1,RGC,10_Novel,ENSMUSG00000059187,Tafa1,0.5562202259709786
Fat3,RGC,10_Novel,ENSMUSG00000074505,Fat3,0.4688642451013472
Pcdh9,RGC,10_Novel,ENSMUSG00000055421,Pcdh9,0.7033868702739053
Chrm3,RGC,11_Novel,ENSMUSG00000046159,Chrm3,0.8087029536262709
Pex5l,RGC,11_Novel,ENSMUSG00000027674,Pex5l,1.1251222156219431
Ntng1,RGC,11_Novel,ENSMUSG00000059857,Ntng1,0.6575574157039665
Ebf3,RGC,11_Novel,ENSMUSG00000010476,Ebf3,1.0309002668043732
Epha6,RGC,11_Novel,ENSMUSG00000055540,Epha6,0.6072694950823123
Khdrbs2,RGC,11_Novel,ENSMUSG00000026058,Khdrbs2,0.6973184756874045
Hs6st3,RGC,11_Novel,ENSMUSG00000053465,Hs6st3,0.7241083316024538
Tac1,RGC,11_Novel,ENSMUSG00000061762,Tac1,1.0936458154953983
Cntn5,RGC,11_Novel,ENSMUSG00000039488,Cntn5,0.4917272028352744
Pvalb,RGC,11_Novel,ENSMUSG00000005716,Pvalb,0.9526629338095922
Gpc6,RGC,11_Novel,ENSMUSG00000058571,Gpc6,0.6230316630914188
Sdk1,RGC,11_Novel,ENSMUSG00000039683,Sdk1,0.4722048543963705
Ralyl,RGC,11_Novel,ENSMUSG00000039717,Ralyl,0.4667600237104764
Pcdh7,RGC,12_ooDS_NT,ENSMUSG00000029108,Pcdh7,0.5243041052058943
Egfem1,RGC,12_ooDS_NT,ENSMUSG00000063600,Egfem1,0.5413757938537216
Pcp4l1,RGC,12_ooDS_NT,ENSMUSG00000038370,Pcp4l1,0.5747645292925956
Kcnh7,RGC,12_ooDS_NT,ENSMUSG00000059742,Kcnh7,0.6959825836563387
Cntn4,RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.5239631256020221
Cartpt,RGC,12_ooDS_NT,ENSMUSG00000021647,Cartpt,1.3087387305731677
Nell1,RGC,12_ooDS_NT,ENSMUSG00000055409,Nell1,0.6216119142678779
Pcdh10,RGC,12_ooDS_NT,ENSMUSG00000049100,Pcdh10,0.692362836299219
Kcnb2,RGC,12_ooDS_NT,ENSMUSG00000092083,Kcnb2,0.5926729951270652
Rgs6,RGC,12_ooDS_NT,ENSMUSG00000021219,Rgs6,0.6293048729537104
Spon1,RGC,12_ooDS_NT,ENSMUSG00000038156,Spon1,0.6632071628364625
