Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Car10,AC,AC,ENSMUSG00000056158,Car10,0.5795275356140661
Cngb3,AC,AC,ENSMUSG00000056494,Cngb3,0.4094664707106328
Tac2,AC,AC,ENSMUSG00000025400,Tac2,0.5221970800131578
Fgf13,AC,AC,ENSMUSG00000031137,Fgf13,0.3884474165261979
Kcnip4,AC,AC,ENSMUSG00000029088,Kcnip4,0.4762580557945052
Ptprd,AC,AC,ENSMUSG00000028399,Ptprd,0.4409694713740846
Snca,AC,AC,ENSMUSG00000025889,Snca,0.3789740084372351
Ptgds,AC,AC,ENSMUSG00000015090,Ptgds,0.3950816708033702
Adcy8,AC,AC,ENSMUSG00000022376,Adcy8,0.3767019499188728
Camk2n1,AC,AC,ENSMUSG00000046447,Camk2n1,0.4766314655556228
Zfp804b,AC,AC,ENSMUSG00000092094,Zfp804b,0.7495395673975241
Stmn2,AC,AC,ENSMUSG00000027500,Stmn2,0.4999883197620643
Tenm4,AC,AC_1,ENSMUSG00000048078,Tenm4,0.5847072262607929
Tenm3,AC,AC_1,ENSMUSG00000031561,Tenm3,0.5569140463784731
Cacna2d1,AC,AC_1,ENSMUSG00000040118,Cacna2d1,0.7009653879295797
Tenm2,AC,AC_1,ENSMUSG00000049336,Tenm2,0.6650363496648956
Bhlhe22,AC,AC_1,ENSMUSG00000025128,Bhlhe22,0.9462062920652988
Grin2a,AC,AC_1,ENSMUSG00000059003,Grin2a,0.5282634674632238
Lingo2,AC,AC_1,ENSMUSG00000045083,Lingo2,0.6630406882340572
Chst9,AC,AC_1,ENSMUSG00000047161,Chst9,0.9090260554300756
Ptn,AC,AC_1,ENSMUSG00000029838,Ptn,1.023199603715344
Fgf14,AC,AC_1,ENSMUSG00000025551,Fgf14,0.4972243870811034
Rbfox1,AC,AC_1,ENSMUSG00000008658,Rbfox1,0.5968581913636553
Kctd16,AC,AC_1,ENSMUSG00000051401,Kctd16,0.5354612223089362
Glul,AC,AC_1,ENSMUSG00000026473,Glul,0.5730591405623758
Slit2,AC,AC_1,ENSMUSG00000031558,Slit2,1.076322836224485
Zfp804b,AC,AC_1,ENSMUSG00000092094,Zfp804b,0.89104043537516
Runx1t1,AC,AC_1,ENSMUSG00000006586,Runx1t1,0.7351831856329394
Nrxn1,AC,AC_10,ENSMUSG00000024109,Nrxn1,0.4492342625858297
Camk2n1,AC,AC_10,ENSMUSG00000046447,Camk2n1,0.2837768990178234
Tenm2,AC,AC_10,ENSMUSG00000049336,Tenm2,0.3843024874548482
Dlg2,AC,AC_10,ENSMUSG00000052572,Dlg2,0.2646226206192997
Cntn6,AC,AC_10,ENSMUSG00000030092,Cntn6,1.1507054312420095
Cacnb2,AC,AC_10,ENSMUSG00000057914,Cacnb2,0.4036609027043241
Schip1,AC,AC_10,ENSMUSG00000027777,Schip1,0.34867541520295
Prkcb,AC,AC_10,ENSMUSG00000052889,Prkcb,0.3136260649026419
