Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Robo1,RGC,10_Novel,ENSMUSG00000022883,Robo1,0.6423183714414396
Pcdh17,RGC,10_Novel,ENSMUSG00000035566,Pcdh17,0.4720758984669219
Ano3,RGC,10_Novel,ENSMUSG00000074968,Ano3,0.9491469811376032
Ntng1,RGC,10_Novel,ENSMUSG00000059857,Ntng1,0.7083805270025889
Dab1,RGC,10_Novel,ENSMUSG00000028519,Dab1,0.4619251175607373
Pcdh9,RGC,10_Novel,ENSMUSG00000055421,Pcdh9,0.8601697180792772
Auts2,RGC,10_Novel,ENSMUSG00000029673,Auts2,0.5691374088171511
Tmsb4x,RGC,10_Novel,ENSMUSG00000049775,Tmsb4x,0.5862693459004827
Tmeff2,RGC,10_Novel,ENSMUSG00000026109,Tmeff2,0.4279791646058428
Fat3,RGC,10_Novel,ENSMUSG00000074505,Fat3,0.4089997291840995
Sdk1,RGC,10_Novel,ENSMUSG00000039683,Sdk1,0.6036768829213566
Slc12a5,RGC,10_Novel,ENSMUSG00000017740,Slc12a5,0.400551208631172
Igf1,RGC,10_Novel,ENSMUSG00000020053,Igf1,0.4996651190154314
Sema6a,RGC,10_Novel,ENSMUSG00000019647,Sema6a,0.3923486409484568
Tafa1,RGC,10_Novel,ENSMUSG00000059187,Tafa1,0.4796968873223087
Hs6st3,RGC,10_Novel,ENSMUSG00000053465,Hs6st3,0.408731302394097
Fgf12,RGC,10_Novel,ENSMUSG00000022523,Fgf12,0.391628558896628
Hcn1,RGC,10_Novel,ENSMUSG00000021730,Hcn1,0.442788629873766
Pou6f2,RGC,10_Novel,ENSMUSG00000009734,Pou6f2,0.6247075548820887
Gpc6,RGC,11_Novel,ENSMUSG00000058571,Gpc6,0.4471276726793758
Hs6st3,RGC,11_Novel,ENSMUSG00000053465,Hs6st3,0.6344977932835112
Khdrbs2,RGC,11_Novel,ENSMUSG00000026058,Khdrbs2,0.4885903422872197
Pvalb,RGC,11_Novel,ENSMUSG00000005716,Pvalb,0.6411275169750055
Tac1,RGC,11_Novel,ENSMUSG00000061762,Tac1,0.9231017456029982
Ntng1,RGC,11_Novel,ENSMUSG00000059857,Ntng1,0.5166275247085884
Sgcz,RGC,11_Novel,ENSMUSG00000039539,Sgcz,0.4776352858441522
Lsamp,RGC,11_Novel,ENSMUSG00000061080,Lsamp,0.4686060232454881
Chrm3,RGC,11_Novel,ENSMUSG00000046159,Chrm3,0.7269424199270879
Ebf3,RGC,11_Novel,ENSMUSG00000010476,Ebf3,0.7115812774181939
6330403K07Rik,RGC,11_Novel,ENSMUSG00000018451,6330403K07Rik,0.3586497825253062
Cplx2,RGC,11_Novel,ENSMUSG00000025867,Cplx2,0.3996078038541903
Cntn5,RGC,11_Novel,ENSMUSG00000039488,Cntn5,0.545770121908656
Pex5l,RGC,11_Novel,ENSMUSG00000027674,Pex5l,0.7936205311195794
Gabrg3,RGC,11_Novel,ENSMUSG00000055026,Gabrg3,0.4033012981452262
Epha6,RGC,11_Novel,ENSMUSG00000055540,Epha6,0.3492880070517528
Sdk1,RGC,11_Novel,ENSMUSG00000039683,Sdk1,0.499501592069948
Ptprd,RGC,12_ooDS_NT,ENSMUSG00000028399,Ptprd,0.5597685641985289
Kcnb2,RGC,12_ooDS_NT,ENSMUSG00000092083,Kcnb2,0.4171501992895222
Pcdh9,RGC,12_ooDS_NT,ENSMUSG00000055421,Pcdh9,0.4809410262850446
Gabrg3,RGC,12_ooDS_NT,ENSMUSG00000055026,Gabrg3,0.7710503205493134
Dcc,RGC,12_ooDS_NT,ENSMUSG00000060534,Dcc,0.4151569844102826
Fstl5,RGC,12_ooDS_NT,ENSMUSG00000034098,Fstl5,0.4565113472573831
Dab1,RGC,12_ooDS_NT,ENSMUSG00000028519,Dab1,0.5248853980120287
Cplx1,RGC,12_ooDS_NT,ENSMUSG00000033615,Cplx1,0.8661901428335845
Nell1,RGC,12_ooDS_NT,ENSMUSG00000055409,Nell1,0.4574648872676305
Kcnh7,RGC,12_ooDS_NT,ENSMUSG00000059742,Kcnh7,0.6640089895590521
Ncam2,RGC,12_ooDS_NT,ENSMUSG00000022762,Ncam2,0.4753828868762574
Pde1c,RGC,12_ooDS_NT,ENSMUSG00000004347,Pde1c,0.6799057579761273
Cartpt,RGC,12_ooDS_NT,ENSMUSG00000021647,Cartpt,1.080984882480346
Tcf4,RGC,12_ooDS_NT,ENSMUSG00000053477,Tcf4,0.5689834755754
Cntn4,RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.5527082900884804
Egfem1,RGC,12_ooDS_NT,ENSMUSG00000063600,Egfem1,0.419517071523899
Alk,RGC,12_ooDS_NT,ENSMUSG00000055471,Alk,0.792621984756427
Pcdh7,RGC,12_ooDS_NT,ENSMUSG00000029108,Pcdh7,0.4722928628785388
Pcdh10,RGC,12_ooDS_NT,ENSMUSG00000049100,Pcdh10,0.4707471458444301
Nrg1_ENSMUSG00000062991,RGC,13_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,1.0597070330338876
Kirrel3,RGC,13_Novel,ENSMUSG00000032036,Kirrel3,0.4076183488333602
Ptprm,RGC,13_Novel,ENSMUSG00000033278,Ptprm,0.3990658134429167
