Cell,Subclass,Ensembl,Gene,Coefficient
Microglia,Microglia,ENSMUSG00000028832,Stmn1,0.6760250110291981
Microglia,Microglia,ENSMUSG00000001525,Tubb5,0.48100481702471587
Microglia,Microglia,ENSMUSG00000054717,Hmgb2,0.4066402781757016
Microglia,Microglia,ENSMUSG00000030654,Arl6ip1,0.33287662272895296
Microglia,Microglia,ENSMUSG00000020914,Top2a,0.2992683481285513
Microglia,Microglia,ENSMUSG00000022033,Pbk,0.2861405886092172
Microglia,Microglia,ENSMUSG00000040204,Pclaf,0.28089544974030467
Microglia,Microglia,ENSMUSG00000026864,Hspa5,0.2783883655724636
Microglia,Microglia,ENSMUSG00000028639,Ybx1,0.2759561230404668
Microglia,Microglia,ENSMUSG00000026360,Rgs2,0.2720721622847094
Microglia,Microglia,ENSMUSG00000079017,Ifi27l2a,0.26507223289418846
Microglia,Microglia,ENSMUSG00000039630,Hnrnpu,0.2583996458684258
Microglia,Microglia,ENSMUSG00000026628,Atf3,0.25773474554904324
Microglia,Microglia,ENSMUSG00000023067,Cdkn1a,0.2575910005462254
Microglia,Microglia,ENSMUSG00000030223,Ptpro,0.2567591518162362
Microglia,Microglia,ENSMUSG00000021025,Nfkbia,0.25565451050744853
Microglia,Microglia,ENSMUSG00000055148,Klf2,0.25322210669749995
Microglia,Microglia,ENSMUSG00000022021,Diaph3,0.24634110111713603
Microglia,Microglia,ENSMUSG00000033450,Tagap,0.2463147772501065
Microglia,Microglia,ENSMUSG00000056201,Cfl1,0.24621115790385265
Microglia,Microglia,ENSMUSG00000092341,Malat1,-0.5651555928875479
Microglia,Microglia,ENSMUSG00000021250,Fos,-0.29774492894019583
Microglia,Microglia,ENSMUSG00000025351,Cd63,-0.28589138254598606
Microglia,Microglia,ENSMUSG00000090733,Rps27,-0.27201368805847104
Microglia,Microglia,ENSMUSG00000007891,Ctsd,-0.2717452181846029
Microglia,Microglia,ENSMUSG00000059498,Fcgr3,-0.26855537608545976
Microglia,Microglia,ENSMUSG00000090137,Uba52,-0.2647555347970614
Microglia,Microglia,ENSMUSG00000024610,Cd74,-0.26310335130342904
Microglia,Microglia,ENSMUSG00000064373,Selenop,-0.25127320101345935
Microglia,Microglia,ENSMUSG00000034892,Rps29,-0.2427563369267866
Microglia,Microglia,ENSMUSG00000091971,Hspa1a,-0.2349761163954274
Microglia,Microglia,ENSMUSG00000020101,Vsir,-0.22917280979007396
Microglia,Microglia,ENSMUSG00000052837,Junb,-0.2289451709634321
Microglia,Microglia,ENSMUSG00000021939,Ctsb,-0.2249380025358323
Microglia,Microglia,ENSMUSG00000021876,Rnase4,-0.22084898949777843
Microglia,Microglia,ENSMUSG00000005413,Hmox1,-0.2041550372121769
Microglia,Microglia,ENSMUSG00000033713,Foxn3,-0.19586921488537176
Microglia,Microglia,ENSMUSG00000024425,Ndfip1,-0.19267032106253149
Microglia,Microglia,ENSMUSG00000004207,Psap,-0.1891374781095952
Microglia,Microglia,ENSMUSG00000023992,Trem2,-0.18317011735394315
