Cell,Subclass,Ensembl,Gene,Coefficient
RGC,10_Novel,ENSMUSG00000074968,Ano3,0.9491469811376031
RGC,10_Novel,ENSMUSG00000055421,Pcdh9,0.8601697180792772
RGC,10_Novel,ENSMUSG00000059857,Ntng1,0.7083805270025889
RGC,10_Novel,ENSMUSG00000022883,Robo1,0.6423183714414396
RGC,10_Novel,ENSMUSG00000009734,Pou6f2,0.6247075548820887
RGC,10_Novel,ENSMUSG00000039683,Sdk1,0.6036768829213566
RGC,10_Novel,ENSMUSG00000049775,Tmsb4x,0.5862693459004827
RGC,10_Novel,ENSMUSG00000029673,Auts2,0.5691374088171511
RGC,10_Novel,ENSMUSG00000020053,Igf1,0.4996651190154314
RGC,10_Novel,ENSMUSG00000059187,Tafa1,0.47969688732230875
RGC,10_Novel,ENSMUSG00000035566,Pcdh17,0.47207589846692194
RGC,10_Novel,ENSMUSG00000028519,Dab1,0.4619251175607373
RGC,10_Novel,ENSMUSG00000021730,Hcn1,0.442788629873766
RGC,10_Novel,ENSMUSG00000026109,Tmeff2,0.42797916460584284
RGC,10_Novel,ENSMUSG00000074505,Fat3,0.40899972918409955
RGC,10_Novel,ENSMUSG00000053465,Hs6st3,0.40873130239409705
RGC,10_Novel,ENSMUSG00000017740,Slc12a5,0.400551208631172
RGC,10_Novel,ENSMUSG00000019647,Sema6a,0.39234864094845684
RGC,10_Novel,ENSMUSG00000022523,Fgf12,0.39162855889662807
RGC,10_Novel,ENSMUSG00000030551,Nr2f2,0.38758986673878115
RGC,10_Novel,ENSMUSG00000003657,Calb2,-1.084856508696408
RGC,10_Novel,ENSMUSG00000029088,Kcnip4,-0.8259194313322941
RGC,10_Novel,ENSMUSG00000096914,Galntl6,-0.6346889481281174
RGC,10_Novel,ENSMUSG00000060371,Caln1,-0.5710520418296746
RGC,10_Novel,ENSMUSG00000039717,Ralyl,-0.5530746382369036
RGC,10_Novel,ENSMUSG00000050711,Scg2,-0.5096280964779795
RGC,10_Novel,ENSMUSG00000025867,Cplx2,-0.4859529787015248
RGC,10_Novel,ENSMUSG00000022048,Dpysl2,-0.42707148183488697
RGC,10_Novel,ENSMUSG00000060882,Kcnd2,-0.4232338843778098
