Cell Type	Cell Marker	Subclass	Markers	Type within Subclass	Type-Specific Markers	Function of Marker	Image Link	Notes
Photoreceptors	NA	Rods	CD39	NA	NA	ectonucleotidase. It's purpose is production of adenosine to provide an immunosuppressive environment.	https://www.researchgate.net/figure/Immunofluorescence-analysis-of-the-distribution-of-CD73-and-CD39-in-the-mouse-retina-and_fig1_358869684	
Photoreceptors	NA	Rods	Pde6a	NA	NA	 cyclic-GMP (cGMP)-specific phosphodiesterase 6A alpha subunit;  important regulator of rod cell membrane current	https://www.researchgate.net/figure/Detection-of-phosphodiesterase-6-PDE6a-expression-by-immunofluorescence-in_fig2_326270299	
Photoreceptors	NA	Cones	Arr3	NA	NA	non-visual arrestin which binds to agonist-activated, phosphorylated G protein-coupled receptors	https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.researchgate.net%2Ffigure%2FExpression-of-photoreceptor-and-nonphotoreceptor-proteins-in-3D-neural-retina-A-B_fig3_280629431&psig=AOvVaw1OLKNNmFC6CQz-NJxOMt0n&ust=1721407182657000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCOjIuOqDsYcDFQAAAAAdAAAAABA0	
Bipolar Cells	Vsx2	NA	NA	NA	NA	retina-specific transcription factor; mutations associated w/ microphthalmia, cataracts and iris abnormalities	https://journals.plos.org/plosone/article/figures?id=10.1371/journal.pone.0135830	
Bipolar Cells	NA	BC1	NA	BC1A	pcdh17	fuction-specific connections between cells in the brain	Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr3_lrg.jpg	
Bipolar Cells	NA	BC1	NA	BC1A	Tacr3	tachykinin receptor, interacts with G-proteins and hydrophobic transmembrane areas		
Bipolar Cells	NA	BC1	NA	BC1B	Wls	Wnt-protein binding activity.	Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr3_lrg.jpg	
Bipolar Cells	NA	BC1	NA	BC1B	Pcdh10	involved in homophilic cell adhesion, component of plasma membrane		
Bipolar Cells	NA	BC1	NA	BC1B	Tacr3	tachykinin receptor, interacts with G-proteins and hydrophobic transmembrane areas		
Bipolar Cells	NA	BC2	Syt2	NA	NA	inhibitory neurons, neurotransmitter release	Fig E: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg	
Bipolar Cells	NA	BC2	Rcvrn	NA	NA	recoverin Ca+ sensors, blocks phosphorylation of rhodopsin, which prolongs phototransduction light response	Fig G, purple	
Bipolar Cells	NA	BC2	Neto1	NA	NA	ionotropic glutamate receptors, in excitatory synapse and postsynaptic density membrane, active in glutamatergic synapses	Fig A	
Bipolar Cells	NA	BC2	Bhlhe22/Bhlhb5	NA	NA	allows RNA polymerase II to bind to DNA, chrimatin and identical protein binding, neuron and cerebral cortex differentiation	First column: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100943/figure/F3/	
Bipolar Cells	NA	BC2	Ebf1	NA	NA	involved in upregulating RNA polymerase II transcription	Pan-EBF, fig S	
Bipolar Cells	NA	BC2	Tacr3	NA	NA	tachykinin receptor, interacts with G-proteins and hydrophobic transmembrane areas		
Bipolar Cells	NA	BC3	NA	BC3A	Erbb4	Protein tyrosine kinase activity, found in GABA and Glutamatergic synapses	Fig B: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg	
Bipolar Cells	NA	BC3	NA	BC3A	Irx6	enables DNA binding transcription activator, RNA polymerase II specific; involved in neuron differentiation, transcriptional regulation, detection of light, retina formation		
Bipolar Cells	NA	BC3	NA	BC3B	Nnat	Has a role in neurological development.	Fig A: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg	
Bipolar Cells	NA	BC3	NA	BC3B	Grik1	kainate glutamate receptor (ionotropic)		
Bipolar Cells	NA	BC4	Col11a1	NA	NA	Encodes an alpha chain in type XI collagen	Fig C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-figs5_lrg.jpg	
Bipolar Cells	NA	BC4	Grik1	NA	NA	kainate glutamate receptor (ionotropic)		
Bipolar Cells	NA	BC4	Hcn4	NA	NA	enables intracellular cAMP-activated vation channel activity		
Bipolar Cells	NA	BC5	NA	BC5A	Sox6	Transcription factor: impacts brain development		
Bipolar Cells	NA	BC5	NA	BC5A	Kcng4	involved in K+ transport across the membrane	Fig B, bipolar cells, green: https://www.nature.com/articles/nn.3032/figures/1	
Bipolar Cells	NA	BC5	NA	BC5A	Cabp5	involved in Ca+ binding	Fig H	
Bipolar Cells	NA	BC5	NA	BC5A	Hcn1	enables intracellular cAMP-activated vation channel activity		
Bipolar Cells	NA	BC5	NA	BC5B	Chrm2	G-protein coupled receptor pathway, synaptic vesicle exocytosis	Fig C: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr4_lrg.jpg	
Bipolar Cells	NA	BC5	NA	BC5B	Cabp5	invovled in Ca+ binding	Fig H	
Bipolar Cells	NA	BC5	NA	BC5B	Hcn1	enables intracellular cAMP-activated vation channel activity		
Bipolar Cells	NA	BC5	NA	BC5C	Slitrk5	upregulates synapse construction, generating/organizing neuronal projections	Fig D: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr4_lrg.jpg	
Bipolar Cells	NA	BC5	NA	BC5D	Lrrtm1	plays a role in LTP, downregulating receptor internalization, upregulates synapse construction 	Fig E: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr4_lrg.jpg	
Bipolar Cells	NA	BC5	NA	BC5D	Kcng4	involved in K+ transport across the membrane	Fig B, bipolar cells, green: https://www.nature.com/articles/nn.3032/figures/1	
Bipolar Cells	NA	BC6	Lect 1	NA	NA	downregulates endothelial cell growth, upregulade chondocyte growth in the presence of fibroblast growth factor	Fig H: https://ars.els-cdn.com/content/image/1-s2.0-S0092867416310078-gr2_lrg.jpg	
