Name,Parent_Name,Marker,Marker_Function,Marker_Source,Marker_Notes,Set,Original_Marker,Original_Name,Original_Parent_Name
BC,ROOT,Vsx2,"retina-specific transcription factor; mutations associated w/ microphthalmia, cataracts and iris abnormalities",https://journals.plos.org/plosone/article/figures?id=10.1371/journal.pone.0135830,"",Curated,Vsx2,Bipolar Cells,Root
RGC,ROOT,Slc7a6,encodes VGLUT2; enables basic amino acid transmembrane transporter activity; associated w/ membranes of synaptic vessicles; glutamate transport; expressed in neuron-rich regions of brain; ornithine transport,Fig A: https://www.jneurosci.org/content/jneuro/27/27/7245/F7.large.jpg,pan-RGC marker,Curated,Slc7a6,Ganglion Cells,Root
RGC,ROOT,Rbpms,RNA binding protein w/ multiple splicing; exact function in retina unknown; regulates cell development in cardiomyocytes,https://ars.els-cdn.com/content/image/1-s2.0-S0021925822003842-gr2.jpg,pan-RGC marker; expressed exclusively in RGCs in the retina,Curated,Rbpms,Ganglion Cells,Root
RGC,ROOT,Pou4f1,"member of Pou-IV class of neural transcription factors; expressed in newly differentiated RGCs; pivotal role in development of RGCs; directly regulates genes involved in axon guidance and neuronal development; may indirectly control transcription factors functioning in RGC subtype specification/differentiation; binds to promoters of key upstream regulators including Atoh7, Pou4f2, and Isl1",Fig C: https://www.nature.com/articles/ncomms10472/figures/1,pan-RGC marker; aka Brn3a,Curated,Pou4f1,Ganglion Cells,Root
RGC,ROOT,Pou4f2,"member of Pou-IV class of neural transcription factors; forms complex w/ ISL1 to regulate RGC differentiation; Atoh7-Brn3b regulation pathway promotes RGC differentiation by repressing a group of reetinal developmental genes (Dlx1/Dlx2, Otx2, Crx); may be involved in maintaining visual system neurons in the retina",Fig F: https://www.researchgate.net/figure/Expression-of-Rit2-mRNA-and-protein-in-the-mouse-retina-The-top-panels-show_fig2_242334369,pan-RGC marker; aka Brn3b,Curated,Pou4f2,Ganglion Cells,Root
RGC,ROOT,Pou4f3,member of Pou-IV class of neural transcription factors; positive regulation of transcription by RNA polymerase II; may play a role in determining or maintaining the identities of RGCs,Fig M: https://www.biorxiv.org/content/biorxiv/early/2020/06/20/2020.06.20.162859/F2.large.jpg,pan-RGC marker; aka Brn3c; associated with autosomal dominant deafness,Curated,Pou4f3,Ganglion Cells,Root
RGC,ROOT,Cd90,cell surface glycoprotein (cell adhesion molecule). It's purpose is a thymocyte differentiation antigen-1.,https://www.abcam.com/products/primary-antibodies/cd90--thy1-antibody-ab273071.html,"",Curated,Cd90,Ganglion Cells,Root
RGC,ROOT,Slc17a6,Predicted to enable L-glutamate transmembrane transporter activity and neurotransmitter transmembrane transporter activity; Involved in neurotransmitter loading into synaptic vesicle,"","",Curated,Slc17a6,Ganglion Cells,Root
HC,ROOT,Onecut1,"transcription factor that's found to be enriched: may influence a variety of cellular processes including glucose metabolism, cell cycle regulation, and it may also be associated with cancer",https://www.sciencedirect.com/science/article/pii/S0012160615001165,"",Curated,Onecut1,Horizontal Cells,Root
HC,ROOT,Pax6,bind DNA and function as regulators of gene transcription; participates in neural development in the eyes,https://www.researchgate.net/figure/Expression-of-Bclaf1-in-the-adult-retina-Retinal-sections-from-adult-mice-were_fig3_259878249,"",Curated,Pax6,Horizontal Cells,Root
