Name	Marker	Curated	Queried	Minor_Coefficient	Major_Name	Major_Coefficient	Queried_Name	Raw_Mean_Expression_Subtype_Marker	Raw_Mean_Expression_Majorclass_Marker	feature_length	AC	Astrocyte	BC	Cone	Endothelial	HC	MG	Microglia	Pericyte	RGC	RPE	Rod
AC1	Ptn	Curated	Queried	0.863407807778433	AC		AC_1	4.4562445		3433.0	1.1100141	16.252975	0.012130502	0.01598125	4.969671	0.0952381	7.4873376	0.19049968	2.3002481	1.5854096	0.03846154	0.010959716
AC10	Cntn6	Curated	Queried	0.889469515668466	AC		AC_10	5.270238		6499.0	0.58148867	0.2544643	0.8862273	0.0023439166	0.009532062	0.023809524	0.078159146	0.010026298	0.017369727	0.6245732	0.0025641026	0.0025473933
AC13	Nxph1	Curated	Queried	0.459263936062799	AC		AC_13	11.068182		4753.0	0.15162633	0.01860119	0.08450478	0.0010654166	0.0	0.03968254	0.089086	0.004766601	0.004962779	0.452365	0.0076923077	0.0025770143
AC18	Cpne4	Curated	Queried	0.443939030635826	AC		AC_18	8.138116		5499.0	0.31566247	0.03125	0.0067659295	0.0025569997	0.0017331023	0.42857143	0.011826713	0.014135437	0.004962779	2.491741	0.0	0.0033471563
AC22	Cbln4	Curated	Queried	0.511309694620578	AC		AC_22	8.306479		2902.0	0.2039741	0.0029761905	0.00027005328	0.0	0.0008665511	0.0	0.0005142049	0.0016436555	0.009925558	0.033412304	0.0051282053	0.00017772512
AC42	Etv1	Curated	Queried	0.385197836269966	AC		AC_42	4.47541		13296.0	0.036096815	0.8370536	0.014196044	0.002770083	0.14124784	0.015873017	0.6772079	0.09927679	0.4292804	0.03143534	0.015384615	0.00088862557
AC61	Epha3	Curated	Queried	0.388809090774471	AC		AC_61	9.382978		8692.0	0.14460887	0.020833334	2.4563901	0.014276582	0.093587525	0.007936508	0.09307109	0.0034516766	0.037220843	0.04581325	0.0025641026	0.0029620854
AC9	Trhde	Curated	Queried	0.381585931090124	AC		AC_9	6.031496		8067.0	0.24056336	0.016369049	0.16754252	0.85595566	0.016464472	0.007936508	0.9114282	0.0016436555	0.004962779	0.6778041	0.13589744	0.10856043
BC2	Ebf1	Curated	Queried	0.336132511425278	BC		BC2	5.2827477		9756.0	1.0048753	0.122023806	0.027822787	0.00447475	11.000867	0.06349207	0.03316622	0.04766601	10.602978	7.694535	0.0051282053	0.010100711
BC2	Neto1	Curated	Queried	0.493327824575454	BC		BC2	8.448882		8352.0	0.042547952	0.0052083335	0.050704326	0.00042616663	0.0017331023	0.0	0.0020568196	0.0021367522	0.0	0.0146556655	0.0	0.0012440758
BC3A	Erbb4	Curated	Queried	0.751862917072432	BC		BC3A	45.071983		12355.0	0.45128408	0.1875	2.7192395	0.003409333	0.032928944	0.031746034	0.09371384	0.002629849	0.014888338	0.09515563	0.0025641026	0.0015402844
BC3B	Grik1	Curated	Queried	0.667267118054126	BC		BC3B	87.605385	10.755712	6721.0	0.3607958	0.029017856	10.755712	0.008736416	0.056325823	1.1349206	0.025710246	0.013642341	0.052109182	0.5597582	0.06923077	0.0055094785
BC3B	Nnat	Curated	Queried	0.738294857184353	BC		BC3B	4.2332234		1829.0	0.6090907	0.39360118	0.5139844	0.040911995	0.023396881	0.03968254	0.30145264	0.01923077	0.019851116	0.4653378	0.0076923077	0.020645734
BC5A	Cabp5	Curated	Queried	0.43493696116095	BC		BC5A	9.196382	4.444829	2526.0	0.032846626	0.01860119	4.444829	0.20924781	0.033795495	0.007936508	0.03753696	0.012656148	0.0719603	0.003986602	0.010256411	0.005805687
BC5A	Sox6	Curated	Queried	0.834492832917411	BC		BC5A	11.928114		14832.0	0.009430478	2.5766368	2.0428727	0.017046666	0.0389948	0.007936508	2.4221623	0.006903353	0.049627792	0.46373662	0.06923077	0.0030509478
BC5B	Cabp5	Curated	Queried	0.375482707779967	BC		BC5B	9.277379	4.444829	2526.0	0.032846626	0.01860119	4.444829	0.20924781	0.033795495	0.007936508	0.03753696	0.012656148	0.0719603	0.003986602	0.010256411	0.005805687
BC6	Cck	Curated	Queried	0.710003952992204	BC		BC6	10.050655		1305.0	0.30433604	0.23511904	1.4814758	0.0021308332	0.012998267	0.03968254	0.010155547	0.024819197	0.019851116	0.3965199	0.0	0.0027547393
BC9	Cpne9	Curated	Queried	0.449289651572957	BC		BC9	5.9303265		7874.0	0.014108783	0.014880952	0.12973505	0.06456424	0.017331023	0.007936508	0.0057848054	0.023833005	0.007444169	0.6091169	0.0025641026	0.00660545
RBC	Prkca	Curated	Queried	0.645918262721922	BC		RBC	52.439495	13.446982	8992.0	1.472238	2.0186012	13.446982	0.06797358	0.24263431	0.2777778	0.3629001	0.40581855	0.6253102	0.64002943	0.06923077	1.2199941
BC5A	Hcn1	Curated			BC				6.723962	18120.0	1.0519785	0.13541667	6.723962	13.54805	0.116984405	0.3015873	0.0840725	0.04832347	0.10669975	1.6171554	0.18717949	4.992506
BC5B	Hcn1	Curated			BC				6.723962	18120.0	1.0519785	0.13541667	6.723962	13.54805	0.116984405	0.3015873	0.0840725	0.04832347	0.10669975	1.6171554	0.18717949	4.992506
HC	Lhx1	Curated			HC				4.0555553	4072.0	0.0030778323	0.00074404763	0.00020436464	0.006179416	0.0008665511	4.0555553	0.0003856537	0.00295858	0.0	0.00027775508	0.0025641026	0.00041469195
MG	Aqp4	Curated	Queried		MG	0.346058551494766	MG		7.386682	6233.0	0.010809347	0.042410713	0.014904021	0.0029831664	0.006065858	0.023809524	7.386682	0.009368836	0.0024813896	0.0041009723	0.012820513	0.0041172984
MG	Glul	Curated	Queried		MG	0.713277237086002	MG		74.89227	3782.0	1.0315908	32.85491	0.2792643	0.103771575	4.3353553	0.8333333	74.89227	3.7827086	0.4019851	0.5029328	3.9564102	0.089366116
MG	Rlbp1	Curated	Queried		MG	0.334110047399776	MG		20.097698	2954.0	0.02001822	7.205357	0.013809211	0.019390581	0.3084922	0.007936508	20.097698	0.11176857	0.10918114	0.008169267	16.451283	0.02535545
MG	Pax6	Curated			MG				4.58118	11694.0	3.6049294	0.6339286	0.015020802	0.009375666	0.021663778	2.3095238	4.58118	0.074128866	0.05707196	2.5023935	0.07435898	0.016972749
MG	Slc1a3	Curated			MG				10.019282	8537.0	0.1547534	8.099703	0.00780235	0.0014915832	0.018197574	0.031746034	10.019282	0.17948718	0.009925558	0.012858426	0.020512821	0.0031694314
REACTIVE MG	Vim	Curated			MG				7.7981744	4743.0	0.03299436	6.1458335	0.0035398875	0.010014916	3.5623918	13.103174	7.7981744	0.21301775	1.6575682	0.013005474	0.44358975	0.009508294
NOVEL_19	Penk	Curated	Queried	0.590557498247825	RGC		19_Novel	6.7376394		1634.0	0.030433604	0.014880952	0.0016933071	0.0014915832	0.006932409	0.007936508	0.11453915	0.008547009	0.0	0.62769383	0.015384615	0.0019253554
NOVEL_20	Penk	Curated	Queried	0.693232745201789	RGC		20_Novel	7.2181816		1634.0	0.030433604	0.014880952	0.0016933071	0.0014915832	0.006932409	0.007936508	0.11453915	0.008547009	0.0	0.62769383	0.015384615	0.0019253554
M2	Spp1	Curated	Queried	0.807168708913127	RGC		31_M2	14.898374		1648.0	0.012582178	0.041666668	0.0012188891	0.0010654166	0.020797227	0.015873017	0.0057848054	0.8019395	0.1414392	0.26162896	0.0025641026	0.0029620854
F-NOVEL	Coch	Curated	Queried	0.548337247432337	RGC		32_F_Novel	8.465827		2998.0	0.09652082	0.016369049	0.006663747	0.00085233327	0.006065858	0.031746034	0.0033423319	0.0062458906	0.007444169	0.16537865	0.0	0.00085900474
M1A	Opn4	Curated	Queried	0.413470383073212	RGC		40_M1dup	14.241107		2961.0	0.0014281141	0.0029761905	0.00020436464	0.00042616663	0.0	0.0	0.0033423319	0.0024654833	0.0024813896	0.23556899	0.03846154	0.00047393364
ALPHAON-T	Spp1	Curated	Queried	0.331968491947648	RGC		41_AlphaONT	8.553191		1648.0	0.012582178	0.041666668	0.0012188891	0.0010654166	0.020797227	0.015873017	0.0057848054	0.8019395	0.1414392	0.26162896	0.0025641026	0.0029620854
ALPHAOFF-S	Spp1	Curated	Queried	0.363166900906414	RGC		42_AlphaOFFS	22.069307		1648.0	0.012582178	0.041666668	0.0012188891	0.0010654166	0.020797227	0.015873017	0.0057848054	0.8019395	0.1414392	0.26162896	0.0025641026	0.0029620854
ALPHAON-S	Il1rapl2	Curated	Queried	0.371084849847679	RGC		43_AlphaONS	12.19697		4692.0	0.8772068	0.014880952	4.5031238	0.0053270827	0.05285962	0.007936508	0.015297596	0.0067389873	0.08684864	0.13054489	0.0025641026	0.0021030805
NOVEL_7	Tbx20	Curated	Queried	0.550600558060341	RGC		7_Novel	4.39721		11997.0	0.00083717034	0.0029761905	0.00016057222	0.0	0.006932409	0.0	0.0026995759	0.00147929	0.012406948	0.24832939	0.0	0.00029620854
NOVEL_8	Tac1	Curated	Queried	1.01823537790118	RGC		8_Novel	7.220596		3399.0	0.9613917	0.0796131	0.00092693965	0.0059663327	0.008665511	0.055555556	0.012340918	0.0338593	0.022332506	1.382044	0.0025641026	0.0043542655
RGC	Rbpms	Curated	Queried		RGC	0.999984022126286	RGC		6.022923	6556.0	0.031566247	0.7901786	0.0020363478	0.0059663327	3.5355287	0.12698413	0.39349532	0.9436226	3.2531018	6.022923	0.03846154	0.009952607
D-OODSGC	Cartpt	Curated			RGC				6.4835553	1277.0	5.931155	1.6540178	0.008291366	0.023226082	0.08318891	0.23015873	0.055791233	0.4155161	0.08188586	6.4835553	0.015384615	0.037233412
N-OODSGC	Cartpt	Curated			RGC				6.4835553	1277.0	5.931155	1.6540178	0.008291366	0.023226082	0.08318891	0.23015873	0.055791233	0.4155161	0.08188586	6.4835553	0.015384615	0.037233412
NOVEL_14	Cartpt	Curated			RGC				6.4835553	1277.0	5.931155	1.6540178	0.008291366	0.023226082	0.08318891	0.23015873	0.055791233	0.4155161	0.08188586	6.4835553	0.015384615	0.037233412
OODSGC	Cartpt	Curated			RGC				6.4835553	1277.0	5.931155	1.6540178	0.008291366	0.023226082	0.08318891	0.23015873	0.055791233	0.4155161	0.08188586	6.4835553	0.015384615	0.037233412
T-RGC	Calb2	Curated			RGC				58.920807	1743.0	2.7637455	1.40625	0.010772936	0.039633498	0.09272097	0.9206349	0.2353773	1.1145627	0.05955335	58.920807	0.023076924	0.10053317
V-OODSGC	Calb2	Curated			RGC				58.920807	1743.0	2.7637455	1.40625	0.010772936	0.039633498	0.09272097	0.9206349	0.2353773	1.1145627	0.05955335	58.920807	0.023076924	0.10053317
