Name	Marker	Curated	Queried	Minor_Coefficient	Major_Name	Major_Coefficient
AC	Anks1b		Queried		AC	0.450539338721608
AC	Asic2		Queried		AC	0.561310625111394
AC	C1ql1		Queried		AC	0.441689752764998
AC	Cd90	Curated			AC	
AC	Dlgap1		Queried		AC	0.343128874575217
AC	Frmd5		Queried		AC	0.557746911743207
AC	Gria4		Queried		AC	0.500283671363936
AC	Nckap5		Queried		AC	0.364319547548068
AC	Pax6	Curated			AC	
AC	Pcp4		Queried		AC	0.34369216795185
AC	Prkg1		Queried		AC	0.348292893718024
AC	Ptprk		Queried		AC	0.389844651770014
AC	Synpr		Queried		AC	0.593647290678456
AC	Tfap2b		Queried		AC	0.48569023549021
AC1	Bhlhe22		Queried	0.750527324649728	AC	
AC1	Cacna2d1		Queried	0.609408410114082	AC	
AC1	Chst9		Queried	0.699933249645424	AC	
AC1	Fgf14		Queried	0.413553878541178	AC	
AC1	Filip1l		Queried	0.373811205624543	AC	
AC1	Glul		Queried	0.430262159121851	AC	
AC1	Lingo2		Queried	0.597792700244748	AC	
AC1	Nrcam		Queried	0.387476388799825	AC	
AC1	Ptn	Curated	Queried	0.863407807778433	AC	
AC1	Rbfox1		Queried	0.561531625451876	AC	
AC1	Runx1t1		Queried	0.524605178818144	AC	
AC1	Slit2		Queried	0.814131390923741	AC	
AC1	Stmn1		Queried	0.414927419045608	AC	
AC1	Tenm2		Queried	0.579669466972094	AC	
AC1	Tenm3		Queried	0.658799110910042	AC	
AC1	Tenm4		Queried	0.37679456644765	AC	
AC1	Unc5d		Queried	0.457447491563776	AC	
AC10	Cntn6	Curated	Queried	0.889469515668466	AC	
AC10	Grik2		Queried	0.636300197624468	AC	
AC10	Kcnip4		Queried	0.479949351070283	AC	
AC10	Kirrel3		Queried	0.399993016388437	AC	
AC10	Nckap5		Queried	0.526493340937973	AC	
AC10	Nrxn1		Queried	0.339956628308168	AC	
AC10	Prkcb		Queried	0.300564574298399	AC	
AC10	Tenm2		Queried	0.328006191057064	AC	
AC11	Slc35d3	Curated			AC	
AC13	A930001a20rik		Queried	0.315031698636036	AC	
AC13	Nxph1	Curated	Queried	0.459263936062799	AC	
AC13	Pcdh7		Queried	0.346793046430918	AC	
AC13	Slc17a8		Queried	0.411993702788892	AC	
AC14	Cbln2		Queried	0.572221671287597	AC	
AC14	Ctnnd2		Queried	0.365442039149197	AC	
AC14	Dmd		Queried	0.377416258433836	AC	
AC14	Frmd5		Queried	0.386735903876321	AC	
AC14	Grik1		Queried	0.543066812822616	AC	
AC14	Gulo	Curated			AC	
AC14	Inpp4b		Queried	0.303601826596173	AC	
AC14	Meis2		Queried	0.360855714363316	AC	
AC14	Oxr1		Queried	0.30095212061907	AC	
AC14	Tenm3		Queried	0.336269678735744	AC	
AC14	Tfap2b		Queried	0.485539965386421	AC	
AC14	Zfhx3		Queried	0.313057598802583	AC	
AC15	Galntl6		Queried	0.368557018755616	AC	
AC15	Vmn2r122	Curated			AC	
AC16	Sct	Curated			AC	
AC17	Gng7	Curated			AC	
AC18	Celf2		Queried	0.312108511264779	AC	
AC18	Cpne4	Curated	Queried	0.443939030635826	AC	
AC18	Galntl6		Queried	0.33588378485919	AC	
AC19	Cntnap2		Queried	0.301337898568525	AC	
AC19	Nxph2	Curated			AC	
AC19	Wwox		Queried	0.345088228796772	AC	
AC2	C1ql1		Queried	0.424057444625612	AC	
AC2	Cntnap5a		Queried	0.377859989263763	AC	
AC2	Crybb3	Curated			AC	
AC2	Gabrg3		Queried	0.745716471246877	AC	
AC2	Grm7		Queried	0.385244409533476	AC	
AC2	Id4		Queried	0.622734858451205	AC	
AC2	Kcna6		Queried	0.66337650764406	AC	
AC2	Lhfp		Queried	0.525347994077916	AC	
AC2	Maf		Queried	1.35050429365248	AC	
AC2	Pcdh7		Queried	1.31044666607013	AC	
AC2	Pex5l		Queried	0.697170445192482	AC	
AC2	Ptn		Queried	0.439594009348769	AC	
AC2	Ptprd		Queried	0.695097813776163	AC	
AC2	Rbfox1		Queried	0.380587014569347	AC	
AC2	Stxbp6		Queried	0.410282113566525	AC	
AC20	Gabrg3		Queried	0.390629595107129	AC	
AC20	Gad1		Queried	0.347556115271649	AC	
AC20	Grm8		Queried	0.312927107498528	AC	
AC20	Gucy1a1		Queried	0.32295415994515	AC	
AC20	Ncam2		Queried	0.307589318733078	AC	
AC20	Pcdh9		Queried	0.655432038061531	AC	
AC20	Ralyl		Queried	0.304992417871338	AC	
AC20	Sema3a	Curated			AC	
AC20	Zfhx3		Queried	0.414419792638943	AC	
AC20	Zmat4		Queried	0.330036269093963	AC	
AC21	Cntn5		Queried	0.320463000785951	AC	
AC21	Elavl2	Curated	Queried	0.316481258778322	AC	
AC21	Lrrc4c		Queried	0.320500263040202	AC	
AC21	Pcdh9		Queried	0.405628883953495	AC	
AC21	Robo1		Queried	0.44276752372467	AC	
AC21	Tac1		Queried	0.435990087508893	AC	
AC22	C1ql1		Queried	0.388045058633779	AC	
AC22	Cbln4	Curated	Queried	0.511309694620578	AC	
AC22	Csmd1		Queried	0.327181261869144	AC	
AC22	Erbb4		Queried	0.304196449360259	AC	
AC22	Kirrel3		Queried	0.306209468595683	AC	
AC22	Opcml		Queried	0.344691976430472	AC	
AC22	Ralyl		Queried	0.354133319483936	AC	
AC22	Rnf220		Queried	0.333152880136033	AC	
AC22	Schip1		Queried	0.343816571066157	AC	
AC22	Vip		Queried	0.917217238824076	AC	
AC23	Aldoc		Queried	0.308836443041989	AC	
AC23	Ank2		Queried	0.311108908172282	AC	
AC23	Ank3		Queried	0.337492363288744	AC	
AC23	Caln1		Queried	0.308333577866298	AC	
AC23	Nrg1_ensmusg00000062991		Queried	0.399267088251054	AC	
AC23	Opcml		Queried	0.393190949760541	AC	
AC23	Pcdh17		Queried	0.332669778819107	AC	
AC23	Pcdh9		Queried	0.361295451701402	AC	
AC23	Prkca		Queried	0.328648861546708	AC	
AC23	Ptprm		Queried	0.314844331673403	AC	
AC23	Rasgrp1	Curated			AC	
AC23	Robo1		Queried	0.30946645773547	AC	
AC23	Scg2		Queried	0.494880605712392	AC	
AC24	Neurod6	Curated			AC	
AC24	Ppp1r17		Queried	0.362021123835338	AC	
AC25	Adamtsl1		Queried	0.464545874923382	AC	
AC25	Calb2		Queried	0.802290278300499	AC	
AC25	Galntl6		Queried	0.601599961903976	AC	
AC25	Tpbg	Curated			AC	
AC26	Abi3bp	Curated			AC	
AC26	Csmd1		Queried	0.373540380271589	AC	
AC26	Dcc		Queried	0.345233073589832	AC	
AC26	Nrg1_ensmusg00000062991		Queried	0.431630685483588	AC	
AC26	Scg2		Queried	0.465676148547764	AC	
AC27	Galntl6		Queried	0.712964553227884	AC	
AC27	Igsf3	Curated			AC	
AC27	Pcp4		Queried	0.513652800135846	AC	
AC27	Unc13c		Queried	0.313490491247918	AC	
AC27	Unc5d		Queried	0.331152157756082	AC	
AC28	Brinp3		Queried	0.505285504518828	AC	
AC28	Fgf14		Queried	0.4885091692476	AC	
AC28	Hs6st3		Queried	0.304704287488957	AC	
AC28	Nfib	Curated			AC	
AC28	Pcdh17		Queried	0.435389528304804	AC	
AC28	Sgcd		Queried	0.34471155546287	AC	
AC29	Csmd1		Queried	0.313864495184925	AC	
AC29	Pcdh9		Queried	0.343734522713625	AC	
AC3	Gjd2	Curated			AC	
AC3	Nrg1_ensmusg00000062991		Queried	0.342468205394228	AC	
AC30	Cntn5		Queried	0.476323028814084	AC	
AC30	Igfbp5	Curated			AC	
AC31	Cdh20		Queried	0.339841322747773	AC	
AC31	Csmd1		Queried	0.406579532045739	AC	
AC31	Cxcl14		Queried	0.351596168087462	AC	
AC31	Tac1		Queried	0.654609655192712	AC	
AC31	Tpbg		Queried	0.434526062819512	AC	
AC32	Adarb2		Queried	0.715352194371419	AC	
AC32	Cdh18		Queried	0.372192295038353	AC	
AC32	Cntnap5a		Queried	0.532915674996419	AC	
AC32	Kcna6		Queried	0.390007054355119	AC	
AC32	Kcnip1		Queried	0.335372484830318	AC	
AC32	Lingo2		Queried	0.471517084189077	AC	
AC32	Maf		Queried	0.720028279081833	AC	
