Curated	All_Genes	Highly_Variable
Vsx2	TRUE	TRUE
Slc7a6	TRUE	FALSE
Rbpms	TRUE	TRUE
Pou4f1	TRUE	TRUE
Pou4f2	TRUE	FALSE
Pou4f3	TRUE	FALSE
Cd90	FALSE	FALSE
Slc17a6	TRUE	FALSE
Onecut1	TRUE	FALSE
Pax6	TRUE	TRUE
Lhx1	TRUE	FALSE
Cd39	FALSE	FALSE
Pde6a	TRUE	TRUE
Arr3	TRUE	TRUE
Syt2	TRUE	FALSE
Rcvrn	TRUE	TRUE
Neto1	TRUE	TRUE
Bhlhe22	TRUE	TRUE
Ebf1	TRUE	TRUE
Tacr3	TRUE	TRUE
Col11a1	TRUE	TRUE
Grik1	TRUE	TRUE
Hcn4	TRUE	FALSE
Cnmd	TRUE	TRUE
Cck	TRUE	TRUE
Igfn1	TRUE	TRUE
Serpini1	TRUE	FALSE
Cpne9	TRUE	TRUE
Vstm2b	TRUE	TRUE
Casp7	TRUE	TRUE
Rpa1	TRUE	TRUE
Spock3	TRUE	TRUE
Prkca	TRUE	TRUE
Car8	TRUE	TRUE
Sebox	TRUE	TRUE
Otx2	TRUE	TRUE
Slc1a2	TRUE	FALSE
Scgn	TRUE	TRUE
Prkar2b	TRUE	FALSE
Isl1	TRUE	TRUE
Grm6	TRUE	TRUE
Spp1	TRUE	TRUE
Calb1	TRUE	TRUE
Opn4	TRUE	TRUE
Tbr1	TRUE	FALSE
Jam2	TRUE	TRUE
Calb2	TRUE	TRUE
Tusc5	FALSE	FALSE
Foxp2	TRUE	TRUE
Foxp1	TRUE	FALSE
Ebf3	TRUE	TRUE
Eomes	TRUE	FALSE
Tbx20	TRUE	TRUE
Adcyap1	TRUE	FALSE
Cartpt	TRUE	TRUE
Neurod2	TRUE	TRUE
Satb2	TRUE	FALSE
Ptn	TRUE	TRUE
Crybb3	TRUE	TRUE
Gjd2	TRUE	TRUE
Prom1	TRUE	TRUE
Cbfa2t3	TRUE	FALSE
Nefh	TRUE	FALSE
Pcdh17	TRUE	TRUE
Tfap2e	TRUE	FALSE
Trhde	TRUE	TRUE
Cntn6	TRUE	TRUE
Slc35d3	TRUE	FALSE
Gm10631	TRUE	FALSE
Nxph1	TRUE	TRUE
Gulo	TRUE	FALSE
Vmn2r122	FALSE	FALSE
Sct	TRUE	FALSE
Gng7	TRUE	FALSE
Cpne4	TRUE	TRUE
Nxph2	TRUE	FALSE
Sema3a	TRUE	TRUE
Elavl2	TRUE	FALSE
Cbln4	TRUE	TRUE
Rasgrp1	TRUE	FALSE
Neurod6	TRUE	FALSE
Tpbg	TRUE	TRUE
Abi3bp	TRUE	TRUE
Igsf3	TRUE	FALSE
Nfib	TRUE	TRUE
Glra1	TRUE	TRUE
Igfbp5	TRUE	TRUE
Stxbp6	TRUE	TRUE
Ramp3	TRUE	FALSE
Robo3	TRUE	FALSE
Tpm2	TRUE	FALSE
2010007h06rik	TRUE	FALSE
Kctd12	TRUE	FALSE
Crh	TRUE	FALSE
Bcl11b	TRUE	FALSE
Mef2c	TRUE	TRUE
Gch1	TRUE	FALSE
Pou3f1	TRUE	TRUE
Etv1	TRUE	TRUE
Tbx2	TRUE	FALSE
Gpr88	TRUE	FALSE
Otor	TRUE	TRUE
Nefm	TRUE	TRUE
Slc38a5	TRUE	FALSE
Adra1b	TRUE	FALSE
Sh3bp5	TRUE	FALSE
Ldb2	TRUE	TRUE
Ghrh	TRUE	FALSE
Gm525	TRUE	FALSE
Ngf	TRUE	FALSE
Tmem163	TRUE	FALSE
Mafb	TRUE	TRUE
Lrtm1	TRUE	TRUE
Tmeff2	TRUE	TRUE
Apela	TRUE	TRUE
Igfbp2	TRUE	TRUE
Tnfsf8	TRUE	FALSE
Epha3	TRUE	TRUE
Pappa2	TRUE	FALSE
Crip2	TRUE	TRUE
Slc1a3	TRUE	TRUE
Gfap	TRUE	TRUE
Pdgfra	TRUE	TRUE
S100b	TRUE	TRUE
Isg15	TRUE	TRUE
Cd74	TRUE	TRUE
Ptprc	TRUE	TRUE
Tmem119	TRUE	TRUE
P2ry12	TRUE	TRUE
Irf7	TRUE	TRUE
Rlbp1	TRUE	TRUE
Aqp4	TRUE	TRUE
Glul	TRUE	TRUE
Cldn5	TRUE	TRUE
Ly6c1	TRUE	TRUE
Pecam1	TRUE	TRUE
Pdgfrb	TRUE	TRUE
Acta2	TRUE	FALSE
Rgs5	TRUE	TRUE
Mgp	TRUE	TRUE
Rdh5	TRUE	TRUE
Rpe65	TRUE	TRUE
Krt15	TRUE	FALSE
Gsto1	TRUE	FALSE
Gpx3	TRUE	TRUE
Penk	TRUE	TRUE
Dcn	TRUE	FALSE
Serpina3n	TRUE	FALSE
Mlana	TRUE	FALSE
Retnlg	TRUE	FALSE
S100a9	TRUE	FALSE
Srgn	TRUE	TRUE
Slpi	TRUE	FALSE
Ccr2	TRUE	FALSE
Ms4a6c	TRUE	FALSE
Cd209a	TRUE	FALSE
Ms4a7	TRUE	FALSE
Tgfbi	TRUE	FALSE
Lsp1	TRUE	TRUE
Lyz2	TRUE	TRUE
Cd79a	TRUE	FALSE
Ms4a1	TRUE	FALSE
Igha	TRUE	FALSE
Jchain	TRUE	TRUE
Cd3d	TRUE	FALSE
Trbc2	TRUE	FALSE
Nkg7	TRUE	FALSE
Wls	TRUE	TRUE
Pcdh10	TRUE	TRUE
Erbb4	TRUE	TRUE
Irx6	TRUE	FALSE
Nnat	TRUE	TRUE
Sox6	TRUE	TRUE
Kcng4	TRUE	TRUE
Cabp5	TRUE	TRUE
Hcn1	TRUE	TRUE
Chrm2	TRUE	TRUE
Slitrk5	TRUE	FALSE
Lrrtm1	TRUE	TRUE
Il1rapl2	TRUE	TRUE
Kit	TRUE	FALSE
Fes	TRUE	FALSE
Pcdh20	TRUE	FALSE
Irx4	TRUE	FALSE
Calca	TRUE	FALSE
Slc7a11	TRUE	FALSE
Plpp4	TRUE	FALSE
Serpine2	TRUE	TRUE
Amigo2	TRUE	FALSE
Lypd1	TRUE	FALSE
