Curated	Highly_Variable
Vsx2	TRUE
Slc7a6	FALSE
Rbpms	TRUE
Pou4f1	TRUE
Pou4f2	FALSE
Pou4f3	FALSE
Cd90	FALSE
Slc17a6	FALSE
Onecut1	FALSE
Pax6	TRUE
Lhx1	FALSE
Cd39	FALSE
Pde6a	TRUE
Arr3	TRUE
Syt2	FALSE
Rcvrn	TRUE
Neto1	TRUE
Bhlhe22/Bhlhb5	FALSE
Ebf1	TRUE
Tacr3	TRUE
Col11a1	TRUE
Grik1	TRUE
Hcn4	FALSE
Lect 1	FALSE
Cck	TRUE
Igfn 1	FALSE
Seripini1	FALSE
Cpne9	TRUE
Vstm2b	TRUE
Casp7	TRUE
Rpa1	TRUE
Spock 3	FALSE
Prkca/Pkca	FALSE
Car8	TRUE
Sebox	TRUE
Otx2	TRUE
Slc1a2	FALSE
Scgn	TRUE
Prkar2b	FALSE
Isl1	TRUE
Grm6	TRUE
Spp1	TRUE
Calb1	TRUE
Opn4	TRUE
Tbr1	FALSE
Jam2	TRUE
Calb2	TRUE
Tusc5	FALSE
Foxp2	TRUE
Foxp1	FALSE
Ebf3	TRUE
Eomes	FALSE
Tbx20	TRUE
Adcyap1	FALSE
Cartpt	TRUE
Neurod2	TRUE
Satb2	FALSE
Ptn	TRUE
Crybb3	TRUE
Gjd2	TRUE
Prom1	TRUE
Cbfa2t3	FALSE
Nefh	FALSE
Pcdh17	TRUE
Tfap2e	FALSE
Trhde	TRUE
Cntn6	TRUE
Slc35d3	FALSE
Gm10631	FALSE
Nxph1	TRUE
Gulo	FALSE
Vmn2r122	FALSE
Sct	FALSE
Gng7	FALSE
Cpne4	TRUE
Nxph2	FALSE
Sema3a	TRUE
Elavl2	FALSE
Cbln4	TRUE
Rasgrp1	FALSE
Neurod6	FALSE
Tpbg	TRUE
Abi3bp	TRUE
Lgsf3	FALSE
Nfib	TRUE
Glra1	TRUE
Lgfbp5	FALSE
Stxbp6	TRUE
Ramp3	FALSE
Robo3	FALSE
Tpm2	FALSE
2010007h06rik	FALSE
Kctd12	FALSE
Crh	FALSE
Bcl11b	FALSE
Mef2c	TRUE
Gch1	FALSE
Pou3f1	TRUE
Etv1	TRUE
Tbx2	FALSE
Gpr88	FALSE
Otor	TRUE
Nefm	TRUE
Slc38a5	FALSE
Adra1b	FALSE
Sh3bp5	FALSE
Ldb2	TRUE
Ghrh	FALSE
Gm525	FALSE
Ngf	FALSE
Tmem163	FALSE
Mafb	TRUE
Lrtm1	TRUE
Tmeff2	TRUE
Apela	TRUE
Igfbp2	TRUE
Tnfsf8	FALSE
Epha3	TRUE
Pappa2	FALSE
Crip2	TRUE
Slc1a3	TRUE
Gfap	TRUE
Pdgfra	TRUE
S100b	TRUE
Isg15	TRUE
Cd74	TRUE
Ptprc	TRUE
Tmem119	TRUE
P2ry12	TRUE
Irf7	TRUE
Rlbp1	TRUE
Aqp4	TRUE
Glul	TRUE
Cldn5	TRUE
Ly6c1	TRUE
Pecam1	TRUE
Pdgfrb	TRUE
Acta2	FALSE
Rgs5	TRUE
Mgp	TRUE
Rdh5	TRUE
Rpe65	TRUE
Krt15	FALSE
Gsto1	FALSE
Gpx3	TRUE
Penk	TRUE
Dcn	FALSE
Igfbp5	TRUE
Serpina3n	FALSE
Mlana	FALSE
Retnlg	FALSE
S100a9	FALSE
Srgn	TRUE
Slpi	FALSE
Ccr2	FALSE
Ms4a6c	FALSE
Cd209a	FALSE
Ms4a7	FALSE
Tgfbi	FALSE
Lsp1	TRUE
Lyz2	TRUE
Cd79a	FALSE
Ms4a1	FALSE
Igha	FALSE
Jchain	TRUE
Cd3d	FALSE
Trbc2	FALSE
Nkg7	FALSE
Wls	TRUE
Pcdh10	TRUE
Erbb4	TRUE
Irx6	FALSE
Nnat	TRUE
Sox6	TRUE
Kcng4	TRUE
Cabp5	TRUE
Hcn1	TRUE
Chrm2	TRUE
Slitrk5	FALSE
Lrrtm1	TRUE
Il1rapl2	TRUE
Kit	FALSE
Fes	FALSE
Pcdh20	FALSE
Irx4	FALSE
Calca	FALSE
Slc7a11	FALSE
Plpp4	FALSE
Serpine2	TRUE
Amigo2	FALSE
Lypd1	FALSE
Ntrk1	FALSE
Prokr1	FALSE
Postn	FALSE
Zic1	FALSE
Sdk2	FALSE
Pde1a	TRUE
Anza3	FALSE
Cdk15	FALSE
Coch	TRUE
Rhox5	FALSE
Prdm8	TRUE
A230065h16rik	FALSE
Nmb	FALSE
Serpine 2	FALSE
Cdhr1	TRUE
Tagln2	TRUE
Prkcq	FALSE
Tac1	TRUE
Mmp17	FALSE
Col25a1	TRUE
Fam19a4	FALSE
Slc24a2	TRUE
Gal	TRUE
Slc17a1	TRUE
Igfbp	FALSE
Prlr	FALSE
Igfbp4	TRUE
Serpinb1b	FALSE
Gm17750	TRUE
Vit	TRUE
4833423e24rik	FALSE
Prkcg	FALSE
Ceacam	FALSE
Cdh1	FALSE
Bhlhe22	TRUE
Fxyd6	TRUE
Ifit3	TRUE
Ifit1	FALSE
Igf2	TRUE
Angpt4	FALSE
Vegfa	FALSE
Cp	TRUE
Lcn2	FALSE
Chil1	TRUE
Mki67	FALSE
Cks2	FALSE
Cenpa	FALSE
Nes	FALSE
Fabp7	TRUE
Top2a	FALSE
Ccnb2	FALSE
Oasl2	TRUE
Bst2	TRUE
Mt2	TRUE
Vim	TRUE
Ear2	FALSE
Ace	FALSE
