majorclass,Nckap5,Dlgap1,C1ql1,Synpr,Ptprk,Asic2,Gria4,Frmd5,Tfap2b,Anks1b,Pcp4,Prkg1,Creb5,Csrp1,S100b,Mlc1,Dnajb1,Hspa1a,Fos,Fosb,Junb,Gfap,Ppp1r15a,Egr1,Eftud2,Zswim6,Aldoc,Vcl,Ccn1,Wwtr1,Atf3,Ptprz1,Ttyh1,Bsg,Trpm1,Samsn1,Scg2,Zfp804b,Grm5,Slit2,Tenm3,Gm20754,Pcdh9,Grik1,Gnat2,Gm32442,Gngt2,Gnb3,Pde6h,Pde6c,Pcdh15,Pals2,Opn1sw,Opn1mw,Mylk,Arr3,Lrfn2,Rbp3,Cdh18,Cngb3,Rtbdn,Slc24a2,Plcb1,Pltp,Itm2a,Klf2,Adgrl4,Ly6c1,Igfbp7,Slco1a4,Mecom,Ctla2a,Tm4sf1,Ly6a,Id1,Cldn5,Arl15,Flt1,Ptprb,Ptprm,Hs6st3,Vim,Nebl,Frmpd4,Thsd7b,Megf11,Ndrg1,Chgb,Utrn,Egfem1,Ryr3,Rgs3,Calb1,Dock4,Galnt18,Vwc2,Arhgap15,Rbms3,Rlbp1,Spc25,Prdx6,Abca8a,Dbi,Glul,Acsl3,Clu,Aqp4,Col9a1,Gng5,Gpr37,Mfge8,Il33,Dkk3,Hexb,C1qa,C1qb,C1qc,Trem2,Ctsz,Selenop,Laptm5,Ly86,Ctss,Tmsb4x,Dlc1,Ebf1,Crip1,Rgs5,Sparcl1,Cald1,Ndufa4l2,Pde3a,Myl9,Mgp,Vtn,Pdgfrb,Plcl1,Atp1a2,Gngt1,Thy1,Nefm,Stmn2,Nrn1,Rbfox1,Hmgn1,Rbpms,Kctd16,Il1rapl1,Kcnd2,Galntl6,Rbp1,Timp3,Trf,Rpe65,Rgr,Mt3,Rdh5,Slc16a8,Slc16a1,Col8a1,Ctsd,Calb2,Rho,Cmss1,Sag,Dmd,Rp1,Epb41,Pde6g,Nefl,Cartpt,Marchf1
AC,0.5039035,1.466782,1.0013206,1.4853266,0.8058216,1.862911,1.3804842,1.467954,0.84540445,1.2901509,1.1881213,1.2253201,0.007916402,0.012110759,0.031050434,0.0010959831,0.12820789,0.08308254,0.4330495,0.06383898,0.25916243,0.0018227855,0.046301816,0.18179373,0.10849798,0.16973427,0.70728827,0.03072258,0.007035129,0.00708237,0.002129004,0.042789605,0.15940185,0.9859716,0.011851887,0.028625006,0.540844,0.13079013,0.15903057,0.6004796,0.5739779,0.019305557,0.9587871,0.16495714,0.014951727,0.0048953933,0.03861852,0.07680974,0.055336226,0.0047449865,0.19426998,0.28434107,0.050075848,0.019353513,0.049455855,0.018035932,0.08224179,0.009314711,0.40504882,0.0731513,0.030553019,0.14174592,0.38925412,0.001658094,0.006701253,0.0146459,0.00045920367,0.0003220329,0.063963965,0.00071094395,0.00086612103,0.00036239505,0.000509665,9.063018e-05,0.005118556,0.0010265578,0.27805322,0.004036084,0.0043317294,0.1763907,0.5828292,0.019783603,0.44771644,0.1262072,0.06352025,0.048527163,0.023476763,0.6207805,0.18418466,0.25079325,0.09684532,0.09943374,0.17648914,0.064024925,0.1787063,0.2668614,0.05696703,0.1812403,0.011837571,0.012652676,0.14859402,0.0017567518,0.36057556,0.38655362,0.21386808,0.24286768,0.00720902,0.007198414,0.037727054,0.04476152,0.0055900724,0.0017477873,0.6519948,0.04130388,0.00058531103,0.0003117389,0.00044867088,0.00046866058,0.056028474,0.0027025975,9.0769296e-05,0.0017204755,0.0007506408,1.0317326,0.09099852,0.38419452,0.0013188323,0.020328373,0.42773667,0.09541399,0.002715003,0.5137064,0.0019638038,0.00074596616,0.0062253014,0.00038562177,0.19841029,0.007219286,0.067443326,0.5264393,0.086428925,0.41972566,0.049241446,1.1536531,0.66023827,0.025499335,0.4908697,0.5981055,0.1470176,0.4486229,0.0068066777,0.01188658,0.0114176525,9.59674e-05,0.00014341826,0.13765135,0.0072452743,0.00061432243,0.021819687,0.020775734,0.3396095,0.60535973,0.028890679,0.40992004,0.09310274,0.25257087,0.0083616935,0.1969244,0.027612004,0.2302249,0.44102493,0.038238656
Astrocyte,1.2735941,0.3036685,0.39287496,0.10905813,0.46239045,0.12672803,0.06609352,0.05338456,0.034307033,0.076975405,0.42151356,0.07918739,1.2755754,1.1107333,2.2753677,1.6429071,1.018881,1.7354883,3.270154,1.601988,2.5441577,2.3472853,1.1906462,1.8110602,1.6555408,1.0226752,2.9152448,1.5371735,1.9796389,0.9687064,1.4329728,0.01639929,0.43453518,2.058598,0.0056841755,0.011925389,0.085366495,0.07285361,0.0075782784,0.07007238,0.29177684,0.0043103755,1.2997236,0.011031677,0.011997123,0.0042137,0.03852703,0.020580325,0.04994269,0.0007648275,0.07700724,0.04289319,0.023862103,0.011261166,0.045887303,0.0079776505,0.0041816346,0.071182,0.019543186,0.002619287,0.050353296,0.012508111,0.025167737,0.0027588513,0.016701397,0.2909436,0.00017433793,0.0003340892,0.0068969955,0.00058076147,0.00046398916,0.0025734738,0.0054450165,0.0027950108,0.82628715,0.0017339168,0.22600342,0.018224986,0.01406141,0.24384686,0.037347257,1.3181899,0.027802786,0.055237606,0.0045897514,0.0066861548,0.15883085,0.0683121,0.18564215,0.075590074,0.011478735,0.110021226,0.025261743,0.05790803,0.09352769,0.010822209,0.012014229,0.2922692,1.4619164,0.1964481,1.9345828,0.032189652,2.9521377,2.7733388,0.29594216,2.7238498,0.014317791,0.111796945,1.064043,0.021094844,0.16408135,0.013569699,1.4512911,0.3312857,0.21467547,0.21257657,0.17101304,0.09267561,0.3688593,0.280941,0.056794588,0.04508532,0.24156587,1.3702749,0.5917452,0.04380606,1.4689593,1.4177109,0.40155852,0.8280836,0.05120186,0.030946001,0.111223474,0.00064028986,0.05778319,0.0033824078,0.4708975,0.94672066,0.3788056,0.17693669,0.08201203,0.10888449,0.097839616,0.08620086,0.9004867,0.2531501,0.037976567,0.31808218,0.012536409,0.037827186,0.13494618,2.0012965,0.88187146,0.0,0.009800373,0.75159246,0.028762748,0.0,0.12461065,0.048503906,1.4601507,0.5075365,0.83497936,0.16883576,0.31736964,0.55492276,0.04311555,0.092377245,0.44801858,0.20660222,0.2788925,0.039155714
BC,0.44592348,0.15935293,0.0010607349,0.2559433,0.071218,0.72172433,0.24059398,0.16048695,0.001222117,0.36528867,1.2113599,1.4951407,0.00653462,0.0031218699,0.021527773,0.0013770736,0.0606525,0.0040535643,0.21702644,0.003618221,0.11851509,0.00046844472,0.038064077,0.258813,0.092396736,0.03323768,0.5556942,0.04672448,0.001430016,0.0013784549,0.00625941,1.1116574,1.057017,1.0877022,1.5853729,1.4688522,1.0312413,2.6452825,1.365754,0.3909646,1.2776704,1.2669656,1.9636954,0.69713205,0.20539571,0.028642945,0.58186054,1.5538315,0.0055235703,0.0021414899,1.1075817,0.27169874,0.0026271876,0.0053108027,0.062141526,0.0039996947,0.19075428,0.21570331,1.0759437,0.40630266,0.048539035,0.3586489,0.22686623,0.013387348,0.006842468,0.0013412905,0.0003849182,0.0007784263,0.03101149,0.0006424279,0.0011499868,0.00045582114,0.0003608846,0.0004783141,0.0017178277,0.0008370177,0.22654192,0.0021568998,0.024955604,0.21897656,0.010483931,0.0024969513,0.43759653,0.06397938,0.036458198,0.0015994454,0.06106641,0.7001025,0.041472413,0.17870216,0.60677403,0.24640863,0.002142031,0.09017319,0.01678668,0.037725903,0.11885359,0.028586904,0.009874258,0.0069043688,0.07079061,0.0034415321,0.233629,0.15144102,0.14104427,0.15561727,0.008587352,0.0027616941,0.007850597,0.0343613,0.00835509,0.001958812,0.0078707365,0.019621713,0.0022104892,0.0026711456,0.0013681927,0.0012244469,0.08479006,0.0011319596,0.0007104163,0.0006610718,0.004037228,0.41284364,0.41337168,0.008724495,0.0007764569,0.0016712266,0.0028405723,0.12843116,0.00047158828,0.15110506,0.0009847807,0.0011037425,0.0048462115,0.00044276917,0.84646755,0.0016265328,0.83025223,0.011020381,0.0030358809,0.0043741954,0.002425263,0.02906915,0.9680047,0.0018133618,0.2015533,0.0533619,0.12704185,0.023740087,0.07445195,0.0038448318,0.0031035203,0.00020293864,0.0010259273,0.199086,0.012977965,0.0038259875,0.016929498,0.0579155,0.22762673,0.0088947825,0.020306613,0.5046108,0.0907899,1.0852451,0.0066571343,0.6062214,0.08509168,0.0070591155,0.0056119566,0.06708744
Cone,0.027245367,0.042664614,0.0031091233,0.008115956,0.004751319,0.011054933,0.0045769014,0.56228656,0.0030535522,0.012393175,0.06947547,0.011311875,0.00050061697,0.0007046662,0.003920907,0.0006739504,0.07001079,0.062399097,0.113562286,0.02384185,0.040343624,0.00026232252,0.038278725,0.09553327,0.10189602,0.1400898,0.38492525,0.09683772,0.0006071717,0.041378442,0.010996664,0.007537034,0.6091105,1.1863908,0.012537908,0.12090694,0.016371671,0.022922702,0.007728048,0.005425407,0.113348044,0.0080574695,0.17033762,0.008618874,2.3138635,1.2355862,3.088615,2.5110164,3.5861185,2.0362597,3.5001,1.2301637,1.498977,2.992639,1.5429351,3.2698257,1.3204539,2.0774608,2.7950006,2.5681267,1.8340491,1.3610415,0.0028094803,0.006721853,0.0057532685,0.00043849068,0.0011075548,0.00028616594,0.011060523,0.0009823545,0.00013679895,0.0006304154,0.0004665245,0.00046709608,0.00070836605,0.0012468767,0.47565147,0.001994754,0.00062864035,0.0067482167,0.00083781406,0.0056450516,0.00571738,0.0010887362,0.0011977836,0.0009663519,0.011408467,0.97653097,0.0020841102,0.0026181457,0.014491277,0.0086458195,0.00838778,0.062132612,0.0013457385,0.0018857763,0.0011672823,0.022813592,0.010174141,0.008025162,0.05292655,0.0023815238,0.15268746,0.051652156,0.4729154,0.46681914,0.0014586974,0.00105105,0.07785371,0.0024843307,0.6362098,0.001724274,0.004462185,0.055678725,0.0030118767,0.003005799,0.0017280359,0.00025663374,0.103394784,0.0016994171,0.00026393603,0.00043541024,0.00261894,0.8293012,0.13419303,0.00369154,0.0022765999,0.0013602031,0.0041912487,0.008225347,0.0004291825,0.14278434,0.00065704493,0.00032032465,1.00549,0.00016665507,0.41403356,0.0011768817,2.5333142,0.005695487,0.011427318,0.009153175,0.031585388,0.10595892,1.5792516,0.0051388047,0.009267371,0.0022161698,0.0038138055,0.0062687267,0.0050275126,0.0035122351,0.0014450958,0.0003233844,9.4614064e-05,0.011710692,0.00575468,0.0,0.39646024,0.0005050316,0.4592768,0.032159317,0.10866617,0.8447994,2.7137046,3.0926719,0.9037267,1.4990844,2.242799,0.024631986,0.017339196,2.1342168
Endothelial,0.035480924,0.04753098,0.008454814,0.03307736,0.73201793,0.06853608,0.014049254,0.47980002,0.013487035,0.015184326,0.060387716,1.055685,0.03300352,0.31522924,0.015914828,0.0067308466,0.4732547,1.3510728,1.6328374,0.75506854,1.675609,0.004167027,0.661343,0.8764498,0.13164572,0.5937658,0.037844516,0.7663028,0.90135014,0.8126782,0.7224516,0.012468978,0.03131235,3.5304878,0.028287197,0.049871694,0.03467514,0.05217051,0.021946795,0.027121918,0.023929873,0.012872465,0.057009857,0.011784846,0.012850989,0.0018148542,0.07892797,0.0411577,0.022007465,0.0077642156,0.034192987,0.04173562,0.010736641,0.008940891,0.22182168,0.011568494,0.0038182074,0.012495677,0.022183927,0.0059201033,0.0074959835,0.014425403,1.820818,1.977787,1.8825982,2.2128456,1.8792653,1.9970078,2.3394904,1.7393839,1.590483,1.1705716,1.3805509,1.7621307,1.3966869,2.5501983,1.7973412,2.87517,1.6592623,1.797928,0.0038710218,0.98551804,0.9904029,0.008882229,0.0025722086,0.0032867,0.5901636,0.029997982,1.6382135,0.003333169,0.015692739,0.34145135,0.009155196,1.1132187,0.16917212,0.0044808956,0.020438226,0.22199044,0.08605349,0.02675089,0.22324513,0.015474576,0.43610728,1.0748745,0.10950429,0.15258932,0.0028009003,0.008489564,1.074715,0.0038223118,0.6826517,0.006506772,0.03435771,0.10221009,0.019456012,0.019053034,0.014395676,0.009062709,0.2788371,1.2138076,0.015627805,0.007404953,0.015898844,3.1761096,1.2624898,1.7765493,0.7621889,1.586914,1.5988195,1.0520347,0.47516653,0.17815049,0.56688195,1.0463351,0.9465038,0.36308023,0.43144494,0.6010033,0.060684364,0.016249642,0.006806683,0.087937385,0.0023456388,0.0149471,0.44382527,0.9280849,0.0064606243,0.014822707,0.008019885,0.007997476,0.17541873,1.1208848,0.15563343,0.09243453,0.17433746,0.050997276,0.124146566,0.035400346,1.0689495,0.067953765,0.36222118,0.050582048,0.07154593,0.41117612,0.06030346,0.33558804,0.039122988,0.26433173,0.03655458,0.020507053,0.04728208,0.016714524
HC,0.026580265,1.6914032,1.6373487,0.060019065,0.0,0.4001413,1.4561256,0.5868446,1.5945164,1.7300798,0.36070523,0.48879677,0.0,0.0053342204,0.0032528099,0.0026494265,0.10387327,0.0,0.001814009,0.0,0.007933884,0.0,0.024966544,0.024497446,0.11941454,0.39067635,0.94079906,0.0019240691,0.0,0.0,0.015270003,0.04390622,0.17435703,0.9282052,0.0,0.0,0.21788926,0.0167549,0.03315085,0.102698095,0.008706316,0.009204567,2.2786086,0.3831919,0.0,0.0,0.009597404,0.053052388,0.0036683837,0.009204567,0.008221696,0.42563218,0.0048635905,0.0,0.010052001,0.010650692,0.01857361,0.035606377,0.20425387,0.011853994,0.030078506,0.8016766,0.6137027,0.0,0.0,0.0,0.0,0.0,0.04666976,0.0,0.0,0.0,0.004393996,0.0,0.0,0.0,0.33364934,0.0,0.0024676214,0.0041567353,2.476838,1.8950566,2.3205602,1.3318037,2.055874,1.1883624,1.5735879,2.0356984,1.6573833,1.5615402,1.1964079,1.0289295,2.73566,1.4415826,1.2327027,1.2251359,1.7969005,1.029561,0.0026226446,0.019081248,0.20829497,0.003905357,0.29086837,0.33413717,0.20756632,0.6410173,0.006517688,0.0,0.10809627,0.0,0.0,0.0,0.07954376,0.0737851,0.0,0.0,0.0,0.0,0.19946808,0.0,0.0,0.0,0.0,1.7508326,0.25259644,0.038856767,0.0,0.0,0.590923,0.030710068,0.0,1.6974392,0.008902456,0.0026226446,0.017480882,0.0,0.0075765424,0.0,0.11478152,0.066521786,0.32403597,0.93137276,0.09258465,0.08020294,0.48213097,0.058780473,0.030837081,0.024939394,0.038659815,0.044420764,0.0,0.0017616337,0.025504604,0.0,0.0,0.022741286,0.009015856,0.0,0.048595503,0.0,0.4316984,0.3182961,0.18109645,0.8529491,0.086055644,0.9863017,0.012904712,0.12022716,0.07596752,0.6955736,0.09993057,0.01685295
MG,1.2395799,0.504891,0.031330522,2.008621,0.025617324,0.035057135,0.5617484,0.4445424,0.005408383,0.020443438,0.113472395,2.0829258,0.29620448,0.36095202,0.04937744,0.9088892,0.07272735,0.030227486,0.944339,0.25868967,0.5587311,0.08619744,0.075275354,0.56636244,0.097112,0.5117156,1.326876,0.32494998,0.69653904,0.30002034,0.06360252,0.15295465,1.1525438,2.1968012,0.05421197,0.0115786465,0.039927762,0.9436555,0.01686474,0.032711446,0.1643409,0.012591219,1.7060722,0.01234169,0.010622618,0.005013417,0.027953971,0.052616473,0.025205538,0.003232741,0.22835343,0.0644188,0.009268849,0.009209965,0.013301738,0.009806169,0.010081206,0.051685624,0.012037195,0.0074818474,0.043980956,0.022752022,0.05132529,0.0043692305,0.22734815,0.010180215,0.0011712578,0.001538795,0.08961251,0.0017747954,0.025191268,0.0014859131,0.0018386014,0.0010932863,0.37197724,0.0025559429,0.29168025,1.4755577,0.0025662114,0.11043779,0.027624398,1.3548379,0.019023936,0.04062971,0.009803248,0.0033527596,0.10617909,0.027248513,0.37972736,0.007986046,0.0076779337,0.07625647,0.009188967,0.42472216,0.50554246,0.0035202773,0.003520841,0.051016405,2.34644,1.9744331,2.1058953,1.615902,2.5537047,3.6329772,2.0923522,2.8070161,1.4095813,1.1467716,1.1946341,1.5437214,1.255266,0.9494167,2.0472095,0.06799606,0.002649764,0.0027513606,0.0038684693,0.0012100902,0.1918141,0.15955389,0.0015458236,0.0024590052,0.0015669125,0.8493264,0.02068705,0.014561685,0.21100469,0.01594781,0.026786549,0.1564322,0.041170828,0.07744293,0.12835497,0.0021965338,0.04421138,0.1577746,0.08296002,0.19329746,0.2560593,0.07447079,0.026462851,0.025781164,0.021186156,0.024314824,0.7822985,0.12827882,0.015113737,0.66653234,0.01053175,0.016997395,0.8494646,0.8507868,0.6242828,0.002249709,0.03719911,0.5383969,0.028321724,0.000799604,0.4646056,0.007850241,0.4235143,0.079855524,0.36073172,0.867312,0.220704,0.38494945,0.08974312,0.29742485,0.17089158,0.059083886,0.030357936,0.07298229
Microglia,0.020118322,0.045291144,0.08922533,0.08254848,0.011616049,0.03773528,0.019411147,0.021627102,0.032155562,0.021339249,0.43254015,0.05401495,0.6435981,0.07149863,0.12481982,0.061395876,0.95330524,1.6241931,1.4427029,0.44310728,1.8104875,0.15100235,0.9927202,1.1088957,0.07427868,0.77823365,0.44445375,0.07774373,0.110817544,0.035542253,1.880713,0.0032686077,0.032479692,0.898631,0.007883352,0.4681092,0.082867175,0.010476933,0.0067805415,0.011324787,0.013971104,0.0032773768,0.03483552,0.007131267,0.009430076,0.0017713428,0.5868801,0.02236368,0.039571457,0.0018569254,0.019026777,0.11883172,0.026877379,0.0072153816,0.0040814364,0.008774445,0.0020438083,0.043012686,0.010031505,0.0024375862,0.034412865,0.006122296,0.0131946765,0.012899602,0.0034490942,1.7282475,0.0,0.0012850917,0.0071293125,0.0005015524,0.00026898715,0.0050442643,0.0007795785,0.02041417,0.036941472,0.0007569946,0.29593354,0.009348933,0.00071094476,0.2556178,0.007995443,0.09584482,0.012640058,0.01568308,0.0031861372,0.02954319,0.008963237,0.07875639,0.060542095,0.005486117,0.0062335995,0.13439225,0.032603953,0.9575663,0.0056432867,0.008379676,0.3639144,0.008997097,0.07904142,0.036976557,0.27424943,0.009387361,0.49307317,1.3270652,0.034310047,0.26554796,0.0067941044,0.0052306675,0.7972055,0.008644538,0.064720586,0.011867631,0.07568082,3.3921294,3.331759,3.2709186,3.04062,2.0786426,2.0223591,1.6889352,1.8671222,2.0488,3.4164894,3.7037516,0.05357065,0.033977706,0.13475844,0.026196126,0.05580934,0.007728626,0.0035666984,0.01189795,0.0032368768,0.0017645449,0.049134117,0.004577252,0.59427065,0.011336629,0.17885698,0.18602909,0.10049983,0.13046223,0.09793328,0.083966255,0.44088215,0.49958387,0.03411865,0.011913788,0.0072791423,0.023394885,0.010649753,0.03868799,1.3167894,0.0005314784,0.00050886493,0.06355761,0.021268811,0.000106677326,0.04055205,0.00061009685,3.0668068,0.62452656,0.5447651,0.09984981,0.20871268,0.026627455,0.022333343,0.11511059,0.23229933,0.2841882,0.28414437,0.2536028
Pericyte,0.0632576,0.05090834,0.030263023,0.04538181,1.7500274,0.22625555,0.027886398,0.024230152,0.041335694,0.0564358,0.14066711,2.3838165,0.06553871,0.17139366,0.019104904,0.0,0.34634945,1.5159446,1.459594,0.75229096,1.209828,0.001939385,0.59953666,0.81226,0.12977792,0.29397628,0.06042757,1.034753,0.3868277,0.5048923,0.42112896,0.019238938,0.040914662,0.6621097,0.08081163,0.02897322,0.075777516,0.08492642,0.04756627,0.032548714,0.060953572,0.054867525,0.057797804,0.04086177,0.0236484,0.008083669,0.06303858,0.08213492,0.060845546,0.009694447,0.050266717,0.047090165,0.04451167,0.011744038,0.8167999,0.02427232,0.0040731654,0.0105317375,0.037854433,0.028547708,0.009207822,0.009451498,0.040451117,0.23712835,0.104382694,0.44573802,0.011319787,0.033454288,2.9522648,0.077984065,0.012944812,0.02494469,1.0471008,0.029766887,0.2255923,0.04683809,0.22988136,0.22752698,0.02448472,0.25484985,0.012371593,0.5283961,0.039772455,0.0056316196,0.0,0.0027085817,0.08158246,0.07634663,1.773055,0.006169487,0.019044193,0.18048471,0.0069840564,0.070162185,0.082957774,0.0071957237,0.065203354,1.1448305,0.040085506,0.026679117,0.20046207,0.05742631,0.45609584,0.26673913,0.09492398,0.095633864,0.0007544938,0.004532847,0.7707289,0.007455931,2.120945,0.0065522846,0.03354436,0.09257172,0.0056679817,0.006439815,0.019628722,0.006530298,0.32381168,0.25960445,0.006999347,0.0040466585,0.010803955,3.0093985,2.889394,2.3995986,1.0069175,3.5223415,1.7737869,2.4944146,1.7452219,1.0235595,2.2649667,2.8665786,3.3385308,1.4980475,1.9578822,2.1572144,0.077717364,0.011761346,0.00735952,0.012409964,0.008673136,0.033188287,0.61764336,1.3049794,0.022730619,0.010041417,0.029208338,0.029903945,0.09108007,0.6096693,0.06469366,0.00973258,0.040064413,0.051347535,0.22633587,0.03242105,0.025681756,0.27907383,0.39749312,0.038939,0.08635119,0.41210642,0.06938102,1.3553097,0.025251744,0.36007452,0.050683822,0.012609627,0.05545856,0.014257034
RGC,0.028017424,0.65022784,0.04376356,0.4591008,0.017346095,1.3918594,0.6927332,0.12110762,0.014292477,0.7049929,2.0148888,0.098612785,0.0067680697,0.02891019,0.0428472,0.00029031927,0.120467454,0.082096726,0.22959755,0.024994113,0.13210148,0.00022001911,0.033558495,0.109536335,0.113309585,0.17228654,1.0526682,0.06420464,0.010475609,0.0038127124,0.008401615,0.012151723,0.14850768,1.1934403,0.0018704144,0.0032193381,1.0421001,0.79549295,0.16800015,0.30075645,0.7706281,0.015151844,1.1925498,0.18094862,0.0007751398,0.0037729957,0.0031016234,0.02050968,0.0015166055,0.00030842834,0.16037415,0.09134456,0.0008290483,0.0027698432,0.023767773,0.0008460591,0.07113463,0.0024058889,0.49963868,0.003252944,0.026353896,0.5328877,0.6781994,0.001195944,0.013217919,0.0044561354,0.00029970254,1.5457648e-05,0.006661246,3.0575666e-05,0.0015675743,0.00015605454,4.7339952e-05,1.9516854e-05,0.0042713494,3.848994e-05,0.19093066,0.0010446056,0.0038473643,0.33624065,0.20699038,0.0048715696,0.40181026,0.40443462,0.4728432,0.02309124,0.019158643,0.6700889,0.18797773,0.3321772,0.069280505,0.114749216,0.21545295,0.08161996,0.11498528,0.12491203,0.0060285125,0.7376548,0.003285417,0.0050354223,0.15566613,0.0006775598,0.3712813,0.1648853,0.3262061,0.29526317,0.0016645533,0.004228301,0.04826004,0.047465388,0.0019356927,0.0005666079,0.24672446,0.079918474,0.0025926405,0.0044872286,0.001556999,0.00064837775,0.2551219,0.00062750356,0.0004454674,0.0015253875,0.0035671538,1.5600266,0.20149551,1.4281532,0.002516894,0.0013119138,0.8859396,0.010141852,0.0018599392,0.29656333,0.0010642359,0.00029565193,0.0012474781,0.0002120551,0.079714075,0.001991518,0.009044645,1.7902231,1.3035113,1.6923906,1.4725696,1.8833238,0.2699454,1.2735468,1.4735103,1.147229,0.9648207,1.5533555,0.04192037,0.02018427,0.003728017,0.0002892539,6.908093e-05,0.6617821,0.010799039,0.00029372537,0.042438958,0.00088098395,0.5268366,2.8324015,0.019647237,0.7724515,0.01339544,0.28963277,0.0031064185,0.26762784,0.007596436,2.4239707,0.71465164,0.6941124
