majorclass,Nckap5,Dlgap1,C1ql1,Synpr,Ptprk,Asic2,Gria4,Frmd5,Tfap2b,Anks1b,Pcp4,Prkg1,Creb5,Csrp1,S100b,Mlc1,Dnajb1,Hspa1a,Fos,Fosb,Junb,Gfap,Ppp1r15a,Egr1,Eftud2,Zswim6,Aldoc,Vcl,Ccn1,Wwtr1,Atf3,Ptprz1,Ttyh1,Bsg,Trpm1,Samsn1,Scg2,Zfp804b,Grm5,Slit2,Tenm3,Gm20754,Pcdh9,Grik1,Gnat2,Gm32442,Gngt2,Gnb3,Pde6h,Pde6c,Pcdh15,Pals2,Opn1sw,Opn1mw,Mylk,Arr3,Lrfn2,Rbp3,Cdh18,Cngb3,Rtbdn,Slc24a2,Plcb1,Pltp,Itm2a,Klf2,Adgrl4,Ly6c1,Igfbp7,Slco1a4,Mecom,Ctla2a,Tm4sf1,Ly6a,Id1,Cldn5,Arl15,Flt1,Ptprb,Ptprm,Hs6st3,Vim,Nebl,Frmpd4,Thsd7b,Megf11,Ndrg1,Chgb,Utrn,Egfem1,Ryr3,Rgs3,Calb1,Dock4,Galnt18,Vwc2,Arhgap15,Rbms3,Rlbp1,Spc25,Prdx6,Abca8a,Dbi,Glul,Acsl3,Clu,Aqp4,Col9a1,Gng5,Gpr37,Mfge8,Il33,Dkk3,Hexb,C1qa,C1qb,C1qc,Trem2,Ctsz,Selenop,Laptm5,Ly86,Ctss,Tmsb4x,Dlc1,Ebf1,Crip1,Rgs5,Sparcl1,Cald1,Ndufa4l2,Pde3a,Myl9,Mgp,Vtn,Pdgfrb,Plcl1,Atp1a2,Gngt1,Thy1,Nefm,Stmn2,Nrn1,Rbfox1,Hmgn1,Rbpms,Kctd16,Il1rapl1,Kcnd2,Galntl6,Rbp1,Timp3,Trf,Rpe65,Rgr,Mt3,Rdh5,Slc16a8,Slc16a1,Col8a1,Ctsd,Calb2,Rho,Cmss1,Sag,Dmd,Rp1,Epb41,Pde6g,Nefl,Cartpt,Marchf1
AC,1.2546229,6.2501907,5.018295,5.27959,2.5548224,9.423214,4.0307536,6.016793,3.7530594,3.9070988,7.4770885,4.6518354,0.0133947255,0.024450298,0.0496639,0.0018713219,0.2606062,0.19877872,1.4575382,0.14864698,0.7396893,0.0031270776,0.07746288,0.37889346,0.18984069,0.3147268,2.4553468,0.047620222,0.012902273,0.012262084,0.002659247,0.0822643,0.29657993,2.5969517,0.024204073,0.05641051,1.9776672,0.4208751,0.40189102,1.8364563,1.6740699,0.044049934,4.411223,0.3607958,0.024401054,0.007903873,0.064240515,0.14079235,0.0927043,0.007854627,0.54078746,0.66156155,0.08512053,0.031812474,0.10304582,0.03001502,0.16319898,0.014502745,0.9534386,0.1771354,0.04419767,0.35806268,0.9333957,0.002880851,0.013345481,0.031615492,0.00066481176,0.00056632113,0.20040381,0.0009602837,0.0013788688,0.00066481176,0.0006894344,0.00014773595,0.007189816,0.001649718,0.54448086,0.0057863244,0.006401891,0.53591216,2.4014478,0.03299436,1.1749686,0.23322581,0.113461204,0.14837614,0.036983233,1.8041514,0.3810849,0.5836555,0.22384459,0.18641815,0.4302317,0.10925073,0.41097677,0.61738855,0.09972177,0.4434787,0.02001822,0.021741807,0.27688178,0.002511511,0.6733558,1.0315908,0.38943195,0.5270972,0.010809347,0.010144535,0.05806023,0.08827223,0.008445571,0.002437643,1.7075567,0.0698791,0.0008125477,0.00044320783,0.00056632113,0.00066481176,0.09654544,0.004604437,0.00014773595,0.0028562283,0.0011080196,3.1811242,0.15078916,1.0048753,0.0022160392,0.046290595,1.0185409,0.17368823,0.004604437,1.5891464,0.0033486814,0.0012311329,0.008765666,0.0006401891,0.41006574,0.0124344425,0.114101395,1.1175486,0.14441189,1.0899712,0.0559673,5.628321,1.3354837,0.031566247,1.1489178,1.5966562,0.43929285,1.9896092,0.009947553,0.018934824,0.01817152,0.00012311329,0.00019698126,0.20899712,0.012212838,0.0009602837,0.037845027,0.04798956,0.66156155,2.7637455,0.056312017,0.9047103,0.15874228,0.6183981,0.011597272,0.3412454,0.041292198,0.42008716,5.931155,0.08376628
Astrocyte,6.2931547,1.0178572,1.1860119,0.38988096,1.9144346,0.71875,0.23586309,0.21056548,0.09821428,0.2767857,1.1480654,0.36458334,7.1212797,4.720982,18.64509,8.595238,6.473214,18.407738,53.73363,10.199405,26.500744,21.4814,6.0877976,12.591517,12.398066,5.0677085,36.036457,10.794642,16.01265,4.5565476,10.15997,0.038690478,1.2589285,16.486607,0.016369049,0.03125,0.25520834,0.31994048,0.020833334,0.20684524,0.89657736,0.014880952,6.9188986,0.029017856,0.026785715,0.011904762,0.084821425,0.04761905,0.114583336,0.0014880953,0.20684524,0.11309524,0.05282738,0.02455357,0.12053572,0.019345239,0.011904762,0.1748512,0.071428575,0.008928572,0.118303575,0.03348214,0.083333336,0.007440476,0.03422619,1.0319941,0.00074404763,0.00074404763,0.02455357,0.0014880953,0.0014880953,0.0029761905,0.014880952,0.0066964286,3.4412203,0.003720238,0.63467264,0.05357143,0.03348214,0.75744045,0.14136904,6.1458335,0.090773806,0.17336309,0.013392857,0.01860119,0.43452382,0.16294643,0.5193452,0.23214285,0.03199405,0.30059522,0.05580357,0.171875,0.27752978,0.027529761,0.03199405,0.8891369,7.205357,0.53348213,12.264137,0.0796131,36.938988,32.85491,1.0133928,30.339285,0.042410713,0.29166666,4.0811014,0.04910714,0.43526787,0.03348214,7.123512,0.8735119,0.54464287,0.53943455,0.41889882,0.20982143,1.0089285,0.71800596,0.12648809,0.10119048,0.6078869,6.622768,2.1235118,0.122023806,8.440476,8.601191,1.2366072,4.299107,0.1688988,0.10342262,0.30580357,0.0014880953,0.13541667,0.008184524,1.6294643,3.7120535,1.0639881,0.421875,0.19494048,0.25,0.22767857,0.4122024,3.0729167,0.7901786,0.13020833,1.1041666,0.03497024,0.1279762,0.3809524,17.879465,4.1123514,0.0,0.023809524,2.8184524,0.069196425,0.0,0.3325893,0.14285715,7.6041665,1.40625,3.1681547,0.46354166,0.85714287,1.9635416,0.109375,0.25520834,1.2901785,0.49479166,1.6540178,0.114583336
BC,1.4352748,0.46044815,0.0013794614,0.7450916,0.1866579,6.370258,0.67897236,0.4773812,0.0019341654,1.2100868,6.7336984,11.2458725,0.013356689,0.0053791692,0.033209253,0.0016203197,0.10167871,0.0070067877,0.5034523,0.006546967,0.2670243,0.0006276914,0.06727976,0.8299613,0.18168747,0.076111235,1.4222319,0.1040508,0.001415955,0.0021823226,0.011517407,4.8353624,3.042508,3.196482,9.718182,8.305437,4.3513393,53.8422,7.454113,5.18095,6.821079,8.660295,23.634071,10.755712,0.4392818,0.083847895,1.7564266,6.468484,0.006977593,0.003196847,6.4012556,0.70667106,0.0038464346,0.0074082185,0.15194511,0.0057587037,0.466528,0.56213415,9.527268,2.2632728,0.09635063,1.3735713,0.8606744,0.025114955,0.01086782,0.0013940588,0.00037953435,0.0008393548,0.062506385,0.0009780308,0.0011896942,0.00057660026,0.00051821035,0.00069338,0.0026640391,0.0010948105,0.6052697,0.0021823226,0.05352894,0.7439822,0.0260127,0.0035398875,1.9443252,0.21407926,0.085460916,0.0032041457,0.12135611,2.6925552,0.09550398,0.71747315,2.6795197,0.5941537,0.0029267936,0.22507846,0.0398803,0.114823736,0.35158747,0.0636085,0.013809211,0.010605065,0.13620174,0.0055762352,0.45680606,0.2792643,0.28976718,0.28755566,0.014904021,0.0031822494,0.014487994,0.06773958,0.013298299,0.0028538064,0.009291292,0.036055762,0.0020509453,0.002386687,0.001415955,0.0010802131,0.17079045,0.001277279,0.0007517699,0.0007590687,0.0050507262,0.93285894,1.2824173,0.027822787,0.0009196409,0.004773374,0.0041164877,0.31242976,0.0007517699,0.44768265,0.0014597474,0.0014013576,0.0075760894,0.00059119775,3.1458871,0.0025253631,4.7749434,0.014787242,0.0035033938,0.0054010656,0.0022845047,0.08211079,2.6007955,0.0020363478,0.70421135,0.16582732,0.5200861,0.12672068,0.15363112,0.0067367344,0.0057806,0.00038683307,0.0020509453,0.3566455,0.02514415,0.007254945,0.03283702,0.1468214,0.4503321,0.010772936,0.049281076,1.9126414,0.16691482,7.1489673,0.012291074,1.6946793,0.16962266,0.008371652,0.008291366,0.19082549
Cone,0.060728744,0.105689324,0.006605583,0.012571916,0.011293416,0.011719583,0.006179416,1.8981462,0.0063924994,0.022373749,0.08438099,0.009801833,0.0012784998,0.0014915832,0.006179416,0.0010654166,0.15576391,0.14212658,0.43362454,0.07692308,0.08864266,0.00042616663,0.08054549,0.3370978,0.2286384,0.3624547,0.93969744,0.24057107,0.00085233327,0.09972299,0.025143832,0.007457916,1.8233539,4.334967,0.010014916,0.34796506,0.018538248,0.018112082,0.006818666,0.007244833,0.27807373,0.006818666,0.670147,0.008736416,15.797784,5.611975,33.801834,19.546772,60.825058,12.8022585,58.479652,5.3954825,32.282124,43.174942,7.3004475,43.65097,6.5054336,12.870019,31.799276,23.211378,9.477306,6.142553,0.0059663327,0.013850415,0.015341999,0.0017046665,0.0049009165,0.00021308332,0.024291499,0.0031962497,0.00042616663,0.0017046665,0.00042616663,0.0017046665,0.0023439166,0.0049009165,1.4721926,0.0063924994,0.0021308332,0.012998083,0.0031962497,0.010014916,0.0057532494,0.0023439166,0.0019177499,0.0010654166,0.025569998,3.3567014,0.0036224164,0.0038354998,0.029618582,0.012998083,0.017259749,0.16556573,0.0021308332,0.0029831664,0.0017046665,0.059876412,0.019390581,0.014063499,0.11059024,0.0038354998,0.3321969,0.103771575,1.2740252,1.2167057,0.0029831664,0.0021308332,0.17174515,0.0038354998,1.7992755,0.0029831664,0.006605583,0.11378649,0.0029831664,0.0025569997,0.0010654166,0.00042616663,0.22160664,0.0023439166,0.00021308332,0.0006392499,0.002770083,2.5791605,0.31728107,0.00447475,0.0038354998,0.0038354998,0.00447475,0.020029832,0.0012784998,0.41039845,0.0012784998,0.00042616663,3.4285107,0.00042616663,1.2951204,0.0025569997,20.864054,0.0049009165,0.010014916,0.010867249,0.06690816,0.3383763,7.234818,0.0059663327,0.013637332,0.002770083,0.0038354998,0.013211166,0.008097166,0.009375666,0.002770083,0.00085233327,0.00021308332,0.017259749,0.012998083,0.0,1.0624334,0.00042616663,1.1655657,0.039633498,0.6426593,4.0937567,26.265928,42.026848,3.327296,7.0865116,15.295759,0.03345408,0.023226082,15.349669
Endothelial,0.08405546,0.16811092,0.019930676,0.072790295,2.9107451,0.18197574,0.042461004,1.745234,0.026863085,0.041594453,0.12478336,5.5242634,0.081455804,0.8032929,0.0389948,0.009532062,1.4783362,10.328423,13.380416,3.227903,11.695841,0.012131716,2.218371,4.2461004,0.32842287,2.127383,0.08492201,2.8448873,3.592721,2.662045,2.779896,0.036395147,0.055459272,69.39168,0.078856155,0.13691507,0.07538995,0.4289428,0.072790295,0.08318891,0.064124785,0.034662046,0.43674177,0.056325823,0.022530328,0.0043327557,0.18024263,0.072790295,0.043327555,0.016464472,0.09965338,0.097920276,0.030329289,0.016464472,0.6412478,0.020797227,0.010398613,0.025996534,0.081455804,0.011265164,0.012998267,0.019930676,11.369151,13.138648,11.316291,15.690641,12.423743,12.830156,17.149914,9.806759,8.891681,4.916811,6.19844,10.196707,6.305026,21.890814,11.790295,32.502598,8.524263,10.09792,0.00779896,3.5623918,4.616118,0.030329289,0.006932409,0.006932409,1.7131716,0.049393415,9.17331,0.0051993066,0.0389948,0.897747,0.01559792,4.4046793,0.42287695,0.017331023,0.08838821,0.7616984,0.3084922,0.07105719,0.52859616,0.03812825,1.1585789,4.3353553,0.2729636,0.5528596,0.006065858,0.008665511,3.7261698,0.009532062,2.559792,0.012998267,0.06325823,0.29982668,0.110918544,0.09705373,0.06585789,0.025129983,0.69757366,5.040728,0.045927208,0.051126517,0.10918544,39.348354,8.144714,11.000867,2.5381281,19.038996,8.416811,4.917678,1.8466204,0.6143848,2.4662044,7.382149,9.57019,1.4991335,2.1897748,3.245234,0.12305026,0.03119584,0.012998267,0.22010398,0.006065858,0.022530328,1.2071058,3.5355287,0.019064125,0.040727902,0.019930676,0.05372617,0.9098787,6.013865,0.89254767,0.54679376,1.1975737,0.15511265,0.5086655,0.14644714,4.889948,0.21750434,1.0407279,0.09272097,0.17590988,1.3266897,0.104852684,1.2461005,0.08492201,0.7071057,0.06932409,0.03986135,0.08318891,0.034662046
HC,0.055555556,10.68254,8.888889,0.14285715,0.0,1.2222222,7.4444447,2.2142856,8.412699,10.976191,0.9444444,1.7142857,0.0,0.015873017,0.007936508,0.007936508,0.21428572,0.0,0.007936508,0.0,0.031746034,0.0,0.031746034,0.03968254,0.2936508,1.0952381,3.8333333,0.007936508,0.0,0.0,0.023809524,0.07936508,0.37301588,3.2380953,0.0,0.0,0.5714286,0.023809524,0.055555556,0.2857143,0.023809524,0.007936508,20.738094,1.1349206,0.0,0.0,0.015873017,0.04761905,0.007936508,0.007936508,0.015873017,1.2460318,0.007936508,0.0,0.03968254,0.007936508,0.015873017,0.04761905,0.41269842,0.015873017,0.031746034,3.4444444,2.515873,0.0,0.0,0.0,0.0,0.0,0.08730159,0.0,0.0,0.0,0.007936508,0.0,0.0,0.0,0.96825397,0.0,0.007936508,0.015873017,28.603174,13.103174,20.849207,7.2936506,17.468254,4.7222223,9.888889,15.380953,9.611111,9.023809,6.3650794,4.4444447,30.579365,6.9126983,5.9603176,5.8174605,14.595238,4.325397,0.007936508,0.015873017,0.56349206,0.007936508,0.82539684,0.8333333,0.515873,2.357143,0.023809524,0.0,0.3015873,0.0,0.0,0.0,0.17460318,0.23809524,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,13.587301,0.88095236,0.06349207,0.0,0.0,2.1587303,0.071428575,0.0,10.777778,0.007936508,0.007936508,0.015873017,0.0,0.023809524,0.0,0.14285715,0.14285715,1.1269841,3.8809524,0.1984127,0.2936508,1.4523809,0.12698413,0.04761905,0.06349207,0.07936508,0.08730159,0.0,0.007936508,0.023809524,0.0,0.0,0.055555556,0.023809524,0.0,0.11904762,0.0,1.2063493,0.9206349,0.3968254,3.0079365,0.13492064,4.0555553,0.023809524,0.34920636,0.11904762,2.1984127,0.23015873,0.04761905
MG,6.409307,1.9060291,0.09525646,15.697004,0.081372924,0.120709606,2.1156962,1.6138321,0.012212367,0.052191798,0.21468055,18.361229,0.99511504,1.090243,0.26378712,3.340275,0.21365213,0.096799076,8.25286,1.2990102,3.616403,0.5224322,0.23653425,2.5719244,0.25478855,1.8699062,6.5762954,1.1827998,4.106312,0.9403522,0.36919913,0.39645198,4.9985857,18.688005,0.12688006,0.01992544,0.097184725,5.8247848,0.027767066,0.0940995,0.5915927,0.025453143,13.283712,0.025710246,0.02211081,0.010541201,0.060547628,0.10708317,0.06646098,0.007970176,0.68492097,0.18678494,0.017740069,0.01876848,0.030080987,0.017611519,0.025967348,0.13215066,0.025838796,0.018254275,0.11183957,0.055277027,0.12713717,0.010412649,0.7872477,0.03458028,0.0033423319,0.0060419077,0.28846896,0.0037279855,0.118781336,0.002828127,0.0052706003,0.0033423319,1.4392595,0.009769893,0.9350816,8.455971,0.007455971,0.31713587,0.114924796,7.7981744,0.045764238,0.21069546,0.02712431,0.007970176,0.30582336,0.057205297,1.2387196,0.022882119,0.01684021,0.1829284,0.01568325,1.4009513,1.7724643,0.00629901,0.007841625,0.1515619,20.097698,14.464198,17.828255,9.551742,26.880833,74.89227,15.540558,34.91014,7.386682,5.7279854,5.7305565,8.478853,5.8305693,4.0896,14.063248,0.1831855,0.00629901,0.0060419077,0.009769893,0.002828127,0.5050778,0.4183057,0.0012855122,0.0043707415,0.0047563952,3.7099884,0.05784805,0.03316622,0.61717445,0.09332819,0.062733,0.45828512,0.15297596,0.21262373,0.3661139,0.005142049,0.11453915,0.39529502,0.23473454,0.7580666,0.94922227,0.1626173,0.042293355,0.046664096,0.038822472,0.07648798,2.894588,0.39349532,0.04370742,2.870549,0.025581695,0.052191798,3.7869906,3.6738656,3.082787,0.006556113,0.098213136,1.9618202,0.07224579,0.0023139222,1.5264173,0.017997172,1.3186785,0.2353773,1.8803188,4.1542616,0.72142947,1.1682736,0.24771821,0.8566654,0.5652397,0.1304795,0.055791233,0.21326649
Microglia,0.037804075,0.07577252,0.12360289,0.11406969,0.018408941,0.08448389,0.032380015,0.035996053,0.044378698,0.03813281,0.71005917,0.108645625,1.4316239,0.104043394,0.17751479,0.08053912,3.1725838,11.334319,5.8481264,0.9308021,7.1351085,0.21367522,2.3210058,3.2001972,0.121630505,1.905161,0.7220579,0.12508218,0.1569691,0.06097962,8.993425,0.0060815252,0.048652202,1.9040105,0.021860618,0.9860289,0.11702827,0.024161736,0.015285996,0.027613413,0.025641026,0.014135437,0.06213018,0.013642341,0.013806706,0.003616042,1.2789283,0.037804075,0.057034846,0.0027942143,0.03320184,0.22501643,0.034516767,0.013149244,0.0062458906,0.013313609,0.0034516766,0.065910585,0.017094018,0.0034516766,0.051117685,0.009368836,0.023339909,0.03665352,0.0042735045,7.577745,0.0,0.0013149244,0.011341223,0.00082182774,0.0006574622,0.019066405,0.0013149244,0.047830373,0.054733727,0.0011505588,0.60092044,0.017422749,0.0013149244,0.55966467,0.01627219,0.21301775,0.020545693,0.0343524,0.0046022353,0.0491453,0.012984878,0.11028928,0.11045365,0.010190664,0.009040105,0.23126233,0.044049967,2.667324,0.008711374,0.011505589,0.8836292,0.013149244,0.11176857,0.06065089,0.44937542,0.012984878,0.9276792,3.7827086,0.05243261,0.3969428,0.009368836,0.0070677185,2.0259697,0.011012492,0.09976989,0.02366864,0.10223537,33.45562,32.000492,30.511177,23.310486,8.535831,7.9794545,5.912393,6.5312295,9.049146,34.362263,57.842537,0.107166335,0.04766601,0.2624918,0.03533859,0.07790927,0.011012492,0.0046022353,0.019395135,0.0041091386,0.0024654833,0.07199211,0.008547009,1.4158448,0.015285996,0.28698224,0.26643655,0.13790269,0.18195266,0.13198553,0.13856016,0.8315253,0.9436226,0.053418804,0.017587114,0.010848126,0.039119,0.0142998025,0.051939514,3.7411242,0.0011505588,0.0006574622,0.08530572,0.03550296,0.00016436556,0.070512824,0.0009861933,26.463675,1.1145627,1.3864233,0.24145299,0.36028928,0.04733728,0.03846154,0.23356344,0.38050625,0.42192635,0.4155161,0.5336949
Pericyte,0.12655087,0.16129032,0.06451613,0.104218364,5.724566,0.6302729,0.09181141,0.11414392,0.06947891,0.13151364,0.19851117,12.059553,0.13647643,0.5707196,0.022332506,0.0,0.87344915,8.389578,8.764268,2.4243176,5.059553,0.0024813896,1.3870968,2.3449132,0.18362282,0.56079406,0.079404466,2.3349876,0.9354839,0.8883375,1.3622829,0.032258064,0.052109182,1.7121588,0.16873449,0.052109182,0.104218364,0.4516129,0.12158809,0.052109182,0.13151364,0.20595534,0.27295285,0.052109182,0.047146402,0.022332506,0.094292805,0.12406948,0.089330025,0.017369727,0.27047145,0.0719603,0.1191067,0.024813896,1.9156327,0.0719603,0.014888338,0.017369727,0.089330025,0.09677419,0.017369727,0.027295286,0.13647643,0.4044665,0.16377172,1.0545906,0.024813896,0.09181141,17.203474,0.11414392,0.034739453,0.049627792,2.2456577,0.05707196,0.37468982,0.12655087,0.3995037,0.43920594,0.052109182,0.44168735,0.06451613,1.6575682,0.10173697,0.014888338,0.0,0.0024813896,0.13647643,0.11414392,6.0719604,0.007444169,0.027295286,0.2878412,0.012406948,0.10918114,0.14640199,0.027295286,0.1191067,2.6153846,0.10918114,0.029776676,0.2828784,0.084367245,0.8014888,0.4019851,0.16377172,0.6253102,0.0024813896,0.0024813896,1.3920596,0.012406948,6.9925556,0.009925558,0.06203474,0.12903225,0.007444169,0.004962779,0.017369727,0.004962779,0.45905706,0.37468982,0.004962779,0.0024813896,0.012406948,19.486353,20.905706,10.602978,4.682382,36.292805,5.8759303,11.114144,4.7394543,2.9057071,9.270472,17.848635,32.89082,4.248139,7.9280396,8.488833,0.11662531,0.017369727,0.009925558,0.024813896,0.012406948,0.09181141,1.0719603,3.2531018,0.037220843,0.042183623,0.079404466,0.099255584,0.36476427,1.6104218,1.5310174,0.022332506,0.2580645,0.11662531,0.5459057,0.11166253,0.047146402,0.5136476,0.6823821,0.05955335,0.18858561,0.8362283,0.12406948,4.1811414,0.044665013,0.5955335,0.09181141,0.014888338,0.08188586,0.037220843
RGC,0.08932277,2.8142962,0.1353811,2.1467364,0.05653133,8.462527,2.6235602,0.42797157,0.048950247,2.623315,22.303766,0.34477577,0.018854668,0.08420881,0.13283229,0.00062086433,0.36936525,0.3391063,0.8867903,0.07523895,0.47316396,0.00055551017,0.09572747,0.36647332,0.30922312,0.5051221,6.2641287,0.18315497,0.03542194,0.011306265,0.026010947,0.031876482,0.4091169,5.7147126,0.003986602,0.007711788,5.001487,4.325709,0.53923696,1.0054734,3.2724288,0.043738257,11.684127,0.5597582,0.0012417287,0.009296626,0.005195654,0.056024835,0.003087983,0.0007188955,0.5816518,0.25876972,0.0016665305,0.0073523405,0.06651417,0.0015194837,0.2009313,0.0043297117,2.2901561,0.009018871,0.0675435,1.8978678,2.6269748,0.0031533372,0.03859162,0.013234213,0.00080058817,4.90156e-05,0.018838331,9.80312e-05,0.004068295,0.00045747898,0.00014704681,4.90156e-05,0.012221224,3.2677068e-05,0.5569316,0.002597827,0.011077526,1.1764889,0.7406911,0.013005474,1.2957438,1.3432399,1.8247201,0.066938974,0.05452169,2.369447,0.53815866,1.1857527,0.21343027,0.3332734,1.0188056,0.22704028,0.34240666,0.37840044,0.017139122,2.9294176,0.008169267,0.012351932,0.4478719,0.0014541296,1.189282,0.5029328,0.9715873,0.9729761,0.0041009723,0.011665714,0.12972796,0.12539825,0.0048362063,0.0013887754,0.8157177,0.22047219,0.008365329,0.012809411,0.005032269,0.0017645617,0.73399234,0.0018462543,0.0012417287,0.0041173105,0.011191896,9.76283,0.5904583,7.694535,0.0066824607,0.0037088473,3.772159,0.027710155,0.0051303,0.91979414,0.0031533372,0.00073523406,0.0023364103,0.00050649454,0.22661547,0.0055714403,0.01628952,17.041664,6.9545627,10.382877,8.270501,13.777289,0.80535907,6.022923,8.064113,5.365575,5.398889,11.727081,0.120431334,0.05360673,0.008659423,0.000702557,0.00014704681,2.525529,0.030291643,0.00065354136,0.11221305,0.002320072,1.7880402,58.920807,0.04414672,4.191455,0.031419,1.0074667,0.0067641535,0.7817825,0.014998775,24.613985,6.4835553,2.688424
