,0
Frmd5,AC
Asic2,AC
Slit2,AC
Ppp1r15a,Astrocyte
Fos,Astrocyte
Ccn1,Astrocyte
Hspa1a,Astrocyte
Egr1,Astrocyte
Eftud2,Astrocyte
Junb,Astrocyte
Dnajb1,Astrocyte
Dbi,Astrocyte
Creb5,Astrocyte
Crip1,Astrocyte
Csrp1,Astrocyte
Fosb,Astrocyte
Nckap5,Astrocyte
Zswim6,Astrocyte
Mlc1,Astrocyte
Wwtr1,Astrocyte
S100b,Astrocyte
Vcl,Astrocyte
Aldoc,Astrocyte
Gfap,Astrocyte
Trpm1,BC
Zfp804b,BC
Grm5,BC
Tenm3,BC
Samsn1,BC
Grik1,BC
Ptprz1,BC
Gm20754,BC
Dmd,Cone
Lrfn2,Cone
Gnb3,Cone
Gngt2,Cone
Opn1mw,Cone
Gnat2,Cone
Gm32442,Cone
Opn1sw,Cone
Cngb3,Cone
Pals2,Cone
Pcdh15,Cone
Arr3,Cone
Pde6c,Cone
Pde6h,Cone
Cdh18,Cone
Mylk,Cone
Slc24a2,Cone
Rtbdn,Cone
Rbp3,Cone
Tm4sf1,Endothelial
Slco1a4,Endothelial
Mecom,Endothelial
Ptprb,Endothelial
Pltp,Endothelial
Plcb1,Endothelial
Itm2a,Endothelial
Klf2,Endothelial
Ly6a,Endothelial
Ptprm,Endothelial
Id1,Endothelial
Ly6c1,Endothelial
Bsg,Endothelial
Adgrl4,Endothelial
Ctla2a,Endothelial
Arl15,Endothelial
Flt1,Endothelial
Cldn5,Endothelial
Nebl,HC
Calb1,HC
C1ql1,HC
Rgs3,HC
Ryr3,HC
Dlgap1,HC
Dock4,HC
Pde3a,HC
Arhgap15,HC
Tfap2b,HC
Megf11,HC
Thsd7b,HC
Pcdh9,HC
Anks1b,HC
Hs6st3,HC
Frmpd4,HC
Galnt18,HC
Gria4,HC
Vim,HC
Vwc2,HC
Ndrg1,HC
Egfem1,HC
Chgb,HC
Gng5,MG
Prdx6,MG
Col9a1,MG
Synpr,MG
Aqp4,MG
Ttyh1,MG
Acsl3,MG
Glul,MG
Spc25,MG
Abca8a,MG
Dkk3,MG
Gpr37,MG
Il33,MG
Ctsz,Microglia
Atf3,Microglia
C1qa,Microglia
C1qb,Microglia
Laptm5,Microglia
Ly86,Microglia
C1qc,Microglia
Cd74,Microglia
Selenop,Microglia
Tmsb4x,Microglia
Hexb,Microglia
Ctsd,Microglia
Ctss,Microglia
Trem2,Microglia
Pdgfrb,Pericyte
Dlc1,Pericyte
Ndufa4l2,Pericyte
Vtn,Pericyte
Sparcl1,Pericyte
Rgs5,Pericyte
Utrn,Pericyte
Ebf1,Pericyte
Myl9,Pericyte
Rbpms,Pericyte
Atp1a2,Pericyte
Ptprk,Pericyte
Igfbp7,Pericyte
Prkg1,Pericyte
Mfge8,Pericyte
Cald1,Pericyte
Mgp,Pericyte
Plcl1,Pericyte
Rbms3,Pericyte
Il1rapl1,RGC
Thy1,RGC
Kcnd2,RGC
Stmn2,RGC
Kctd16,RGC
Galntl6,RGC
Nefm,RGC
Cartpt,RGC
Calb2,RGC
Scg2,RGC
Nrn1,RGC
Nefl,RGC
Pcp4,RGC
Rbfox1,RGC
Col8a1,RPE
Cmss1,RPE
Clu,RPE
Trf,RPE
Mt3,RPE
Slc16a1,RPE
Slc16a8,RPE
Rbp1,RPE
Rdh5,RPE
Rgr,RPE
Rlbp1,RPE
Timp3,RPE
Rpe65,RPE
Marchf1,Rod
Pde6g,Rod
Epb41,Rod
Hmgn1,Rod
Rho,Rod
Rp1,Rod
Sag,Rod
Gngt1,Rod
