,0
Asic2,AC
Frmd5,AC
Zswim6,Astrocyte
Mlc1,Astrocyte
Eftud2,Astrocyte
Dbi,Astrocyte
Egr1,Astrocyte
Hspa1a,Astrocyte
Csrp1,Astrocyte
Crip1,Astrocyte
Creb5,Astrocyte
Fos,Astrocyte
Fosb,Astrocyte
Ppp1r15a,Astrocyte
Gfap,Astrocyte
S100b,Astrocyte
Ccn1,Astrocyte
Atf3,Astrocyte
Wwtr1,Astrocyte
Vcl,Astrocyte
Aldoc,Astrocyte
Timp3,Astrocyte
Junb,Astrocyte
Dnajb1,Astrocyte
Zfp804b,BC
Slit2,BC
Samsn1,BC
Gm20754,BC
Grik1,BC
Tenm3,BC
Ptprz1,BC
Trpm1,BC
Grm5,BC
Pcdh9,BC
Lrfn2,Cone
Gnb3,Cone
Gm32442,Cone
Mylk,Cone
Marchf1,Cone
Gngt2,Cone
Gngt1,Cone
Epb41,Cone
Gnat2,Cone
Pde6c,Cone
Opn1mw,Cone
Arr3,Cone
Slc24a2,Cone
Sag,Cone
Rtbdn,Cone
Rbp3,Cone
Dmd,Cone
Cngb3,Cone
Cdh18,Cone
Hmgn1,Cone
Opn1sw,Cone
Pde6h,Cone
Pde6g,Cone
Pcdh15,Cone
Pals2,Cone
Tm4sf1,Endothelial
Id1,Endothelial
Itm2a,Endothelial
Sparcl1,Endothelial
Slco1a4,Endothelial
Pltp,Endothelial
Mecom,Endothelial
Klf2,Endothelial
Ptprm,Endothelial
Ly6a,Endothelial
Ptprb,Endothelial
Plcb1,Endothelial
Slc16a1,Endothelial
Ly6c1,Endothelial
Bsg,Endothelial
Flt1,Endothelial
Arl15,Endothelial
Adgrl4,Endothelial
Ctla2a,Endothelial
Ebf1,Endothelial
Cldn5,Endothelial
C1ql1,HC
Ryr3,HC
Pde3a,HC
Arhgap15,HC
Dlgap1,HC
Hs6st3,HC
Tfap2b,HC
Nebl,HC
Chgb,HC
Rgs3,HC
Ndrg1,HC
Dock4,HC
Calb1,HC
Thsd7b,HC
Rbms3,HC
Vwc2,HC
Utrn,HC
Galnt18,HC
Frmpd4,HC
Anks1b,HC
Vim,HC
Megf11,HC
Gria4,HC
Egfem1,HC
Acsl3,MG
Col9a1,MG
Prkg1,MG
Prdx6,MG
Rlbp1,MG
Il33,MG
Gpr37,MG
Gng5,MG
Glul,MG
Abca8a,MG
Aqp4,MG
Dkk3,MG
Spc25,MG
Ttyh1,MG
Synpr,MG
Nckap5,MG
Selenop,Microglia
C1qb,Microglia
C1qa,Microglia
Trem2,Microglia
C1qc,Microglia
Tmsb4x,Microglia
Hexb,Microglia
Ctsz,Microglia
Laptm5,Microglia
Ly86,Microglia
Cd74,Microglia
Ctss,Microglia
Ctsd,Microglia
Igfbp7,Pericyte
Vtn,Pericyte
Mfge8,Pericyte
Mgp,Pericyte
Myl9,Pericyte
Ndufa4l2,Pericyte
Dlc1,Pericyte
Atp1a2,Pericyte
Pdgfrb,Pericyte
Ptprk,Pericyte
Plcl1,Pericyte
Cald1,Pericyte
Rgs5,Pericyte
Scg2,RGC
Cartpt,RGC
Il1rapl1,RGC
Rbpms,RGC
Kcnd2,RGC
Kctd16,RGC
Galntl6,RGC
Nefl,RGC
Thy1,RGC
Nrn1,RGC
Calb2,RGC
Pcp4,RGC
Cmss1,RGC
Rbfox1,RGC
Stmn2,RGC
Nefm,RGC
Slc16a8,RPE
Rdh5,RPE
Rgr,RPE
Trf,RPE
Mt3,RPE
Clu,RPE
Col8a1,RPE
Rpe65,RPE
Rbp1,RPE
Rho,Rod
Rp1,Rod
