,Cell Type,Gene,Coefficient
56,AC,Frmd5,0.5577469117432072
130,AC,Ptprk,0.3898446517700137
18,AC,C1ql1,0.4416897527649976
128,AC,Prkg1,0.3482928937180243
103,AC,Nckap5,0.3643195475480677
70,AC,Gria4,0.5002836713639363
10,AC,Asic2,0.5613106251113942
163,AC,Synpr,0.5936472906784561
165,AC,Tfap2b,0.4856902354902104
5,AC,Anks1b,0.4505393387216083
116,AC,Pcp4,0.3436921679518496
43,AC,Dlgap1,0.3431288745752166
45,Astrocyte,Dnajb1,0.177772691105202
49,Astrocyte,Eftud2,0.4056064131040732
55,Astrocyte,Fosb,0.2965716545857411
35,Astrocyte,Csrp1,0.1635212787974172
51,Astrocyte,Egr1,0.1873363387578565
60,Astrocyte,Gfap,0.2603657537934278
33,Astrocyte,Creb5,0.3201515158167457
150,Astrocyte,S100b,0.2426588003663
54,Astrocyte,Fos,0.3082817803571563
76,Astrocyte,Hspa1a,0.4275818109864052
24,Astrocyte,Ccn1,0.2171485780477278
183,Astrocyte,Zswim6,0.1640421040518456
83,Astrocyte,Junb,0.1694271413141224
4,Astrocyte,Aldoc,0.1715274790647063
126,Astrocyte,Ppp1r15a,0.1608687263320728
98,Astrocyte,Mlc1,0.1576760806188192
176,Astrocyte,Vcl,0.2906782868278315
11,Astrocyte,Atf3,0.2270114608110778
181,Astrocyte,Wwtr1,0.1877854859248605
115,BC,Pcdh9,0.782237267589547
62,BC,Gm20754,0.5233154126556463
159,BC,Slit2,0.5273457514922035
153,BC,Scg2,0.4224465976990766
173,BC,Trpm1,0.5551393032512364
164,BC,Tenm3,0.3985618209720733
174,BC,Ttyh1,0.4074811716216924
13,BC,Bsg,0.5659872426962822
182,BC,Zfp804b,0.8033635631644225
71,BC,Grik1,0.5098688967569986
132,BC,Ptprz1,0.3810561430567327
72,BC,Grm5,0.4288259964146793
152,BC,Samsn1,0.7613858877934143
148,Cone,Rtbdn,0.104211278244896
121,Cone,Pde6h,0.4539442070274165
65,Cone,Gnb3,0.1606836649817723
111,Cone,Opn1mw,0.3837613632508393
64,Cone,Gnat2,0.2486441457490542
101,Cone,Mylk,0.1657753151207008
63,Cone,Gm32442,0.1182058953880906
