Name	Marker	Curated	Queried
AC35	2010007h06rik	Curated	
AC13	A930001a20rik		Queried
AC35	A930001a20rik		Queried
AC53	A930001a20rik		Queried
AC9	A930001a20rik		Queried
AC26	Abi3bp	Curated	
AC25	Adamtsl1		Queried
AC35	Adamtsl1		Queried
AC51	Adamtsl1		Queried
AC16	Adarb2		Queried
AC19	Adarb2		Queried
AC32	Adarb2		Queried
AC41	Adarb2		Queried
AC50	Adarb2		Queried
AC58	Adarb2		Queried
AC	Adcy8		Queried
AC37	Adcy8		Queried
AC48	Adra1b	Curated	
AC16	Ai593442		Queried
AC21	Ai593442		Queried
AC23	Ai593442		Queried
AC25	Ai593442		Queried
AC32	Ai593442		Queried
AC7	Ai593442		Queried
AC26	Alcam		Queried
AC58	Alcam		Queried
AC59	Alcam		Queried
AC23	Aldoc		Queried
AC6	Aldoc		Queried
AC11	Alk		Queried
AC13	Alk		Queried
AC15	Alk		Queried
AC33	Alk		Queried
AC56	Alk		Queried
AC	Anks1b		Queried
AC18	Anks1b		Queried
AC58	Apela	Curated	
AC6	Arhgef26		Queried
AC	Asic2		Queried
AC1	Asic2		Queried
AC20	Asic2		Queried
AC33	Asic2		Queried
AC32	Astn2		Queried
AC6	Astn2		Queried
AC36	Atrnl1		Queried
AC38	Bcl11b	Curated	
AC1	Bhlhe22		Queried
AC15	Brinp3		Queried
AC18	Brinp3		Queried
AC28	Brinp3		Queried
AC35	Brinp3		Queried
AC36	Brinp3		Queried
AC50	Brinp3		Queried
AC14	C130073e24rik		Queried
AC18	C130073e24rik		Queried
AC24	C130073e24rik		Queried
AC59	C130073e24rik		Queried
AC	C1ql1		Queried
AC11	C1ql1		Queried
AC2	C1ql1		Queried
AC21	C1ql1		Queried
AC22	C1ql1		Queried
AC25	C1ql1		Queried
AC34	C1ql1		Queried
AC39	C1ql1		Queried
AC43	C1ql1		Queried
AC46	C1ql1		Queried
AC48	C1ql1		Queried
AC50	C1ql1		Queried
AC61	C1ql1		Queried
AC8	C1ql1		Queried
AC11	C1ql2		Queried
AC18	C1ql2		Queried
AC22	C1ql2		Queried
AC34	C1ql2		Queried
AC41	C1ql2		Queried
AC46	C1ql2		Queried
AC48	C1ql2		Queried
AC5	C1ql2		Queried
AC50	C1ql2		Queried
AC61	C1ql2		Queried
AC7	C1ql2		Queried
AC8	C1ql2		Queried
AC21	C1ql3		Queried
AC50	C1ql3		Queried
AC52	C1ql3		Queried
AC1	Cacna2d1		Queried
AC17	Cacna2d1		Queried
AC52	Cacna2d1		Queried
AC15	Cacna2d3		Queried
AC10	Cacnb2		Queried
AC15	Cacng3		Queried
AC26	Cacng3		Queried
AC31	Cacng3		Queried
AC25	Calb1		Queried
AC3	Calb1		Queried
AC11	Camk4		Queried
AC3	Car2		Queried
AC8	Car2		Queried
AC9	Car2		Queried
AC13	Car3		Queried
AC35	Car3		Queried
AC14	Car8		Queried
AC38	Car8		Queried
AC41	Car8		Queried
AC5	Cbfa2t3	Curated	
AC14	Cbln2		Queried
AC18	Cbln2		Queried
AC22	Cbln2		Queried
AC34	Cbln2		Queried
AC40	Cbln2		Queried
AC47	Cbln2		Queried
AC53	Cbln2		Queried
AC55	Cbln2		Queried
AC57	Cbln2		Queried
AC59	Cbln2		Queried
AC6	Cbln2		Queried
AC61	Cbln2		Queried
AC22	Cbln4	Curated	Queried
AC43	Cbln4		Queried
AC10	Cck		Queried
AC18	Cck		Queried
AC	Cd90	Curated	
AC20	Cdh20		Queried
AC31	Cdh20		Queried
AC34	Cdh20		Queried
AC39	Cdh20		Queried
AC49	Cdh20		Queried
AC52	Cdh20		Queried
AC6	Cdh20		Queried
AC61	Cdh20		Queried
AC15	Cdh22		Queried
MOUSE AC	Cdh22		Queried
AC	Cdh6		Queried
AC17	Cdh6		Queried
AC35	Cdh6		Queried
AC41	Cdh6		Queried
AC54	Cdh6		Queried
AC27	Cdh8		Queried
AC30	Cdh8		Queried
AC58	Cdh8		Queried
AC14	Cdk14		Queried
AC34	Cdkn1c		Queried
AC8	Cdkn1c		Queried
AC25	Chgb		Queried
AC31	Chgb		Queried
AC43	Chgb		Queried
AC8	Chgb		Queried
