Name	Marker	Curated	Queried	Major_Name
AC	Anks1b		Queried	AC
AC	Asic2		Queried	AC
AC	C1ql1		Queried	AC
AC	Car10		Queried	AC
AC	Cd90	Curated		AC
AC	Ctnna2		Queried	AC
AC	Dlgap1		Queried	AC
AC	Dmd		Queried	AC
AC	Frmd5		Queried	AC
AC	Galntl6		Queried	AC
AC	Gria4		Queried	AC
AC	Hcn1		Queried	AC
AC	Kcnip4		Queried	AC
AC	Nckap5		Queried	AC
AC	Otx2os1		Queried	AC
AC	Pam		Queried	AC
AC	Pax6	Curated		AC
AC	Pcp4		Queried	AC
AC	Prkg1		Queried	AC
AC	Ptgds		Queried	AC
AC	Ptprd		Queried	AC
AC	Ptprk		Queried	AC
AC	Snca		Queried	AC
AC	Stmn2		Queried	AC
AC	Synpr		Queried	AC
AC	Tac2		Queried	AC
AC	Tfap2b		Queried	AC
AC	Zfp804b		Queried	AC
AC1	Bhlhe22		Queried	AC
AC1	Cacna2d1		Queried	AC
AC1	Chst9		Queried	AC
AC1	Fgf14		Queried	AC
AC1	Filip1l		Queried	AC
AC1	Glul		Queried	AC
AC1	Lingo2		Queried	AC
AC1	Nrcam		Queried	AC
AC1	Ptn	Curated	Queried	AC
AC1	Rbfox1		Queried	AC
AC1	Runx1t1		Queried	AC
AC1	Slit2		Queried	AC
AC1	Stmn1		Queried	AC
AC1	Tenm2		Queried	AC
AC1	Tenm3		Queried	AC
AC1	Tenm4		Queried	AC
AC1	Unc5d		Queried	AC
AC10	Cacnb2		Queried	AC
AC10	Camk2n1		Queried	AC
AC10	Cntn6	Curated	Queried	AC
AC10	Ebf1		Queried	AC
AC10	Grik2		Queried	AC
AC10	Kcnip4		Queried	AC
AC10	Kirrel3		Queried	AC
AC10	Nckap5		Queried	AC
AC10	Nrxn1		Queried	AC
AC10	Pde1c		Queried	AC
AC10	Prkcb		Queried	AC
AC10	Schip1		Queried	AC
AC10	Slc24a3		Queried	AC
AC10	Sox5		Queried	AC
AC10	Tenm2		Queried	AC
AC11	Alk		Queried	AC
AC11	C1ql1		Queried	AC
AC11	C1ql2		Queried	AC
AC11	Car8		Queried	AC
AC11	Chrm3		Queried	AC
AC11	Gpr22		Queried	AC
AC11	Grid2		Queried	AC
AC11	Kcnd2		Queried	AC
AC11	Lrrc4c		Queried	AC
AC11	Mgat4c		Queried	AC
AC11	Nrg1_ensmusg00000062991		Queried	AC
AC11	Pantr1		Queried	AC
AC11	Pbx1		Queried	AC
AC11	Pcdh15		Queried	AC
AC11	Pcp4		Queried	AC
AC11	Pde3a		Queried	AC
AC11	Ptprm		Queried	AC
AC11	Rph3a		Queried	AC
AC11	Slc35d3	Curated		AC
AC11	Tfap2b		Queried	AC
AC13	A930001a20rik		Queried	AC
AC13	Camk2n1		Queried	AC
AC13	Car3		Queried	AC
AC13	Celf2		Queried	AC
AC13	Cntn5		Queried	AC
AC13	Gabra2		Queried	AC
AC13	Gpc6		Queried	AC
AC13	Grin2a		Queried	AC
AC13	Itm2b		Queried	AC
AC13	Nxph1	Curated	Queried	AC
AC13	Pcdh7		Queried	AC
AC13	Pcp4		Queried	AC
AC13	Pde1c		Queried	AC
AC13	Prkg1		Queried	AC
AC13	Slc17a8		Queried	AC
AC13	Slc24a3		Queried	AC
AC13	Sorcs1		Queried	AC
AC13	Thsd7a		Queried	AC
AC14	Cadm1		Queried	AC
AC14	Cbln2		Queried	AC
AC14	Ctnnd2		Queried	AC
AC14	Dmd		Queried	AC
AC14	Frmd5		Queried	AC
AC14	Grik1		Queried	AC
AC14	Gulo	Curated		AC
AC14	Inpp4b		Queried	AC
AC14	Lingo2		Queried	AC
AC14	Meis2		Queried	AC
AC14	Oxr1		Queried	AC
AC14	Ptprt		Queried	AC
AC14	Runx1t1		Queried	AC
AC14	Six3		Queried	AC
AC14	Tenm3		Queried	AC
AC14	Tfap2b		Queried	AC
AC14	Zfhx3		Queried	AC
AC15	Alk		Queried	AC
AC15	Brinp3		Queried	AC
AC15	Cacna2d3		Queried	AC
AC15	Cntnap5a		Queried	AC
AC15	Ebf1		Queried	AC
AC15	Galntl6		Queried	AC
AC15	Grid2		Queried	AC
AC15	Grik1		Queried	AC
AC15	Gsta4		Queried	AC
AC15	Hs6st3		Queried	AC
AC15	Il1rapl2		Queried	AC
AC15	Kcnip4		Queried	AC
AC15	Lamp5		Queried	AC
AC15	Nlgn1		Queried	AC
AC15	Nnat		Queried	AC
AC15	Nrcam		Queried	AC
AC15	Nrxn2		Queried	AC
AC15	Ptprt		Queried	AC
AC15	Tmsb4x		Queried	AC
AC15	Vmn2r122	Curated		AC
