Name	Marker	Curated	Queried	Minor_Coefficient	Major_Name	Major_Coefficient
AC	Anks1b		Queried		AC	0.450539338721608
AC	Asic2		Queried		AC	0.561310625111394
AC	C1ql1		Queried		AC	0.441689752764998
AC	Cd90	Curated			AC	
AC	Dlgap1		Queried		AC	0.343128874575217
AC	Frmd5		Queried		AC	0.557746911743207
AC	Gria4		Queried		AC	0.500283671363936
AC	Nckap5		Queried		AC	0.364319547548068
AC	Pax6	Curated			AC	
AC	Pcp4		Queried		AC	0.34369216795185
AC	Prkg1		Queried		AC	0.348292893718024
AC	Ptprk		Queried		AC	0.389844651770014
AC	Synpr		Queried		AC	0.593647290678456
AC	Tfap2b		Queried		AC	0.48569023549021
AC1	Bhlhe22		Queried	0.750527324649728	AC	
AC1	Cacna2d1		Queried	0.609408410114082	AC	
AC1	Chst9		Queried	0.699933249645424	AC	
AC1	Fgf14		Queried	0.413553878541178	AC	
AC1	Filip1l		Queried	0.373811205624543	AC	
AC1	Glul		Queried	0.430262159121851	AC	
AC1	Lingo2		Queried	0.597792700244748	AC	
AC1	Nrcam		Queried	0.387476388799825	AC	
AC1	Ptn	Curated	Queried	0.863407807778433	AC	
AC1	Rbfox1		Queried	0.561531625451876	AC	
AC1	Runx1t1		Queried	0.524605178818144	AC	
AC1	Slit2		Queried	0.814131390923741	AC	
AC1	Stmn1		Queried	0.414927419045608	AC	
AC1	Tenm2		Queried	0.579669466972094	AC	
AC1	Tenm3		Queried	0.658799110910042	AC	
AC1	Tenm4		Queried	0.37679456644765	AC	
AC1	Unc5d		Queried	0.457447491563776	AC	
AC10	Cacnb2		Queried	0.277471616810602	AC	
AC10	Camk2n1		Queried	0.230524870812364	AC	
AC10	Cntn6	Curated	Queried	0.889469515668466	AC	
AC10	Ebf1		Queried	0.256795255593647	AC	
AC10	Grik2		Queried	0.636300197624468	AC	
AC10	Kcnip4		Queried	0.479949351070283	AC	
AC10	Kirrel3		Queried	0.399993016388437	AC	
AC10	Nckap5		Queried	0.526493340937973	AC	
AC10	Nrxn1		Queried	0.339956628308168	AC	
AC10	Pde1c		Queried	0.234427531758772	AC	
AC10	Prkcb		Queried	0.300564574298399	AC	
AC10	Schip1		Queried	0.257102174022701	AC	
AC10	Slc24a3		Queried	0.233522240126595	AC	
AC10	Sox5		Queried	0.251290244398863	AC	
AC10	Tenm2		Queried	0.328006191057064	AC	
AC11	Alk		Queried	0.130621268815695	AC	
AC11	C1ql1		Queried	0.15536369903239	AC	
AC11	C1ql2		Queried	0.120869320910243	AC	
AC11	Car8		Queried	0.117888538237446	AC	
AC11	Chrm3		Queried	0.123739326377971	AC	
AC11	Gpr22		Queried	0.159697491639545	AC	
AC11	Grid2		Queried	0.26835147969138	AC	
AC11	Kcnd2		Queried	0.176058818037783	AC	
AC11	Lrrc4c		Queried	0.15285506190959	AC	
AC11	Mgat4c		Queried	0.175447949783347	AC	
AC11	Nrg1_ensmusg00000062991		Queried	0.147940257524619	AC	
AC11	Pantr1		Queried	0.145241571663936	AC	
AC11	Pbx1		Queried	0.18996407919784	AC	
AC11	Pcdh15		Queried	0.152557877223272	AC	
AC11	Pcp4		Queried	0.173868157511429	AC	
AC11	Pde3a		Queried	0.139692794651741	AC	
AC11	Ptprm		Queried	0.13318639390339	AC	
AC11	Rph3a		Queried	0.122214152092234	AC	
AC11	Slc35d3	Curated			AC	
AC11	Tfap2b		Queried	0.139506322786277	AC	
AC13	A930001a20rik		Queried	0.315031698636036	AC	
AC13	Camk2n1		Queried	0.202914642718662	AC	
AC13	Car3		Queried	0.203995579580332	AC	
AC13	Celf2		Queried	0.19519396752861	AC	
AC13	Cntn5		Queried	0.182857512390702	AC	
AC13	Gabra2		Queried	0.198153754366828	AC	
AC13	Gpc6		Queried	0.19715435914661	AC	
AC13	Grin2a		Queried	0.218776920037574	AC	
AC13	Itm2b		Queried	0.230585565799446	AC	
AC13	Nxph1	Curated	Queried	0.459263936062799	AC	
AC13	Pcdh7		Queried	0.346793046430918	AC	
AC13	Pcp4		Queried	0.255137202645773	AC	
AC13	Pde1c		Queried	0.231273568009629	AC	
AC13	Prkg1		Queried	0.201449104791978	AC	
AC13	Slc17a8		Queried	0.411993702788892	AC	
AC13	Slc24a3		Queried	0.178521176397872	AC	
AC13	Sorcs1		Queried	0.220202159762671	AC	
AC13	Thsd7a		Queried	0.270709874237503	AC	
AC14	Cadm1		Queried	0.265730845319134	AC	
AC14	Cbln2		Queried	0.572221671287597	AC	
AC14	Ctnnd2		Queried	0.365442039149197	AC	
AC14	Dmd		Queried	0.377416258433836	AC	
AC14	Frmd5		Queried	0.386735903876321	AC	
AC14	Grik1		Queried	0.543066812822616	AC	
AC14	Gulo	Curated			AC	
AC14	Inpp4b		Queried	0.303601826596173	AC	
AC14	Lingo2		Queried	0.277592106887276	AC	
AC14	Meis2		Queried	0.360855714363316	AC	
AC14	Oxr1		Queried	0.30095212061907	AC	
AC14	Ptprt		Queried	0.270151608916735	AC	
AC14	Runx1t1		Queried	0.29986530793492	AC	
AC14	Six3		Queried	0.294645979557124	AC	
AC14	Tenm3		Queried	0.336269678735744	AC	
AC14	Tfap2b		Queried	0.485539965386421	AC	
AC14	Zfhx3		Queried	0.313057598802583	AC	
AC15	Alk		Queried	0.213304026123577	AC	
AC15	Brinp3		Queried	0.263412764676964	AC	
AC15	Cacna2d3		Queried	0.193517325129239	AC	
AC15	Cntnap5a		Queried	0.134953640368002	AC	
AC15	Ebf1		Queried	0.187250507960246	AC	
AC15	Galntl6		Queried	0.368557018755616	AC	
AC15	Grid2		Queried	0.200505769016667	AC	
AC15	Grik1		Queried	0.185881613378728	AC	
AC15	Gsta4		Queried	0.246698172323488	AC	
AC15	Hs6st3		Queried	0.1578203189584	AC	
AC15	Il1rapl2		Queried	0.212217023306868	AC	
AC15	Kcnip4		Queried	0.205293355304193	AC	
AC15	Lamp5		Queried	0.186470561329389	AC	
AC15	Nlgn1		Queried	0.160358626491908	AC	
AC15	Nnat		Queried	0.176705681181028	AC	
AC15	Nrcam		Queried	0.149847680188755	AC	
AC15	Nrxn2		Queried	0.18594217267829	AC	
AC15	Ptprt		Queried	0.162348894402118	AC	
AC15	Tmsb4x		Queried	0.223051563493369	AC	
AC15	Vmn2r122	Curated			AC	
AC16	Adarb2		Queried	0.151046096529307	AC	
AC16	Car10		Queried	0.125096976950413	AC	
AC16	Dab1		Queried	0.196940379362515	AC	
AC16	Dlgap2		Queried	0.120557191189911	AC	
AC16	Dpp6		Queried	0.139617838382884	AC	
AC16	Gabrb3		Queried	0.148571596541085	AC	
AC16	Galntl6		Queried	0.127935013148836	AC	
AC16	Grm7		Queried	0.119783965049282	AC	
AC16	Inpp4b		Queried	0.12438059958053	AC	
AC16	Khdrbs3		Queried	0.121042622608842	AC	
AC16	Nrg1_ensmusg00000062991		Queried	0.15032278414902	AC	
AC16	Pcdh9		Queried	0.148669667434915	AC	
AC16	Sct	Curated			AC	
AC16	Sgcz		Queried	0.118525354117458	AC	
AC16	Six3		Queried	0.120141907325633	AC	
AC16	Tenm3		Queried	0.142773463716731	AC	
AC16	Tfap2b		Queried	0.208333134632471	AC	
AC16	Zfp804b		Queried	0.157055903636268	AC	
AC17	Calb2		Queried	0.263217611376224	AC	
AC17	Cdh18		Queried	0.101843262844688	AC	
AC17	Col25a1		Queried	0.185335963184006	AC	
AC17	Etl4		Queried	0.186969109321897	AC	
AC17	Gng7	Curated			AC	
AC17	Hecw1		Queried	0.129399985671738	AC	
AC17	Hs3st5		Queried	0.109273355288528	AC	
AC17	Igfbp7		Queried	0.161457474104014	AC	
AC17	Isl1		Queried	0.138049147276593	AC	
AC17	Kcnb2		Queried	0.103475700402677	AC	
AC17	Megf11		Queried	0.141613687204655	AC	
AC17	Pcp4		Queried	0.208753350989738	AC	
AC17	Pcp4l1		Queried	0.117753181873687	AC	
AC17	Rbfox1		Queried	0.153326428782032	AC	
AC17	Rgs6		Queried	0.11588162763125	AC	
AC17	Rims1		Queried	0.208718399576595	AC	
AC17	Scg2		Queried	0.131892856537566	AC	
AC17	Sox2ot		Queried	0.165284001644626	AC	
