Name	Marker	Curated	Queried
ALPHAOFF-T	6330411d24rik		Queried
NOVEL_30	6330411d24rik		Queried
NOVEL_34	6330411d24rik		Queried
NOVEL_36	6330411d24rik		Queried
NOVEL_39	6330411d24rik		Queried
W3D2	6330411d24rik		Queried
RGC	Actb		Queried
IPRGC	Adcyap1	Curated	
M1A	Adcyap1	Curated	Queried
NOVEL_30	Adgrb3		Queried
NOVEL_34	Adgrb3		Queried
W3B	Adgrb3		Queried
NOVEL_19	Alcam		Queried
NOVEL_24	Alcam		Queried
RGC	Alcam		Queried
TBR1-NOVEL	Alcam		Queried
W3D1	Alcam		Queried
ALPHAOFF-S	Aldoc		Queried
ALPHAOFF-T	Aldoc		Queried
ALPHAON-T	Aldoc		Queried
M2	Aldoc		Queried
NOVEL_37	Aldoc		Queried
DV-OODSGC	Alk		Queried
NOVEL_27	Alk		Queried
NOVEL_37	Alk		Queried
NT-OODSGC	Alk		Queried
W3L1	Amigo2	Curated	
NOVEL_10	Ano3		Queried
NOVEL_24	Ano3		Queried
W3D1	Ano3		Queried
F-MIDI-ON	Anxa3	Curated	
NOVEL_15	Apela	Curated	
ALPHAON-T	Asic2		Queried
M1B	Asic2		Queried
NOVEL_15	Asic2		Queried
OODS_CCK_14	Asic2		Queried
TBR1-S2	Asic2		Queried
W3D1	Asic2		Queried
M2	Astn2		Queried
NOVEL_35	Astn2		Queried
OODS_CCK_14	Astn2		Queried
RGC	Atp1b1		Queried
NOVEL_10	Auts2		Queried
NOVEL_44	Bhlhe22	Curated	
M1A	Brinp1		Queried
NOVEL_19	Brinp3		Queried
NOVEL_29	Brinp3		Queried
NOVEL_37	Brinp3		Queried
NOVEL_39	Brinp3		Queried
J-RGC	Cadm2		Queried
ALPHA-RGC	Calb1	Curated	
ALPHAON-S	Calb1	Curated	Queried
D-OODSGC	Calb1	Curated	
NOVEL_24	Calb1		Queried
NOVEL_30	Calb1		Queried
RGC	Calb1		Queried
TBR1-NOVEL	Calb1		Queried
T-RGC	Calb2	Curated	
V-OODSGC	Calb2	Curated	
TBR1-S2	Calca	Curated	
J-RGC	Caln1		Queried
M3, M5, OR M6	Caln1		Queried
W3D2	Camk2d		Queried
F-NOVEL	Car10		Queried
D-OODSGC	Cartpt	Curated	
DV-OODSGC	Cartpt		Queried
N-OODSGC	Cartpt	Curated	
NOVEL_13	Cartpt		Queried
NOVEL_14	Cartpt	Curated	
NOVEL_15	Cartpt		Queried
NOVEL_35	Cartpt		Queried
NT-OODSGC	Cartpt		Queried
OODSGC	Cartpt	Curated	
OODS_CCK_14	Cartpt		Queried
TBR1-S1	Cartpt		Queried
V-OODSGC	Cartpt	Curated	
NOVEL_27	Cck		Queried
OODS_CCK_14	Cck		Queried
NOVEL_30	Ccser1		Queried
M1A	Cd24a		Queried
RGC	Cd90	Curated	
NOVEL_37	Cdh1	Curated	
ALPHAOFF-S	Cdh12		Queried
NOVEL_36	Cdh12		Queried
OODS_CCK_14	Cdh12		Queried
ALPHAON-S	Cdh18		Queried
M1B	Cdh18		Queried
NOVEL_18	Cdh18		Queried
NOVEL_8	Cdh18		Queried
OODS_CCK_14	Cdh18		Queried
NOVEL_11	Cdh4		Queried
W3D2	Cdh4		Queried
DV-OODSGC	Cdh6		Queried
NOVEL_7	Cdh6		Queried
NOVEL_8	Cdh6		Queried
NOVEL_37	Cdh8		Queried
TBR1-NOVEL	Cdh8		Queried
M3, M5, OR M6	Cdhr1	Curated	
F-MIDI-OFF	Cdk15	Curated	
ALPHAOFF-T	Cdkn1c		Queried
ALPHAON-T	Cdkn1c		Queried
NOVEL_37	Ceacam	Curated	
M1A	Celf4		Queried
NOVEL_37	Chchd10		Queried
NOVEL_35	Chrm2	Curated	
W3D2	Chrm2		Queried
F-MIDI-ON	Chrm3		Queried
NOVEL_11	Chrm3		Queried
NOVEL_20	Chrm3		Queried
NOVEL_44	Chrm3		Queried
NT-OODSGC	Chrm3		Queried
NOVEL_27	Chrna6		Queried
NOVEL_7	Clstn2		Queried
NOVEL_8	Clstn2		Queried
ALPHAON-T	Clu		Queried
NOVEL_44	Clu		Queried
NOVEL_37	Cnr1		Queried
NT-OODSGC	Cntn4		Queried
DV-OODSGC	Cntn5		Queried
F-MIDI-OFF	Cntn5		Queried
M1B	Cntn5		Queried
NOVEL_11	Cntn5		Queried
NOVEL_13	Cntn5		Queried
NOVEL_20	Cntn5		Queried
NOVEL_30	Cntn5		Queried
NOVEL_34	Cntn5		Queried
NOVEL_8	Cntn5		Queried
TBR1-NOVEL	Cntn5		Queried
TBR1-S2	Cntn5		Queried
W3D2	Cntn5		Queried
F-MIDI-ON	Cntnap2		Queried
F-NOVEL	Cntnap2		Queried
NOVEL_18	Cntnap2		Queried
NOVEL_27	Cntnap2		Queried
NOVEL_29	Cntnap2		Queried
NOVEL_44	Cntnap2		Queried
NOVEL_15	Cntnap5a		Queried
TBR1-S1	Cntnap5a		Queried
W3D1	Cntnap5a		Queried
ALPHAOFF-T	Coch		Queried
F-NOVEL	Coch	Curated	Queried
NOVEL_36	Coch	Curated	Queried
D-OODSGC	Col25a1	Curated	
V-OODSGC	Col25a1	Curated	
NOVEL_25	Cplx1		Queried
NOVEL_29	Cplx1		Queried
NOVEL_36	Cplx1		Queried
