majorclass,Asic2,Frmd5,Slit2,Crip1,Csrp1,Nckap5,Mlc1,Dbi,Dnajb1,Eftud2,Zswim6,Junb,Egr1,Fos,Fosb,Hspa1a,Gfap,Ccn1,Ppp1r15a,Creb5,S100b,Vcl,Wwtr1,Aldoc,Samsn1,Zfp804b,Ptprz1,Trpm1,Grik1,Grm5,Gm20754,Tenm3,Dmd,Arr3,Gngt2,Lrfn2,Slc24a2,Gnb3,Opn1mw,Rbp3,Gnat2,Opn1sw,Pals2,Cngb3,Pcdh15,Pde6c,Pde6h,Cdh18,Gm32442,Rtbdn,Mylk,Pltp,Id1,Itm2a,Slco1a4,Klf2,Ptprb,Mecom,Plcb1,Ptprm,Tm4sf1,Ly6a,Ly6c1,Cldn5,Arl15,Ctla2a,Flt1,Adgrl4,Bsg,Arhgap15,C1ql1,Nebl,Thsd7b,Megf11,Pcdh9,Dlgap1,Dock4,Pde3a,Anks1b,Tfap2b,Egfem1,Calb1,Rgs3,Gria4,Galnt18,Vwc2,Ndrg1,Hs6st3,Frmpd4,Chgb,Vim,Ryr3,Synpr,Spc25,Prdx6,Col9a1,Gng5,Abca8a,Glul,Aqp4,Dkk3,Gpr37,Acsl3,Il33,Ttyh1,Ctss,C1qc,Hexb,C1qb,Ctsd,C1qa,Selenop,Trem2,Atf3,Ly86,Tmsb4x,Ctsz,Laptm5,Utrn,Vtn,Atp1a2,Rgs5,Rbpms,Sparcl1,Rbms3,Cald1,Myl9,Dlc1,Ndufa4l2,Pdgfrb,Plcl1,Ebf1,Mfge8,Mgp,Prkg1,Igfbp7,Ptprk,Nefm,Thy1,Nefl,Stmn2,Rbfox1,Pcp4,Nrn1,Kctd16,Kcnd2,Il1rapl1,Cartpt,Galntl6,Calb2,Scg2,Timp3,Mt3,Trf,Rbp1,Cmss1,Slc16a8,Slc16a1,Clu,Rdh5,Rgr,Rpe65,Col8a1,Rlbp1,Hmgn1,Rho,Rp1,Pde6g,Sag,Marchf1,Epb41,Gngt1
AC,2.4564972,2.6603546,1.262567,-0.71290594,-1.0764059,0.308813,-0.6867913,0.0036501717,-0.6545629,-0.55212027,-0.60913056,-0.11143125,-0.31634864,0.07772172,-0.59394884,-0.36786395,-0.527769,-0.5852923,-0.72593486,-0.89310455,-0.5017565,-0.6524144,-1.0150995,0.44657862,-0.7748745,-0.29129854,-0.99612296,-0.76510847,-0.9074281,-0.5123772,-0.9328404,0.5429663,-0.10007221,-0.36036056,-0.3622906,-0.73540926,-0.49993256,-0.35162073,-0.3920039,-0.56110036,-0.51721805,-0.71822315,-0.21254665,-0.38563344,-0.15213758,-0.6006028,-0.29381713,0.05922727,-0.9568029,-0.5369115,-0.6578967,-0.48949474,-0.80070364,-0.6517726,-0.67617124,-0.45162666,-0.7393146,-0.7775347,0.060829338,-0.36984256,-0.74676085,-0.70336527,-0.6195443,-0.48429486,-0.17336844,-1.0578873,-0.39661503,-0.6575221,0.6312464,-0.5857227,1.2416847,0.13390858,-0.4947425,-0.90664756,0.7058783,1.9395103,-0.576045,0.3034063,1.6010551,0.98627704,-0.23973595,-0.23145124,-0.92212003,1.8950604,-0.5024798,-0.25706503,-0.7366959,0.31741476,-0.6059444,0.437527,-0.4996799,-0.71303254,1.7092804,-0.61243534,-0.28523692,-1.0656781,-0.6342888,-0.7669209,0.025601203,-0.8630297,0.44272262,-0.7079988,-0.2561563,-1.3036355,-0.5011427,-0.36297786,-0.40811998,-0.33025151,-0.3795872,-0.017981773,-0.37229374,-0.6390473,-0.5964877,-0.55215627,-0.60211354,0.59621054,-0.55990535,-0.664388,-0.2426671,-0.35712343,-0.5373494,-0.30597752,-0.65434974,0.1122692,-0.42088076,-0.3566958,-0.54386616,-0.32031718,-0.6987519,-0.82559264,-0.28805113,0.032091722,-0.53683513,-0.41687804,0.9946225,-0.28345352,0.83231735,-0.7325794,0.3321777,-0.18502265,0.12138929,1.3465248,1.3346891,-0.74117255,0.31376585,-0.7694402,0.64490265,0.3814207,0.20592748,0.31436664,0.474133,-0.39822534,-0.32636252,-0.28493458,-0.3444812,0.13501513,-0.50698674,-0.73996097,-0.09036341,-0.363067,-0.30747667,-0.42342344,-0.7634285,-0.34917516,0.68338037,-0.29931667,-0.48074198,-0.3672095,-0.22885543,-0.3784518,-0.31444362,-0.2779626
Astrocyte,-0.37545338,-0.7267718,-1.4868183,2.229513,2.3533397,1.9257945,2.4822543,2.5822945,1.8946437,2.8863754,2.1666589,2.4935176,2.6269803,2.9736724,2.523353,1.8520262,2.9583397,2.7146285,1.9485831,2.3509703,2.9540598,2.360697,1.7752811,3.2607315,-0.81429213,-0.36593613,-1.0798115,-0.7787844,-1.6350983,-0.9045444,-0.9742742,-0.16291247,0.18992314,-0.37105668,-0.36239475,-0.9444134,-0.80021995,-0.42220843,-0.40140158,-0.46123123,-0.521687,-0.7795837,-0.91974986,-0.48148873,-0.26183006,-0.6073909,-0.299072,-0.4150484,-0.95865583,-0.5043364,-0.6655329,-0.48797798,1.0683529,-0.6331612,-0.67641836,-0.087041356,-0.7189125,-0.77841294,-0.62384367,-0.23163815,-0.7364198,-0.69803435,-0.6195234,-0.48333228,-0.28780532,-1.051327,-0.3806672,-0.65804756,1.7075931,-0.6735064,0.06930447,-0.48530132,-0.5941178,-1.0296615,1.1057249,-0.09303465,-0.58807576,-0.6307341,-0.48024547,-0.6513301,-0.6355608,-0.42545506,-0.8842018,-0.538415,-0.74266124,-0.9880131,-0.43763852,-0.44897342,-0.79234946,-0.47851768,1.4248003,-0.94708914,-0.37543073,-0.2854597,2.1602647,-0.7469318,1.405252,-0.70120335,2.0867057,-0.8454858,1.6419135,-0.7616788,-0.10917688,-1.2602423,0.19697067,-0.117550336,-0.2128357,-0.026810596,-0.15363638,1.1468805,-0.1486071,-0.1370562,-0.4421825,1.6747268,-0.52860135,0.8953138,0.022241846,-0.5588062,-0.24061938,-0.30461848,0.90633976,0.9643572,-0.20486353,0.070775226,-0.1548662,0.64271927,-0.3764517,0.28288925,-0.6030968,-0.818653,0.20716543,-0.3682265,-0.2946502,-0.41700172,-0.3180817,-0.33867186,0.19557315,-0.74454236,-0.35263008,-0.21952422,-0.4792738,-0.45750174,0.103739254,-0.6240986,-0.74699587,-1.2624388,-0.103807874,-0.3537465,-0.71642303,0.19059105,-0.6999485,1.8979667,0.5874897,0.4329524,-0.21839838,-0.4789864,-0.5078609,-0.5129715,1.8755358,-0.3407246,-0.29915383,-0.4235373,-0.70045173,1.1181567,1.2246404,0.4362434,-0.43280667,0.10160188,-0.034299515,-0.37736267,-0.51992947,0.021028422
BC,0.59506655,-0.4703197,0.17653829,-0.7139933,-1.1044679,0.18700738,-0.6862487,-0.12266361,-0.84791404,-0.58790725,-1.0533417,-0.27177253,-0.17721057,-0.14278202,-0.7159957,-0.47403377,-0.52978206,-0.594669,-0.7451877,-0.89664066,-0.5164196,-0.6204084,-1.0316508,0.2533643,2.6246264,2.9480336,2.3934486,2.7239394,1.6083862,2.612286,2.5146194,2.3031354,0.6985722,-0.3752869,0.2560523,-0.4448699,0.0040471097,1.5025611,-0.40831178,-0.22793795,-0.22916564,-0.82928985,-0.24957614,0.067130186,0.70221245,-0.60504305,-0.34234908,0.8846085,-0.89225465,-0.5073212,-0.6307514,-0.4733331,-0.80844396,-0.6515098,-0.6763013,-0.4691826,-0.69606847,-0.77691483,-0.24454491,-0.2825925,-0.74707264,-0.7026011,-0.61875135,-0.4845528,-0.2866214,-1.0576102,-0.39872718,-0.6576591,0.7333297,-0.4648706,-0.6856607,0.11898564,-0.5403777,-1.0446166,1.8844239,-0.34522662,-0.5246162,-0.39822653,0.01437927,-0.7181287,-0.40260655,-0.45511442,-0.39574137,-0.2153432,-0.95905095,-0.9112077,-0.6536436,-0.48671573,-0.76938874,0.5690503,-0.52530193,0.6850805,-0.15293553,-0.6226617,-0.39177084,-1.0791984,-0.6936606,-0.7632827,-0.17742991,-0.8596281,-0.5236622,-0.73158824,-0.38657022,-1.3028609,1.7764333,-0.35962832,-0.40706718,-0.35294002,-0.37707567,-0.13439384,-0.37059572,-0.64188105,-0.5952229,-0.5457279,-0.6039095,0.049420126,-0.5063829,-0.66323423,-0.44317123,-0.35852784,-0.5459435,-0.3229384,-0.7011167,-0.56121707,-0.7866237,-0.31165797,-0.5453663,0.06801803,-0.7031777,-0.82546026,0.88972414,-0.4094846,-0.53261,-0.4164593,1.303657,-0.31533855,-0.5296866,-0.95844615,-0.6777228,-0.5109621,-0.6812273,-0.55405605,1.3720036,-0.85395366,-0.3638681,-0.8426699,-0.81160206,-1.5928994,-0.7480525,-0.44033933,1.7382268,-0.40750718,-0.23491696,-0.29179147,-0.27792165,0.3761767,-0.50241673,-0.7507598,-0.15949956,-0.35711452,-0.30671608,-0.4232965,-0.6790759,-0.35116184,1.376753,-0.30714968,-0.48309308,-0.3031117,-0.23086187,-0.34419087,0.4900235,0.45453784
Cone,-0.5641319,0.49177235,-1.8219182,-0.7109857,-1.112014,-0.69255996,-0.6876059,-0.2032017,-0.82112956,-0.5667939,-0.7056048,-0.36088988,-0.4721813,-0.24839218,-0.6750093,-0.39565068,-0.5300884,-0.5960455,-0.74468607,-0.9120823,-0.5435307,-0.5201749,-0.91558135,0.03571055,-0.5570529,-0.43026036,-1.1079152,-0.7635873,-1.6465048,-0.9041567,-0.9639205,-0.6092223,2.6239593,3.0976403,3.1093547,2.5798717,2.3331323,2.704165,3.060898,2.7774005,2.959957,2.6733294,2.5577772,3.0051198,2.9402742,2.8640895,3.1461847,2.999511,2.3883371,2.4301655,2.537911,-0.48251742,-0.8107416,-0.6535369,-0.675656,-0.4703739,-0.7470796,-0.7791275,-0.66588885,-0.7174065,-0.74685127,-0.7026232,-0.6196067,-0.48399508,0.26107183,-1.0570921,-0.39890945,-0.6563261,0.8323606,-0.6946884,-0.68171376,-0.51786876,-0.5998378,-1.0464779,-0.21880667,-0.54913986,-0.57976675,-0.41432709,-0.5910415,-0.714431,-0.8004215,-0.447102,-1.2472696,-0.6523075,-1.0025904,-1.0135251,-0.7633601,-0.5002683,-0.93457407,1.0273948,-0.52063584,-0.93882936,-0.52833354,-0.62066776,-0.4162316,-1.0844113,-0.5545473,-0.7655718,-0.26360244,-0.8772211,-0.5287761,-0.8038906,0.20774934,-1.3037218,0.63993174,-0.36107376,-0.40665522,-0.31520948,-0.37671944,0.10641876,-0.36975843,-0.6408572,-0.5968425,-0.5383551,-0.60429204,0.41736174,-0.47176135,-0.6640656,-0.49850997,0.66049653,-0.54663444,-0.32322115,-0.6945507,-0.5590762,-0.800456,-0.47562748,-0.54586846,-0.26828447,-0.7032614,-0.8260997,0.10382128,-0.41540363,0.42679256,-0.41737625,-0.39582178,-0.33464321,-0.65292025,-0.9357183,-0.6881563,-0.48529652,-0.67199254,-0.42411003,-0.46153194,-0.7837063,-0.81423825,-1.2944152,-0.94835263,-1.5397239,-0.7872805,-0.41090274,-0.877796,-0.40789106,-0.51382536,-0.29315922,-0.34623182,1.2425805,-0.5078609,0.08734371,0.08709293,-0.36461473,-0.30751872,-0.42315355,-0.8094678,-0.35085836,2.7538424,-0.22652113,0.75421774,2.1030297,2.0445676,2.1107392,2.2449324,2.0899327
Endothelial,-0.47037238,0.29426184,-1.7094535,0.8125347,-0.13011245,-0.6752586,-0.6759148,0.0788054,0.33299997,-0.5006715,0.770827,1.5033514,0.93857276,1.3023952,0.80693704,1.3355912,-0.5242848,0.91078544,0.7115159,-0.8289039,-0.52506244,0.81884843,1.3225281,-0.40666148,-0.724724,-0.39258143,-1.0922751,-0.72866553,-1.6315378,-0.86733896,-0.950616,-0.8328869,-0.020447792,-0.36723813,-0.31640857,-0.9453864,-0.7957651,-0.39637658,-0.40409613,-0.5559655,-0.52039546,-0.81030744,-0.92314047,-0.47700283,-0.3018803,-0.5954536,-0.326289,-0.41179958,-0.96517617,-0.5748445,-0.28906128,2.2333972,2.366636,2.8394833,2.6243715,2.4489813,2.7309062,2.693926,2.7529187,2.9523678,2.1448445,2.770011,2.849573,2.9847085,3.166944,2.4141862,2.8304422,2.80822,3.184588,-0.65705603,-0.6714135,0.9341608,-0.59752005,-1.039656,-0.35171625,-0.5406359,1.4875246,-0.34589368,-0.58625305,-0.69336575,-0.798806,-0.44611752,-0.05535353,-0.6347703,-0.5293637,-1.0061164,0.5153673,-0.49600667,-0.9141041,-0.5420461,0.9317187,-0.9355352,-0.49052307,-0.5873543,-0.18301938,-1.0617436,1.4264598,-0.73729825,0.61999965,-0.87390864,-0.4839236,-0.8008558,-0.44305247,-1.2861673,-0.8261524,-0.3475395,-0.39215162,-0.2665184,-0.35963753,0.0055242716,-0.3525772,1.5459993,-0.5821059,0.5689125,-0.5924772,2.4907749,-0.14528053,-0.63545823,1.8001765,0.600427,0.37509152,1.1181766,1.127765,1.968507,-0.32324737,0.94820505,0.3217365,1.0908775,0.23330279,0.014295054,0.13546461,1.6695883,0.4977588,0.80695885,0.8003338,1.9183595,0.6954804,-0.9482331,-0.6674768,-0.49132106,-0.51975155,-0.57792276,-0.47612426,-0.8541454,-0.82081217,-1.278996,-0.914646,-1.403952,-0.783399,-0.3875925,-0.8306152,0.88178885,-0.4553472,-0.16599588,-0.17857543,0.13821416,-0.45748797,1.5723764,-0.16189885,-0.241684,-0.15734759,-0.31384638,-0.6562768,-0.27407622,0.19581956,-0.26039353,-0.4383135,-0.35723728,-0.25730944,-0.40401393,-0.18195552,-0.284453
HC,0.07052086,0.5505756,-1.3177017,-0.71555,-1.0975612,-0.6939572,-0.6837928,-0.06570955,-0.7242113,-0.5278568,0.1098978,-0.39783773,-0.6005101,-0.36245832,-0.72332865,-0.47947943,-0.5304783,-0.59706116,-0.7757988,-0.91336346,-0.5445595,-0.7100155,-1.0356507,0.74420005,-0.8424407,-0.43820614,-0.992582,-0.7913882,0.12425935,-0.8383274,-0.9607509,-0.8709661,0.6036725,-0.36821413,-0.39532378,-0.9058792,1.0334333,-0.38144454,-0.4144793,-0.51865906,-0.539833,-0.82405496,0.20129645,-0.46893847,-0.32617494,-0.59299713,-0.34415656,-0.18780456,-0.97010905,-0.5376921,-0.7422147,-0.49177942,-0.8123539,-0.6642444,-0.6775208,-0.47095248,-0.7432235,-0.7794262,0.4829102,-0.722716,-0.738622,-0.70354396,-0.62010384,-0.48569188,-0.051134605,-1.0589626,-0.40115148,-0.6583691,0.5732796,2.8120174,2.467212,2.8956273,2.8649929,2.4445066,2.2537506,2.3320367,2.1333556,2.593927,2.3557887,2.4987354,2.7215474,3.0516105,2.4067938,2.0351036,2.4695153,2.4786446,2.6881888,2.9784489,2.560613,2.7835941,2.2798245,2.3017278,-0.44971296,-0.6009988,-0.2034902,-1.0876142,-0.49444795,-0.7622812,-0.019662935,-0.8647359,-0.41613054,-0.80952543,-0.2674416,-1.3100508,-0.46319595,-0.36374286,-0.40863368,-0.2962627,-0.37991905,0.07774956,-0.3729053,-0.6439233,-0.597272,-0.53170437,-0.6050301,1.2315378,-0.29297844,-0.66455704,1.8271092,-0.3456611,-0.5484429,-0.32445768,-0.58863765,0.37092954,1.6116142,-0.4449567,-0.5332343,-0.12565407,-0.70410806,-0.8264856,-0.6348711,-0.37404713,-0.54537714,-0.41468143,0.15105766,-0.30018753,-0.6617295,-0.08903014,-0.5689746,0.49463132,1.1100856,-0.4676384,0.006098692,-0.63675797,-0.7637179,-1.1666722,-0.88759655,-1.1652247,-0.7016187,-0.048854418,-0.35834536,-0.4099116,-0.4974063,-0.27331668,-0.35117862,1.2633364,-0.5078609,-0.6808329,0.22512539,-0.36122853,-0.30760026,-0.4235373,-0.8106148,-0.35849974,0.28211915,-0.16042812,-0.47447592,-0.31328642,-0.23496892,-0.4038495,-0.46519092,-0.23250526
MG,-0.5249811,0.20983902,-1.68048,-0.2925144,0.012627674,1.8543366,1.065443,2.1858475,-0.81335443,-0.577427,0.50380486,0.23008412,0.37838867,0.5996162,-0.19905314,-0.43887097,-0.4023613,0.568162,-0.658219,-0.1553445,-0.47353643,-0.06391869,-0.16507044,1.2362747,-0.81511056,0.75588727,-0.6467698,-0.67118126,-1.6289054,-0.8804983,-0.9513931,-0.48167217,0.02689631,-0.36911222,-0.37442946,-0.9286174,-0.776418,-0.38199177,-0.40378368,-0.49270317,-0.523766,-0.81374323,-0.8567012,-0.47488037,-0.120254494,-0.6031819,-0.32317317,-0.42428282,-0.9564821,-0.51482004,-0.7352608,-0.48575908,0.03430105,-0.24112383,-0.6741517,-0.45751932,-0.7430167,-0.7244126,-0.57465374,-0.5049671,-0.74397635,-0.7013888,-0.6174303,-0.48221365,-0.14340802,-1.0545537,1.2573253,-0.6562086,1.8462756,-0.69009227,-0.6273355,-0.49824673,-0.5853263,-1.0394617,1.5822862,0.25860235,0.13337967,-0.5407626,-0.57723063,-0.70967656,-0.7882941,-0.4460742,-1.0051275,0.3792451,0.41911295,-1.0088588,-0.5539697,-0.4626338,-0.8307178,-0.54660505,1.4791195,-0.95751005,2.5019436,2.8776102,2.3948379,2.4069786,1.6647682,2.7187061,2.8290453,2.5979242,2.535975,2.6918948,3.1078596,2.1748452,2.0188196,-0.36214593,-0.40420458,-0.30232045,-0.3769903,0.06924175,-0.37013677,-0.35605997,-0.595247,-0.45648238,-0.6008616,0.43505406,-0.30722174,-0.66167873,0.03206142,-0.31843957,-0.2514115,-0.30995983,-0.45141628,-0.52326125,-0.7328847,-0.27346247,-0.3502018,-0.40501535,-0.62288606,-0.4611288,-0.49786973,-0.4026197,1.3727503,-0.4151802,1.9768671,-0.25863585,-0.61423326,-0.8949951,-0.5533995,-0.4349786,-0.639861,-0.562091,-0.3908856,-0.8087583,-0.8005449,-1.2697877,0.8278585,-1.4806923,-0.7631917,-0.35055283,-0.8170756,0.57003975,0.27014783,0.22051202,0.4846518,1.2999165,-0.5067231,0.23782656,1.9414358,-0.34118253,-0.27554023,-0.4208676,-0.7927852,2.0132043,0.9583721,0.0034899868,-0.36849418,-0.20743297,-0.11815884,-0.33719012,-0.11691147,-0.09684085
Microglia,-0.52061266,-0.8028137,-1.7913386,-0.44537774,-0.8910053,-0.7075326,-0.57039964,0.13548733,1.7069585,-0.6281769,1.3711545,1.657116,1.3584946,1.1083169,0.17469828,1.702509,-0.30604044,-0.4116772,1.4859982,0.73367286,-0.35736972,-0.5583656,-0.9325164,0.11158265,0.26248056,-0.44629377,-1.1214511,-0.7739081,-1.6535372,-0.90661013,-0.9771285,-0.8577971,-0.31678176,-0.37020934,0.26176578,-0.9501373,-0.8150576,-0.41996968,-0.4061,-0.50670344,-0.52556974,-0.7725256,-0.69732517,-0.48173568,-0.3160674,-0.60552835,-0.3091766,-0.42675036,-0.9652944,-0.5305613,-0.75499076,-0.47400513,-0.72827166,-0.6578253,-0.67656875,1.8095357,-0.74690706,-0.77883875,-0.64635926,-0.20752183,-0.7461953,-0.663303,-0.61787105,-0.4846617,-0.13405669,-1.043996,-0.3906436,-0.6583691,0.54360276,0.013683849,-0.5157812,-0.50766045,-0.5964848,-0.96246105,-0.37772205,-0.54455,1.1813854,-0.667592,-0.5756938,-0.6556739,-0.793942,-0.416036,-0.796919,-0.62484324,-0.9904724,-0.9949861,-0.7687627,-0.49021196,-0.8962413,-0.4612001,-0.38694298,-0.9614701,-0.4155864,-0.56916267,-0.1131807,-1.0716746,0.87498057,-0.75044316,0.8377785,-0.8640537,-0.42192617,-0.7899181,-0.5777114,-1.2664899,-0.82319033,3.1181817,3.0726638,3.1760979,3.1018953,2.8170853,3.1081982,2.4032133,2.8812664,2.371564,2.8681026,2.9569483,3.0992415,2.8120036,-0.41637918,-0.31342643,-0.5310224,-0.30064327,0.2817089,-0.47725835,-0.833559,-0.47630504,-0.5419155,-0.3654033,-0.6970716,-0.8158861,0.43138304,-0.3797852,-0.44647986,-0.41568583,-0.34691253,-0.3384471,-0.64019257,-0.69446886,-0.33481464,-0.10620784,-0.43757743,-0.4612783,0.12144477,-0.623873,-0.7560318,-1.2817116,-0.9224237,-0.32993257,-0.7488276,0.3386184,-0.7063909,-0.36729094,-0.43665117,0.7916411,-0.34069982,-0.65468216,-0.50770915,-0.698595,-0.07239184,-0.34850582,-0.3071617,-0.42290664,-0.8092292,-0.2811717,0.18918893,0.17142141,-0.46147114,-0.13895486,-0.12856154,-0.12268455,-0.47524744,-0.1709757
Pericyte,-0.21311045,-0.7965808,-1.6813235,1.303182,-0.579147,-0.61690474,-0.6889068,0.09869433,-0.030217187,-0.5048229,-0.2048005,0.97235006,0.8226115,1.1255584,0.80130786,1.5570848,-0.52759576,0.050053455,0.5670645,-0.7456429,-0.5201503,1.355786,0.42941415,-0.37787822,-0.77405256,-0.35038313,-1.0708064,-0.6122005,-1.494079,-0.8010004,-0.8345777,-0.74027824,0.9575998,-0.35372868,-0.33449456,-0.94470376,-0.807322,-0.34493575,-0.40084082,-0.5591358,-0.504064,-0.73124766,-0.9074569,-0.44625118,-0.28684425,-0.59216166,-0.28844947,-0.39252064,-0.94813687,-0.57202816,0.9840973,-0.16504218,-0.29888475,-0.46997643,-0.5294828,0.117215775,-0.6970559,-0.75115687,-0.5951029,-0.2090952,1.4461653,-0.6448667,-0.56197906,-0.42195293,-0.27927926,-0.9849503,-0.14541887,-0.63748807,0.30626115,-0.5696388,-0.6293924,-0.4676507,-0.60185766,-1.0413557,-0.35079214,-0.53473395,-0.5639741,1.2899709,-0.51548284,-0.63713926,-0.7923981,-0.4489028,-0.63184255,-0.6091521,-0.77246565,-0.9983661,-0.6083146,-0.4840636,-0.922642,-0.4651957,0.25417873,-0.9263463,-0.47188482,-0.587482,-0.21421555,-1.073801,0.82236505,-0.64670664,-0.07786441,-0.878959,-0.48514387,-0.7926141,-0.4691631,-1.2860003,-0.8017878,-0.35273197,-0.38616017,-0.27660415,-0.37306404,0.042191338,-0.36698326,-0.17555112,-0.58634377,0.099951215,-0.5981702,2.3434849,-0.0615873,-0.65152436,1.9896226,3.0363927,2.7664504,2.8776383,1.8719263,2.245841,1.8877887,2.9157171,2.9236474,3.050669,2.738874,2.6425252,2.9096022,2.4023333,2.6955638,2.93751,2.3214874,2.5112836,2.5829377,-0.9467357,-0.676271,-0.5028555,-0.6656992,-0.5470946,-0.34721878,-0.8389024,-0.7827048,-1.2013206,-0.9274299,-1.3668768,-0.7342129,-0.40232444,-0.72466594,0.2917401,-0.45482588,-0.24099639,-0.2615604,0.1405835,-0.46172738,-0.7314325,-0.20702966,-0.13557701,-0.27307075,-0.41198778,-0.17677653,-0.32059115,0.5874175,-0.24688368,-0.45744586,-0.3414812,-0.24943447,-0.4069324,0.006225518,-0.26809677
RGC,1.6881479,-0.5646118,-0.29105893,-0.710504,-1.0239605,-0.690938,-0.68834645,0.014302547,-0.67671686,-0.5414258,-0.60082453,-0.25628373,-0.44688427,-0.12995015,-0.6726741,-0.3691883,-0.53015125,-0.5795368,-0.75571805,-0.8960432,-0.48359177,-0.58544564,-1.0245873,0.8867829,-0.83484185,0.5650147,-1.0932813,-0.7872408,-0.8318296,-0.48915157,-0.9443177,1.0348539,-0.064524956,-0.37864053,-0.40271756,-0.76514846,0.40889546,-0.4222971,-0.41126263,-0.5722529,-0.5386606,-0.8334989,-0.77783537,-0.48062757,-0.18384516,-0.60816926,-0.346253,0.17559825,-0.95985365,-0.5438198,-0.7128651,-0.49013153,-0.8026319,-0.6396443,-0.6774628,-0.46507245,-0.74033034,-0.7760029,0.60419774,-0.042341486,-0.7477296,-0.70350546,-0.62007695,-0.48563945,-0.3649164,-1.0584996,-0.3999774,-0.6578163,0.8394346,-0.6851953,-0.603379,0.066214755,0.19550474,-0.98143005,0.9800327,0.5125791,-0.5414388,-0.116765074,0.59716934,-0.69173956,-0.055870634,-0.18146607,-0.8672689,0.6217517,-0.68215644,-0.6623062,-0.74623656,-0.21062917,0.12483333,0.5192849,-0.5217823,-0.78860927,0.15479855,-0.6259866,-0.27555332,-1.0747291,-0.6133572,-0.76925135,-0.16582012,-0.8767131,-0.16530795,-0.701866,-0.05497981,-1.307971,-0.52878517,-0.3601074,-0.40685102,-0.28984466,-0.3751425,0.17665075,-0.37019643,-0.6427911,-0.596187,-0.5423939,-0.60244423,1.0629601,-0.1894122,-0.6637276,-0.23733799,-0.36219272,-0.5453827,-0.32326505,1.8098639,0.83854884,0.91223496,-0.47301325,-0.5452445,-0.18721096,-0.7004388,-0.82599455,-0.50376886,1.2598525,-0.54241925,-0.41740513,-0.29583314,-0.3389,-0.6295687,2.5638397,2.808408,3.0190005,2.5806608,2.5796905,2.6622381,2.6876526,2.6152966,2.2285686,2.113118,1.6221434,2.6863587,3.1322384,1.7662174,-0.38864806,0.45380688,-0.29127643,-0.3099311,1.0583225,-0.50744295,-0.6944282,-0.04884588,-0.35937697,-0.30754074,-0.42319405,-0.8086139,-0.35782906,-0.19591758,-0.30775136,-0.4879905,-0.38952962,-0.29800308,0.40046623,-0.17547707,-0.33404094
