Cell,Subclass,Ensembl,Gene,Coefficient
AC,63,ENSMUSG00000050663,Trhde,0.38158593109012384
AC,63,ENSMUSG00000022494,Shisa9,0.36392528128179624
AC,63,ENSMUSG00000029088,Kcnip4,0.3516882682144863
AC,63,ENSMUSG00000027562,Car2,0.34558913782165934
AC,63,ENSMUSG00000020524,Gria1,0.3094986215938073
AC,63,ENSMUSG00000059187,Tafa1,0.2834167071439162
AC,63,ENSMUSG00000052920,Prkg1,0.2718192602131908
AC,63,ENSMUSG00000027270,Lamp5,0.26931345283337804
AC,63,ENSMUSG00000098008,A930001A20Rik,0.264344678241875
AC,63,ENSMUSG00000019888,Mgat4c,0.2462966115243001
AC,63,ENSMUSG00000071424,Grid2,0.23144098881076683
AC,63,ENSMUSG00000061576,Dpp6,0.22772341857477904
AC,63,ENSMUSG00000063600,Egfem1,0.22760668621534663
AC,63,ENSMUSG00000030310,Slc6a1,0.2266232983455419
AC,63,ENSMUSG00000028565,Nfia,0.22363052708702308
AC,63,ENSMUSG00000043531,Sorcs1,0.22339285596802683
AC,63,ENSMUSG00000025927,Tfap2b,0.20254218234364788
AC,63,ENSMUSG00000070866,Zfp804a,0.20023312341801291
AC,63,ENSMUSG00000027748,Trpc4,0.1963311219481853
AC,63,ENSMUSG00000027525,Phactr3,0.18725579913213464
