Cell,Subclass,Ensembl,Gene,Coefficient
BC,15,ENSMUSG00000090223,Pcp4,0.6764029781364052
BC,15,ENSMUSG00000050965,Prkca,0.6459182627219217
BC,15,ENSMUSG00000064293,Cntn4,0.58963237479865
BC,15,ENSMUSG00000004630,Pcp2,0.5722687152290434
BC,15,ENSMUSG00000001175,Calm1,0.4539327135761375
BC,15,ENSMUSG00000027350,Chgb,0.441074223577494
BC,15,ENSMUSG00000052581,Lrrtm4,0.3550365918670489
BC,15,ENSMUSG00000030523,Trpm1,0.31517839681887744
BC,15,ENSMUSG00000025085,Ablim1,0.30692331390909483
BC,15,ENSMUSG00000041261,Car8,0.298746586446016
BC,15,ENSMUSG00000020704,Asic2,0.2703986395655598
BC,15,ENSMUSG00000039629,Strip2,0.25650939829777425
BC,15,ENSMUSG00000026335,Pam,0.25553153829500186
BC,15,ENSMUSG00000020728,Cep112,0.24531372549160774
BC,15,ENSMUSG00000022708,Zbtb20,0.24301311702929557
BC,15,ENSMUSG00000037610,Kcnmb2,0.23909462402912698
BC,15,ENSMUSG00000022514,Il1rap,0.22295072215960526
BC,15,ENSMUSG00000030092,Cntn6,0.21581211521066643
BC,15,ENSMUSG00000103510,Gm30725,0.21465450791255794
BC,15,ENSMUSG00000103428,Gm20754,0.20827158344343616
