Cell,Subclass,Ensembl,Gene,Coefficient
Microglia,0,ENSMUSG00000028832,Stmn1,0.2504772800995935
Microglia,0,ENSMUSG00000037894,H2az1,0.2358957481555276
Microglia,0,ENSMUSG00000023004,Tuba1b,0.2231856023240641
Microglia,0,ENSMUSG00000001525,Tubb5,0.17450767666272382
Microglia,0,ENSMUSG00000054717,Hmgb2,0.15362434429934524
Microglia,0,ENSMUSG00000027342,Pcna,0.13938023875297484
Microglia,0,ENSMUSG00000066551,Hmgb1,0.13932100121972002
Microglia,0,ENSMUSG00000062248,Cks2,0.13617992492883216
Microglia,0,ENSMUSG00000060860,Ube2s,0.1340153572251468
Microglia,0,ENSMUSG00000030654,Arl6ip1,0.13316782461761534
Microglia,0,ENSMUSG00000079017,Ifi27l2a,0.12079643720399053
Microglia,0,ENSMUSG00000022033,Pbk,0.1203602876929852
Microglia,0,ENSMUSG00000034855,Cxcl10,0.1140622999172204
Microglia,0,ENSMUSG00000031004,Mki67,0.11344794498969822
Microglia,0,ENSMUSG00000017716,Birc5,0.11252330211560009
Microglia,0,ENSMUSG00000008690,Ncaph2,0.1070335016860386
Microglia,0,ENSMUSG00000021025,Nfkbia,0.10666557038597638
Microglia,0,ENSMUSG00000029430,Ran,0.10648792103539768
Microglia,0,ENSMUSG00000036752,Tubb4b,0.10535468341264832
Microglia,0,ENSMUSG00000022021,Diaph3,0.10425559471733273
