Cell,Subclass,Ensembl,Gene,Coefficient
RGC,45,ENSMUSG00000039714,Cplx3,0.8561222363401785
RGC,45,ENSMUSG00000066392,Nrxn3,0.8341515375914184
RGC,45,ENSMUSG00000029580,Actb,0.8291076538559762
RGC,45,ENSMUSG00000052920,Prkg1,0.8231089645867444
RGC,45,ENSMUSG00000029088,Kcnip4,0.8114821431451206
RGC,45,ENSMUSG00000003657,Calb2,0.8064353457166648
RGC,45,ENSMUSG00000045532,C1ql1,0.6768503278677529
RGC,45,ENSMUSG00000055026,Gabrg3,0.648600214847966
RGC,45,ENSMUSG00000052581,Lrrtm4,0.6312521281386
RGC,45,ENSMUSG00000022636,Alcam,0.5643968749019349
RGC,45,ENSMUSG00000057666,Gapdh,0.5479129509396288
RGC,45,ENSMUSG00000092094,Zfp804b,0.5392442078641085
RGC,45,ENSMUSG00000049517,Rps23,0.535284522997287
RGC,45,ENSMUSG00000100252,Mir124-2hg,0.5188906652762515
RGC,45,ENSMUSG00000028222,Calb1,0.5001697673018658
RGC,45,ENSMUSG00000026688,Mgst3,0.49995234595070037
RGC,45,ENSMUSG00000027238,Frmd5,0.4890163565177065
RGC,45,ENSMUSG00000026576,Atp1b1,0.47033819552453426
RGC,45,ENSMUSG00000026434,Nucks1,0.46584895649306945
RGC,45,ENSMUSG00000038539,Atf5,0.4617875900764219
