Cell Type,Gene,Coefficient
AC,Synpr,0.5936472906784561
AC,Asic2,0.5613106251113942
AC,Frmd5,0.5577469117432072
AC,Slc32a1,0.5513312245693966
AC,Gad1,0.5173637207255922
AC,Gria4,0.5002836713639363
AC,Tfap2b,0.4856902354902104
AC,Grik2,0.47604455512911215
AC,Grm8,0.45408015314462985
AC,Anks1b,0.4505393387216083
AC,C1ql1,0.4416897527649976
AC,Slc6a9,0.4268344991711882
AC,Slc6a1,0.40243518626555613
AC,Ptprk,0.38984465177001376
AC,Nckap5,0.3643195475480677
AC,Lhfp,0.3531588470501861
AC,Prkg1,0.34829289371802435
AC,Pcp4,0.3436921679518496
AC,Cxcl14,0.34350884444630514
AC,Dlgap1,0.3431288745752166
AC,Rbpms,-0.8010418306100311
AC,Nefl,-0.5817642526010882
AC,Sncg,-0.5792926280814945
AC,Rbms3,-0.5387113544549771
AC,Nrn1,-0.48802239920300344
AC,Galntl6,-0.4777479250389265
AC,Nefm,-0.4774021467042784
AC,Gng13,-0.46736418293605375
AC,Thsd7b,-0.4668876863185521
AC,Marchf1,-0.44879168416294807
AC,Cst3,-0.4239585145230981
AC,D130079A08Rik,-0.4133540635476286
AC,Zfp804b,-0.3922931781613884
AC,Clstn2,-0.38689513341503223
AC,Pcp2,-0.3859970830131782
AC,Lhfpl3,-0.37889545865330987
AC,Ebf1,-0.36697750791210276
AC,Rbpms2,-0.3637543687029385
AC,Thy1,-0.35452881593843455
AC,Kcnd2,-0.34660349377846045
Astrocyte,Hspa1a,0.42758181098640524
Astrocyte,Eftud2,0.4056064131040732
Astrocyte,Creb5,0.3201515158167457
Astrocyte,Fos,0.3082817803571563
Astrocyte,Fosb,0.29657165458574114
Astrocyte,Vcl,0.2906782868278315
Astrocyte,Gfap,0.26036575379342786
Astrocyte,S100b,0.24265880036630005
Astrocyte,Atf3,0.22701146081107787
Astrocyte,Mt2,0.22688499761783326
Astrocyte,Ccn1,0.2171485780477278
Astrocyte,Wwtr1,0.18778548592486055
Astrocyte,Egr1,0.18733633875785652
Astrocyte,Dnajb1,0.17777269110520205
Astrocyte,Aldoc,0.17152747906470633
Astrocyte,Junb,0.1694271413141224
Astrocyte,Zswim6,0.1640421040518456
Astrocyte,Csrp1,0.16352127879741726
Astrocyte,Ppp1r15a,0.16086872633207286
Astrocyte,Mlc1,0.15767608061881927
