Cell Type,Gene,Coefficient
10_Novel,Ano3,0.6673518747277285
10_Novel,Pcdh9,0.5728070490738159
10_Novel,Pou6f2,0.45104021884079826
10_Novel,Tafa1,0.433950381491132
10_Novel,Sdk1,0.3996934786998421
10_Novel,Tmeff2,0.38259913999572626
10_Novel,Robo1,0.3805874912025413
10_Novel,Fat3,0.3192984172946548
10_Novel,Nlgn1,0.3176238667556517
10_Novel,Ntng1,0.3174504666543031
10_Novel,Mgat4c,0.3090731314296963
10_Novel,Hcn1,0.29955762113255957
10_Novel,Alk,0.29482218129543053
10_Novel,Cdh6,0.2887889484234913
10_Novel,Calb1,0.2765985877417821
10_Novel,Nell1,0.27191782483398624
10_Novel,Sema6a,0.2508559073205011
10_Novel,Spock1,0.24108520023870714
10_Novel,Pde11a,0.23350277774695852
10_Novel,Nxph1,0.2319725580341582
10_Novel,Calb2,-0.7869661038864475
10_Novel,mt-Nd1,-0.4682276233701416
10_Novel,Ralyl,-0.3905847943972405
10_Novel,Scg2,-0.3524930297642548
10_Novel,Cplx2,-0.3488195241981574
10_Novel,Zfp804b,-0.33535848641388744
10_Novel,Kcnip4,-0.32963071390779164
10_Novel,Galntl6,-0.3246702780635057
10_Novel,Ftl1,-0.3148759581116368
10_Novel,Actb,-0.30122012805771237
10_Novel,Nrg1_ENSMUSG00000062991,-0.2781948168892277
10_Novel,Lrrtm4,-0.2742978062037702
10_Novel,Sorcs1,-0.25105734552409703
10_Novel,Unc5d,-0.250147693370603
10_Novel,Pcdh7,-0.2491690485548057
10_Novel,Gm32647,-0.24727163459507173
10_Novel,Cntnap2,-0.24701284147438554
10_Novel,Kcnd2,-0.246880216092811
10_Novel,Frmd5,-0.244994934375464
10_Novel,Synpr,-0.23373198167947817
11_Novel,Tac1,0.7720125688076257
11_Novel,Chrm3,0.7234314733506715
11_Novel,Pvalb,0.6636709086749791
11_Novel,Ebf3,0.622613099700653
11_Novel,Pex5l,0.6082914431170783
11_Novel,Sdk1,0.4567565213037532
11_Novel,Sgcz,0.4346862656757263
