Cell,Subclass,Ensembl,Gene,Coefficient
AC,AC,ENSMUSG00000092094,Zfp804b,1.0536806942770958
AC,AC,ENSMUSG00000025400,Tac2,0.8215481100425206
AC,AC,ENSMUSG00000039114,Nrn1,0.7055416674931525
AC,AC,ENSMUSG00000022376,Adcy8,0.6698061102854894
AC,AC,ENSMUSG00000051177,Plcb1,0.6571599210463507
AC,AC,ENSMUSG00000056494,Cngb3,0.6553048701236892
AC,AC,ENSMUSG00000039683,Sdk1,0.6098967538889213
AC,AC,ENSMUSG00000055639,Dach1,0.5980989553130078
AC,AC,ENSMUSG00000029313,Aff1,0.5939457123638177
AC,AC,ENSMUSG00000041741,Pde3a,0.5930400406228734
AC,AC,ENSMUSG00000047712,Ust,0.5863659069778918
AC,AC,ENSMUSG00000055409,Nell1,0.5831786225820929
AC,AC,ENSMUSG00000078591,Hs3st4,0.5706095675339423
AC,AC,ENSMUSG00000039385,Cdh6,0.5408939343895693
AC,AC,ENSMUSG00000032011,Thy1,0.5355705720748167
AC,AC,ENSMUSG00000050711,Scg2,0.5259086065160278
AC,AC,ENSMUSG00000047907,Tshz2,0.5161583054357368
AC,AC,ENSMUSG00000020354,Sgcd,0.5029842112059472
AC,AC,ENSMUSG00000031137,Fgf13,0.49649712345810404
AC,AC,ENSMUSG00000027500,Stmn2,0.4927742733639367
AC,AC,ENSMUSG00000032291,Crabp1,-0.8527033879609864
AC,AC,ENSMUSG00000064341,mt-Nd1,-0.8112820515438911
AC,AC,ENSMUSG00000115783,Bc1,-0.7881586576778095
AC,AC,ENSMUSG00000027827,Kcnab1,-0.719276367162154
AC,AC,ENSMUSG00000025927,Tfap2b,-0.7077314707359486
AC,AC,ENSMUSG00000110246,C130073E24Rik,-0.6997470878856967
AC,AC,ENSMUSG00000022748,Cmss1,-0.696130933519342
AC,AC,ENSMUSG00000028519,Dab1,-0.6240523881783013
AC,AC,ENSMUSG00000037771,Slc32a1,-0.6104937995959254
AC,AC,ENSMUSG00000025551,Fgf14,-0.6047777805647814
AC,AC,ENSMUSG00000021359,Tfap2a,-0.5986942121640423
AC,AC,ENSMUSG00000030092,Cntn6,-0.5949964720522891
AC,AC,ENSMUSG00000026575,Nme7,-0.5821190266628372
AC,AC,ENSMUSG00000036381,P2ry14,-0.5741277038751897
AC,AC,ENSMUSG00000070866,Zfp804a,-0.5723682283655435
AC,AC,ENSMUSG00000050708,Ftl1,-0.5563931902013302
AC,AC,ENSMUSG00000019888,Mgat4c,-0.5537169152232743
AC,AC,ENSMUSG00000042757,Tmem108,-0.5489571784435405
AC,AC,ENSMUSG00000020181,Nav3,-0.5473351445685651
AC,AC,ENSMUSG00000090137,Uba52,-0.5441403628475437
AC,AC_1,ENSMUSG00000029838,Ptn,0.981397260280219
AC,AC_1,ENSMUSG00000092094,Zfp804b,0.9353185480009826
AC,AC_1,ENSMUSG00000025128,Bhlhe22,0.9321989212798389
AC,AC_1,ENSMUSG00000047161,Chst9,0.8994564365164051
AC,AC_1,ENSMUSG00000031558,Slit2,0.8792002201585947
AC,AC_1,ENSMUSG00000030717,Nupr1,0.8148553460559134
AC,AC_1,ENSMUSG00000024642,Tle4,0.7419846503990775
AC,AC_1,ENSMUSG00000020620,Abca8b,0.705175351085197
AC,AC_1,ENSMUSG00000034310,Tmem132d,0.6852471974048798
AC,AC_1,ENSMUSG00000040118,Cacna2d1,0.6834977044231129
AC,AC_1,ENSMUSG00000047810,Ccdc88b,0.6766641156503389
AC,AC_1,ENSMUSG00000031561,Tenm3,0.667334456304751
AC,AC_1,ENSMUSG00000038128,Camk4,0.6501622356228088
AC,AC_1,ENSMUSG00000062542,Syt9,0.6469929840788661
AC,AC_1,ENSMUSG00000008658,Rbfox1,0.6402924743326103
AC,AC_1,ENSMUSG00000022037,Clu,0.6370219746422269
AC,AC_1,ENSMUSG00000038515,Grtp1,0.6265718526141043
AC,AC_1,ENSMUSG00000067028,Cntnap5b,0.624566909692217
AC,AC_1,ENSMUSG00000026473,Glul,0.6121455262235967
