Cell,Subclass,Ensembl,Gene,Coefficient
BC,15,ENSMUSG00000090223,Pcp4,1.021587799461983
BC,15,ENSMUSG00000064293,Cntn4,0.9487285478037641
BC,15,ENSMUSG00000004630,Pcp2,0.8341868431394193
BC,15,ENSMUSG00000050965,Prkca,0.7654033662296309
BC,15,ENSMUSG00000039629,Strip2,0.5330559680249595
BC,15,ENSMUSG00000035283,Adrb1,0.5298016719056844
BC,15,ENSMUSG00000030523,Trpm1,0.45192175701323656
BC,15,ENSMUSG00000027350,Chgb,0.43469063722037776
BC,15,ENSMUSG00000035274,Tpbg,0.40560451793129126
BC,15,ENSMUSG00000041261,Car8,0.39167216390965814
BC,15,ENSMUSG00000020728,Cep112,0.35804268530491745
BC,15,ENSMUSG00000085794,Vax2os,0.3510791386956462
BC,15,ENSMUSG00000020151,Ptprr,0.3266454468894354
BC,15,ENSMUSG00000022514,Il1rap,0.3170529818636311
BC,15,ENSMUSG00000030092,Cntn6,0.31298223791483676
BC,15,ENSMUSG00000115398,Gm534,0.3069122468111682
BC,15,ENSMUSG00000070337,Gpr179,0.30067470098121013
BC,15,ENSMUSG00000028525,Pde4b,0.29057429022480064
BC,15,ENSMUSG00000031530,Dusp4,0.2873345898523718
BC,15,ENSMUSG00000034040,Galnt17,0.2870770184473349
