Cell,Subclass,Ensembl,Gene,Coefficient
Microglia,0,ENSMUSG00000028832,Stmn1,1.1256841185815953
Microglia,0,ENSMUSG00000054717,Hmgb2,0.5314415475737164
Microglia,0,ENSMUSG00000022021,Diaph3,0.46409672096210974
Microglia,0,ENSMUSG00000034349,Smc4,0.4513510325423063
Microglia,0,ENSMUSG00000033450,Tagap,0.4429943607805924
Microglia,0,ENSMUSG00000026360,Rgs2,0.43497568568032435
Microglia,0,ENSMUSG00000023067,Cdkn1a,0.43462638100063616
Microglia,0,ENSMUSG00000030223,Ptpro,0.4167832836488957
Microglia,0,ENSMUSG00000039683,Sdk1,0.38242753379268973
Microglia,0,ENSMUSG00000023015,Racgap1,0.38127988305176713
Microglia,0,ENSMUSG00000079017,Ifi27l2a,0.3786600037239875
Microglia,0,ENSMUSG00000003038,Hmgn2,0.3519486750559231
Microglia,0,ENSMUSG00000015852,Fcrls,0.34950236582597044
Microglia,0,ENSMUSG00000000682,Cd52,0.3420634828668144
Microglia,0,ENSMUSG00000029687,Ezh2,0.33941795282241705
Microglia,0,ENSMUSG00000021025,Nfkbia,0.29920175392406834
Microglia,0,ENSMUSG00000026628,Atf3,0.2975002180052647
Microglia,0,ENSMUSG00000034855,Cxcl10,0.2930146517599695
Microglia,0,ENSMUSG00000024590,Lmnb1,0.28954358857570833
Microglia,0,ENSMUSG00000029304,Spp1,0.2871305703794075
