Cell,Subclass,Ensembl,Gene,Coefficient
RGC,45,ENSMUSG00000028121,Bcar3,1.7469569191426357
RGC,45,ENSMUSG00000053007,Creb5,1.7226382821592683
RGC,45,ENSMUSG00000030523,Trpm1,1.6290529532143536
RGC,45,ENSMUSG00000025350,Rdh5,1.5635576254973234
RGC,45,ENSMUSG00000038642,Ctss,1.399350600805705
RGC,45,ENSMUSG00000059049,Frem1,1.3969073118893878
RGC,45,ENSMUSG00000096883,Shisa8,1.364671540830361
RGC,45,ENSMUSG00000103428,Gm20754,1.3217661456114622
RGC,45,ENSMUSG00000052920,Prkg1,1.3210752692909242
RGC,45,ENSMUSG00000032291,Crabp1,1.2976010054236862
RGC,45,ENSMUSG00000026628,Atf3,1.2809114035528504
RGC,45,ENSMUSG00000001911,Nfix,1.2470355536855855
RGC,45,ENSMUSG00000032060,Cryab,1.2246605867133622
RGC,45,ENSMUSG00000027803,Wwtr1,1.2187266733075663
RGC,45,ENSMUSG00000079045,Prox1os,1.206334056757595
RGC,45,ENSMUSG00000066705,Fxyd6,1.1771968141355924
RGC,45,ENSMUSG00000048015,Neurod4,1.1449836994216323
RGC,45,ENSMUSG00000026547,Tagln2,1.1316720430813052
RGC,45,ENSMUSG00000030336,Cd27,1.1264617636655847
RGC,45,ENSMUSG00000034837,Gnat1,1.0885406625604968
