Cell,Subclass,Ensembl,Gene,Coefficient
AC,AC,ENSMUSG00000092094,Zfp804b,0.7495395673975241
AC,AC,ENSMUSG00000056158,Car10,0.5795275356140661
AC,AC,ENSMUSG00000025400,Tac2,0.5221970800131578
AC,AC,ENSMUSG00000027500,Stmn2,0.49998831976206437
AC,AC,ENSMUSG00000026347,Tmem163,0.49930152770837444
AC,AC,ENSMUSG00000046447,Camk2n1,0.47663146555562286
AC,AC,ENSMUSG00000029088,Kcnip4,0.47625805579450525
AC,AC,ENSMUSG00000055639,Dach1,0.442639079790673
AC,AC,ENSMUSG00000028399,Ptprd,0.4409694713740846
AC,AC,ENSMUSG00000004383,Large1,0.4376305563583633
AC,AC,ENSMUSG00000039114,Nrn1,0.43757309931182176
AC,AC,ENSMUSG00000032011,Thy1,0.4229554455007948
AC,AC,ENSMUSG00000056494,Cngb3,0.4094664707106328
AC,AC,ENSMUSG00000015090,Ptgds,0.39508167080337026
AC,AC,ENSMUSG00000031137,Fgf13,0.38844741652619796
AC,AC,ENSMUSG00000047907,Tshz2,0.38323593815498674
AC,AC,ENSMUSG00000025889,Snca,0.37897400843723517
AC,AC,ENSMUSG00000022376,Adcy8,0.37670194991887285
AC,AC,ENSMUSG00000034647,Ankrd12,0.36474296854641486
AC,AC,ENSMUSG00000039385,Cdh6,0.3627951839767436
AC,AC,ENSMUSG00000092341,Malat1,-0.9957209251170571
AC,AC,ENSMUSG00000066392,Nrxn3,-0.6213314197017119
AC,AC,ENSMUSG00000033981,Gria2,-0.47935019275954627
AC,AC,ENSMUSG00000027827,Kcnab1,-0.454970821337612
AC,AC,ENSMUSG00000020704,Asic2,-0.44355355362272353
AC,AC,ENSMUSG00000025927,Tfap2b,-0.4387032301830117
AC,AC,ENSMUSG00000016559,H3f3b,-0.4315702707234514
AC,AC,ENSMUSG00000021359,Tfap2a,-0.42469894270252695
AC,AC,ENSMUSG00000022748,Cmss1,-0.41216667867782975
AC,AC,ENSMUSG00000064341,mt-Nd1,-0.4050118426778455
AC,AC,ENSMUSG00000033307,Mif,-0.39230760271350185
AC,AC,ENSMUSG00000020181,Nav3,-0.39143561911280333
AC,AC,ENSMUSG00000028524,Sgip1,-0.3884531070849522
AC,AC,ENSMUSG00000019888,Mgat4c,-0.38373942269973144
AC,AC,ENSMUSG00000071866,Ppia,-0.3820738211660572
AC,AC,ENSMUSG00000070866,Zfp804a,-0.3789644555537625
AC,AC,ENSMUSG00000110246,C130073E24Rik,-0.37025952455789485
AC,AC,ENSMUSG00000046159,Chrm3,-0.3676195323241973
AC,AC,ENSMUSG00000071424,Grid2,-0.35913995716764274
AC,AC,ENSMUSG00000025551,Fgf14,-0.3563903335239527
AC,AC_1,ENSMUSG00000031558,Slit2,1.076322836224485
AC,AC_1,ENSMUSG00000029838,Ptn,1.023199603715344
AC,AC_1,ENSMUSG00000025128,Bhlhe22,0.9462062920652987
AC,AC_1,ENSMUSG00000047161,Chst9,0.9090260554300755
AC,AC_1,ENSMUSG00000092094,Zfp804b,0.89104043537516
AC,AC_1,ENSMUSG00000006586,Runx1t1,0.7351831856329394
AC,AC_1,ENSMUSG00000030717,Nupr1,0.7100962636068837
AC,AC_1,ENSMUSG00000040118,Cacna2d1,0.7009653879295797
AC,AC_1,ENSMUSG00000049336,Tenm2,0.6650363496648956
AC,AC_1,ENSMUSG00000045083,Lingo2,0.6630406882340572
AC,AC_1,ENSMUSG00000008658,Rbfox1,0.5968581913636553
AC,AC_1,ENSMUSG00000022037,Clu,0.5934022366066632
AC,AC_1,ENSMUSG00000048078,Tenm4,0.5847072262607929
AC,AC_1,ENSMUSG00000026473,Glul,0.5730591405623758
AC,AC_1,ENSMUSG00000024642,Tle4,0.5599762960345951
AC,AC_1,ENSMUSG00000031561,Tenm3,0.5569140463784731
AC,AC_1,ENSMUSG00000051401,Kctd16,0.5354612223089362
AC,AC_1,ENSMUSG00000059003,Grin2a,0.5282634674632238
AC,AC_1,ENSMUSG00000029821,Gsdme,0.5133426916521308
AC,AC_1,ENSMUSG00000025551,Fgf14,0.49722438708110345
AC,AC_1,ENSMUSG00000055435,Maf,-1.7898839501231396
AC,AC_1,ENSMUSG00000078307,AI593442,-1.2698708941066745
AC,AC_1,ENSMUSG00000029108,Pcdh7,-1.1336634146130393
AC,AC_1,ENSMUSG00000090223,Pcp4,-1.0783658306088342
AC,AC_1,ENSMUSG00000046314,Stxbp6,-1.0781892572141927
AC,AC_1,ENSMUSG00000039717,Ralyl,-0.9224481338326778
AC,AC_1,ENSMUSG00000019888,Mgat4c,-0.9000465717343307
AC,AC_1,ENSMUSG00000070695,Cntnap5a,-0.8821175291982049
AC,AC_1,ENSMUSG00000029088,Kcnip4,-0.8579944570689
AC,AC_1,ENSMUSG00000055026,Gabrg3,-0.8129357084237309
AC,AC_1,ENSMUSG00000058997,Vwa8,-0.7519749903308698
