Cell,Subclass,Ensembl,Gene,Coefficient
BC,BC,ENSMUSG00000002985,Apoe,1.1416275398492635
BC,BC,ENSMUSG00000052305,Hbb-bs,0.8304597097150342
BC,BC,ENSMUSG00000026473,Glul,0.8002137746847995
BC,BC,ENSMUSG00000069919,Hba-a1,0.7356561592541275
BC,BC,ENSMUSG00000069917,Hba-a2,0.7034288634665952
BC,BC,ENSMUSG00000027447,Cst3,0.6188502862412286
BC,BC,ENSMUSG00000073940,Hbb-bt,0.5207951950080743
BC,BC,ENSMUSG00000018593,Sparc,0.413018473260795
BC,BC,ENSMUSG00000049775,Tmsb4x,0.36967260828041204
BC,BC,ENSMUSG00000063524,Eno1,0.346771178797036
BC,BC,ENSMUSG00000052613,Pcdh15,0.3446443796169856
BC,BC,ENSMUSG00000039194,Rlbp1,0.3389716006776817
BC,BC,ENSMUSG00000020704,Asic2,0.3353405333348766
BC,BC,ENSMUSG00000022037,Clu,0.33229757845646085
BC,BC,ENSMUSG00000024661,Fth1,0.3174632546130756
BC,BC,ENSMUSG00000032883,Acsl3,0.31257371538418005
BC,BC,ENSMUSG00000026385,Dbi,0.31034681186994445
BC,BC,ENSMUSG00000029838,Ptn,0.30576148643409984
BC,BC,ENSMUSG00000052387,Trpm3,0.29633576272046075
BC,BC,ENSMUSG00000015090,Ptgds,0.29472819821840807
BC,BC,ENSMUSG00000066392,Nrxn3,-0.4609410492514662
BC,BC,ENSMUSG00000092341,Malat1,-0.4123465048500626
BC,BC,ENSMUSG00000056158,Car10,-0.36592126004469405
BC,BC,ENSMUSG00000090223,Pcp4,-0.3470722679699741
BC,BC,ENSMUSG00000064351,mt-Co1,-0.3391924155906235
BC,BC,ENSMUSG00000072235,Tuba1a,-0.33366107144452933
BC,BC,ENSMUSG00000109394,A230057D06Rik,-0.33244434463939265
BC,BC,ENSMUSG00000004630,Pcp2,-0.2840977067775693
BC,BC,ENSMUSG00000064358,mt-Co3,-0.2784841633405403
BC,BC,ENSMUSG00000022935,Grik1,-0.27613585761035186
BC,BC,ENSMUSG00000037161,Mgarp,-0.27300728617007813
BC,BC,ENSMUSG00000029108,Pcdh7,-0.2725178745424329
BC,BC,ENSMUSG00000064370,mt-Cytb,-0.270684387845941
BC,BC,ENSMUSG00000034912,Mdga2,-0.25452350394931494
BC,BC,ENSMUSG00000022311,Csmd3,-0.2484591843342862
BC,BC,ENSMUSG00000035864,Syt1,-0.23826343014225146
BC,BC,ENSMUSG00000021314,Amph,-0.23784876685863748
BC,BC,ENSMUSG00000032249,Anp32a,-0.23634649552812967
BC,BC,ENSMUSG00000022876,Samsn1,-0.2351792824270909
BC,BC,ENSMUSG00000005649,Cabp5,-0.23227882740699038
BC,BC1A,ENSMUSG00000035566,Pcdh17,1.0830352598953046
BC,BC1A,ENSMUSG00000031558,Slit2,0.6637729834811478
BC,BC1A,ENSMUSG00000017723,Wfdc2,0.4816048277871341
BC,BC1A,ENSMUSG00000057132,Rpgrip1,0.4779369935554227
BC,BC1A,ENSMUSG00000021743,Fezf2,0.434666830247129
BC,BC1A,ENSMUSG00000075330,A930003A15Rik,0.41414787600934067
BC,BC1A,ENSMUSG00000026109,Tmeff2,0.3837964412366793
BC,BC1A,ENSMUSG00000010803,Gabra1,0.37893792821131084
BC,BC1A,ENSMUSG00000022836,Mylk,0.3334987871693533
BC,BC1A,ENSMUSG00000054920,Klhl5,0.3225915744154482
BC,BC1A,ENSMUSG00000029212,Gabrb1,0.3160525555834803
BC,BC1A,ENSMUSG00000046743,Fat4,0.30450414874868825
BC,BC1A,ENSMUSG00000096914,Galntl6,0.30403904069554244
BC,BC1A,ENSMUSG00000030428,Ttyh1,0.2902829542234115
BC,BC1A,ENSMUSG00000053477,Tcf4,0.2880081203801865
BC,BC1A,ENSMUSG00000028172,Tacr3,0.27071582033933284
BC,BC1A,ENSMUSG00000038388,Pals2,0.2622472329415905
BC,BC1A,ENSMUSG00000055865,Tafa3,0.2512658720919114
BC,BC1A,ENSMUSG00000057897,Camk2b,0.25038598106729987
BC,BC1A,ENSMUSG00000021268,Meg3,0.24986730859630088
BC,BC1A,ENSMUSG00000046178,Nxph1,-0.4990966042076239
BC,BC1A,ENSMUSG00000005649,Cabp5,-0.4925193730874551
BC,BC1A,ENSMUSG00000025739,Gng13,-0.47449644676577246
BC,BC1A,ENSMUSG00000030206,Gsg1,-0.44527578301388704
BC,BC1A,ENSMUSG00000050711,Scg2,-0.43762875142770663
BC,BC1A,ENSMUSG00000022935,Grik1,-0.4290928010869455
BC,BC1A,ENSMUSG00000059857,Ntng1,-0.41115093493996774
BC,BC1A,ENSMUSG00000010175,Prox1,-0.3945759990176979
BC,BC1A,ENSMUSG00000036510,Cdh8,-0.374191624164114
BC,BC1A,ENSMUSG00000056596,Trnp1,-0.34371364393189796
BC,BC1A,ENSMUSG00000004630,Pcp2,-0.33562490878733764
BC,BC1A,ENSMUSG00000024084,Qpct,-0.329294548488488
BC,BC1A,ENSMUSG00000092094,Zfp804b,-0.3182194921810383
BC,BC1A,ENSMUSG00000020326,Ccng1,-0.305904412288994
BC,BC1A,ENSMUSG00000008575,Nfib,-0.29628667695123456
BC,BC1A,ENSMUSG00000037593,Rskr,-0.27625999535182444
BC,BC1A,ENSMUSG00000025255,Zfhx4,-0.266111261575194
BC,BC1A,ENSMUSG00000067786,Nnat,-0.26509693711614246
BC,BC1A,ENSMUSG00000055421,Pcdh9,-0.2647102844779093
BC,BC1A,ENSMUSG00000035486,Plk5,-0.26436150464354197
