Cell,Subclass,Ensembl,Gene,Coefficient
RGC,45,ENSMUSG00000026247,Ecel1,1.859562090113101
RGC,45,ENSMUSG00000049723,Mmp12,1.6484903245772407
RGC,45,ENSMUSG00000030785,Cox6a2,1.5829435151097744
RGC,45,ENSMUSG00000028121,Bcar3,1.5306228984359642
RGC,45,ENSMUSG00000053007,Creb5,1.4320162168496102
RGC,45,ENSMUSG00000096883,Shisa8,1.421183130225242
RGC,45,ENSMUSG00000103428,Gm20754,1.4186755329959162
RGC,45,ENSMUSG00000033400,Agl,1.3875281844300056
RGC,45,ENSMUSG00000020423,Btg2,1.386606540644906
RGC,45,ENSMUSG00000039714,Cplx3,1.258651484471684
RGC,45,ENSMUSG00000052920,Prkg1,1.2552953732103065
RGC,45,ENSMUSG00000059049,Frem1,1.2224128277222077
RGC,45,ENSMUSG00000026728,Vim,1.211711510575046
RGC,45,ENSMUSG00000115756,Gm49519,1.2083685503906796
RGC,45,ENSMUSG00000025350,Rdh5,1.186265546694932
RGC,45,ENSMUSG00000028640,Tfap2c,1.1657968837182562
RGC,45,ENSMUSG00000039735,Fnbp1l,1.160362573115483
RGC,45,ENSMUSG00000029088,Kcnip4,1.1424444426975
RGC,45,ENSMUSG00000066705,Fxyd6,1.1351856970518783
RGC,45,ENSMUSG00000038642,Ctss,1.115085163912327
