Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Hcn1,AC,AC,ENSMUSG00000021730,Hcn1,0.2324095936765196
Tac2,AC,AC,ENSMUSG00000025400,Tac2,0.3044613729568932
Ptgds,AC,AC,ENSMUSG00000015090,Ptgds,0.2070213849391252
Kcnip4,AC,AC,ENSMUSG00000029088,Kcnip4,0.2398914842176624
Car10,AC,AC,ENSMUSG00000056158,Car10,0.4177015079343672
Stmn2,AC,AC,ENSMUSG00000027500,Stmn2,0.235801159504292
Otx2os1,AC,AC,ENSMUSG00000098682,Otx2os1,0.28100705124839
Ctnna2,AC,AC,ENSMUSG00000063063,Ctnna2,0.2488133180130109
Dmd,AC,AC,ENSMUSG00000045103,Dmd,0.2571999994607542
Snca,AC,AC,ENSMUSG00000025889,Snca,0.1868536232617239
Zfp804b,AC,AC,ENSMUSG00000092094,Zfp804b,0.5758793705497713
Ptprd,AC,AC,ENSMUSG00000028399,Ptprd,0.2073569109917396
Galntl6,AC,AC,ENSMUSG00000096914,Galntl6,0.2006249267125633
Pam,AC,AC,ENSMUSG00000026335,Pam,0.1790374442793864
Unc5d,AC,AC_1,ENSMUSG00000063626,Unc5d,0.4574474915637755
Filip1l,AC,AC_1,ENSMUSG00000043336,Filip1l,0.3738112056245433
Chst9,AC,AC_1,ENSMUSG00000047161,Chst9,0.6999332496454238
Fgf14,AC,AC_1,ENSMUSG00000025551,Fgf14,0.4135538785411775
Ptn,AC,AC_1,ENSMUSG00000029838,Ptn,0.8634078077784331
Tenm4,AC,AC_1,ENSMUSG00000048078,Tenm4,0.3767945664476502
Bhlhe22,AC,AC_1,ENSMUSG00000025128,Bhlhe22,0.750527324649728
Tenm2,AC,AC_1,ENSMUSG00000049336,Tenm2,0.5796694669720939
Cacna2d1,AC,AC_1,ENSMUSG00000040118,Cacna2d1,0.6094084101140824
Slit2,AC,AC_1,ENSMUSG00000031558,Slit2,0.8141313909237414
Stmn1,AC,AC_1,ENSMUSG00000028832,Stmn1,0.4149274190456083
Glul,AC,AC_1,ENSMUSG00000026473,Glul,0.4302621591218512
Lingo2,AC,AC_1,ENSMUSG00000045083,Lingo2,0.5977927002447476
Nrcam,AC,AC_1,ENSMUSG00000020598,Nrcam,0.3874763887998247
Tenm3,AC,AC_1,ENSMUSG00000031561,Tenm3,0.6587991109100418
Rbfox1,AC,AC_1,ENSMUSG00000008658,Rbfox1,0.5615316254518763
Runx1t1,AC,AC_1,ENSMUSG00000006586,Runx1t1,0.5246051788181436
Nrxn1,AC,AC_10,ENSMUSG00000024109,Nrxn1,0.3399566283081684
Tenm2,AC,AC_10,ENSMUSG00000049336,Tenm2,0.3280061910570641
Prkcb,AC,AC_10,ENSMUSG00000052889,Prkcb,0.3005645742983993
