Gene,Cell Type,Gene,Coefficient
Nckap5,AC,Nckap5,0.3643195475480677
Dlgap1,AC,Dlgap1,0.3431288745752166
C1ql1,AC,C1ql1,0.4416897527649976
Synpr,AC,Synpr,0.5936472906784561
Ptprk,AC,Ptprk,0.3898446517700137
Asic2,AC,Asic2,0.5613106251113942
Gria4,AC,Gria4,0.5002836713639363
Frmd5,AC,Frmd5,0.5577469117432072
Tfap2b,AC,Tfap2b,0.4856902354902104
Anks1b,AC,Anks1b,0.4505393387216083
Pcp4,AC,Pcp4,0.3436921679518496
Prkg1,AC,Prkg1,0.3482928937180243
Creb5,Astrocyte,Creb5,0.3201515158167457
Csrp1,Astrocyte,Csrp1,0.1635212787974172
S100b,Astrocyte,S100b,0.2426588003663
Mlc1,Astrocyte,Mlc1,0.1576760806188192
Dnajb1,Astrocyte,Dnajb1,0.177772691105202
Hspa1a,Astrocyte,Hspa1a,0.4275818109864052
Fos,Astrocyte,Fos,0.3082817803571563
Fosb,Astrocyte,Fosb,0.2965716545857411
Junb,Astrocyte,Junb,0.1694271413141224
Gfap,Astrocyte,Gfap,0.2603657537934278
Ppp1r15a,Astrocyte,Ppp1r15a,0.1608687263320728
Egr1,Astrocyte,Egr1,0.1873363387578565
Eftud2,Astrocyte,Eftud2,0.4056064131040732
Zswim6,Astrocyte,Zswim6,0.1640421040518456
Aldoc,Astrocyte,Aldoc,0.1715274790647063
Vcl,Astrocyte,Vcl,0.2906782868278315
Ccn1,Astrocyte,Ccn1,0.2171485780477278
Wwtr1,Astrocyte,Wwtr1,0.1877854859248605
Atf3,Astrocyte,Atf3,0.2270114608110778
Ptprz1,BC,Ptprz1,0.3810561430567327
Ttyh1,BC,Ttyh1,0.4074811716216924
Bsg,BC,Bsg,0.5659872426962822
Trpm1,BC,Trpm1,0.5551393032512364
Samsn1,BC,Samsn1,0.7613858877934143
Scg2,BC,Scg2,0.4224465976990766
Zfp804b,BC,Zfp804b,0.8033635631644225
Grm5,BC,Grm5,0.4288259964146793
Slit2,BC,Slit2,0.5273457514922035
Tenm3,BC,Tenm3,0.3985618209720733
Gm20754,BC,Gm20754,0.5233154126556463
Pcdh9,BC,Pcdh9,0.782237267589547
Grik1,BC,Grik1,0.5098688967569986
Gnat2,Cone,Gnat2,0.2486441457490542
Gm32442,Cone,Gm32442,0.1182058953880906
Gngt2,Cone,Gngt2,0.2702110112761817
Gnb3,Cone,Gnb3,0.1606836649817723
Pde6h,Cone,Pde6h,0.4539442070274165
Pde6c,Cone,Pde6c,0.2667070911508414
Pcdh15,Cone,Pcdh15,0.1968524818530527
Pals2,Cone,Pals2,0.1065525646364776
Opn1sw,Cone,Opn1sw,0.2375878997815418
Opn1mw,Cone,Opn1mw,0.3837613632508393
Mylk,Cone,Mylk,0.1657753151207008
Arr3,Cone,Arr3,0.4552001249308711
Lrfn2,Cone,Lrfn2,0.1310359412358581
Rbp3,Cone,Rbp3,0.1557548559697009
Cdh18,Cone,Cdh18,0.2755231539659488
Cngb3,Cone,Cngb3,0.3085011185254799
Rtbdn,Cone,Rtbdn,0.104211278244896
Slc24a2,Cone,Slc24a2,0.1582134324968213
Plcb1,Endothelial,Plcb1,0.1561815301596018
Pltp,Endothelial,Pltp,0.1767538070893561
Itm2a,Endothelial,Itm2a,0.1892570865635515
Klf2,Endothelial,Klf2,0.1469265300714739
Adgrl4,Endothelial,Adgrl4,0.1725001610171032
Ly6c1,Endothelial,Ly6c1,0.2163119358695801
Igfbp7,Endothelial,Igfbp7,0.1392507190425582
Slco1a4,Endothelial,Slco1a4,0.1443994615205768
Mecom,Endothelial,Mecom,0.1451946162766271
Ctla2a,Endothelial,Ctla2a,0.1403429511497177
Tm4sf1,Endothelial,Tm4sf1,0.1242595915226995
Ly6a,Endothelial,Ly6a,0.165822988201259
Id1,Endothelial,Id1,0.1313892664253707
Cldn5,Endothelial,Cldn5,0.3355066066767334
Arl15,Endothelial,Arl15,0.1385628907762308
Bsg,Endothelial,Bsg,0.1352335373528287
Flt1,Endothelial,Flt1,0.2718145978524842
Ptprb,Endothelial,Ptprb,0.1523495104461062
Ptprm,Endothelial,Ptprm,0.1499148757788284
Hs6st3,HC,Hs6st3,0.2117391810341484
Vim,HC,Vim,0.3292973521404357
Nebl,HC,Nebl,0.2553150562969491
Frmpd4,HC,Frmpd4,0.1786936061428043
Thsd7b,HC,Thsd7b,0.2810561477863308
Megf11,HC,Megf11,0.1792759914242948
Ndrg1,HC,Ndrg1,0.2367914011669288
Chgb,HC,Chgb,0.2161238406147758
Utrn,HC,Utrn,0.2141979704159135
Egfem1,HC,Egfem1,0.1811207007486791
Ryr3,HC,Ryr3,0.1270659087698142
Rgs3,HC,Rgs3,0.1429392746551599
Calb1,HC,Calb1,0.4203549619344618
C1ql1,HC,C1ql1,0.1433284213634296
Dock4,HC,Dock4,0.1825578323739567
Galnt18,HC,Galnt18,0.1460489861650157
Vwc2,HC,Vwc2,0.1646771379181266
Arhgap15,HC,Arhgap15,0.2164455186986144
Rbms3,HC,Rbms3,0.1272828099842305
Rlbp1,MG,Rlbp1,0.3341100473997757
Spc25,MG,Spc25,0.2457482098682908
Prdx6,MG,Prdx6,0.4769668525976343
Abca8a,MG,Abca8a,0.2349125607924452
Dbi,MG,Dbi,0.4062636059531125
Glul,MG,Glul,0.7132772370860021
Acsl3,MG,Acsl3,0.3521188868606665
Clu,MG,Clu,0.5196942760213528
Aqp4,MG,Aqp4,0.346058551494766
Col9a1,MG,Col9a1,0.3614253612336667
Gng5,MG,Gng5,0.3287613647109649
Gpr37,MG,Gpr37,0.3429042076599247
Mfge8,MG,Mfge8,0.2724434087384303
Il33,MG,Il33,0.3180823733272861
Dkk3,MG,Dkk3,0.311583896376605
Hexb,Microglia,Hexb,0.2055977053790351
C1qa,Microglia,C1qa,0.2441115845149077
C1qb,Microglia,C1qb,0.2839479191911871
C1qc,Microglia,C1qc,0.1875725677541699
Trem2,Microglia,Trem2,0.1305327081195119
Ctsz,Microglia,Ctsz,0.1346265318065633
Selenop,Microglia,Selenop,0.1400295030125397
Laptm5,Microglia,Laptm5,0.1512799258574319
Ly86,Microglia,Ly86,0.1280520624346968
Ctss,Microglia,Ctss,0.328744365767676
Tmsb4x,Microglia,Tmsb4x,0.2671956727939761
Dlc1,Pericyte,Dlc1,0.1756399564674385
Ebf1,Pericyte,Ebf1,0.1309673231653215
Mylk,Pericyte,Mylk,0.1415103523206205
Crip1,Pericyte,Crip1,0.131218570320981
Rgs5,Pericyte,Rgs5,0.3126144366114089
Sparcl1,Pericyte,Sparcl1,0.1598497478137778
Cald1,Pericyte,Cald1,0.2546800636508107
Rbms3,Pericyte,Rbms3,0.1294243369755106
Ndufa4l2,Pericyte,Ndufa4l2,0.1565391535281974
Pde3a,Pericyte,Pde3a,0.1455430457044689
Myl9,Pericyte,Myl9,0.2816400357871104
Mgp,Pericyte,Mgp,0.2311640201596133
Mfge8,Pericyte,Mfge8,0.1925890025974613
Vtn,Pericyte,Vtn,0.2148684294169163
Pdgfrb,Pericyte,Pdgfrb,0.127625641968144
Plcl1,Pericyte,Plcl1,0.1626858588324577
Igfbp7,Pericyte,Igfbp7,0.2612715258381809
Atp1a2,Pericyte,Atp1a2,0.1504559516285227
Gngt1,RGC,Gngt1,0.6870830089821438
Thy1,RGC,Thy1,0.6954747869860256
Nefm,RGC,Nefm,0.4798636114225074
Stmn2,RGC,Stmn2,0.4749298019925905
Nrn1,RGC,Nrn1,0.479246348298218
Rbfox1,RGC,Rbfox1,0.5210826768146625
Hmgn1,RGC,Hmgn1,0.5262449300439853
Rbpms,RGC,Rbpms,0.999984022126286
Rbms3,RGC,Rbms3,0.7614603749891341
Ebf1,RGC,Ebf1,0.7118362300101682
Kctd16,RGC,Kctd16,0.6263580279880877
Il1rapl1,RGC,Il1rapl1,0.4781931472483109
Kcnd2,RGC,Kcnd2,0.5376947569147971
Galntl6,RGC,Galntl6,0.6664815339368044
Rbp1,RPE,Rbp1,0.2179618781849978
Timp3,RPE,Timp3,0.1044844669052939
Trf,RPE,Trf,0.2536551176121612
Rpe65,RPE,Rpe65,0.3569518365394733
Vtn,RPE,Vtn,0.1005795374224581
Rgr,RPE,Rgr,0.2360685208772956
Mt3,RPE,Mt3,0.0987818233030022
Rdh5,RPE,Rdh5,0.1954253183393149
Slc16a8,RPE,Slc16a8,0.1581490054830753
Slc16a1,RPE,Slc16a1,0.1653081325936186
Col8a1,RPE,Col8a1,0.1035922138186991
Ctsd,RPE,Ctsd,0.1029142337358774
Calb2,Rod,Calb2,0.3247491183282402
Rho,Rod,Rho,0.5386637185116973
Cmss1,Rod,Cmss1,0.5440447069408286
Sag,Rod,Sag,0.3489407217310809
Dmd,Rod,Dmd,0.2701235643975956
Rp1,Rod,Rp1,0.2725084134980423
