Name,Marker,Parent_Name,MajorMinor,Set,Original_Marker,Original_Name,Original_Parent_Name
AC,Nckap5,AC,Major,Query,Nckap5,AC,AC
AC,Dlgap1,AC,Major,Query,Dlgap1,AC,AC
AC,C1ql1,AC,Major,Query,C1ql1,AC,AC
AC,Synpr,AC,Major,Query,Synpr,AC,AC
AC,Ptprk,AC,Major,Query,Ptprk,AC,AC
AC,Asic2,AC,Major,Query,Asic2,AC,AC
AC,Gria4,AC,Major,Query,Gria4,AC,AC
AC,Frmd5,AC,Major,Query,Frmd5,AC,AC
AC,Tfap2b,AC,Major,Query,Tfap2b,AC,AC
AC,Anks1b,AC,Major,Query,Anks1b,AC,AC
AC,Pcp4,AC,Major,Query,Pcp4,AC,AC
AC,Prkg1,AC,Major,Query,Prkg1,AC,AC
ASTROCYTE,Creb5,ASTROCYTE,Major,Query,Creb5,Astrocyte,Astrocyte
ASTROCYTE,Csrp1,ASTROCYTE,Major,Query,Csrp1,Astrocyte,Astrocyte
ASTROCYTE,S100b,ASTROCYTE,Major,Query,S100b,Astrocyte,Astrocyte
ASTROCYTE,Mlc1,ASTROCYTE,Major,Query,Mlc1,Astrocyte,Astrocyte
ASTROCYTE,Dnajb1,ASTROCYTE,Major,Query,Dnajb1,Astrocyte,Astrocyte
ASTROCYTE,Hspa1a,ASTROCYTE,Major,Query,Hspa1a,Astrocyte,Astrocyte
ASTROCYTE,Fos,ASTROCYTE,Major,Query,Fos,Astrocyte,Astrocyte
ASTROCYTE,Fosb,ASTROCYTE,Major,Query,Fosb,Astrocyte,Astrocyte
ASTROCYTE,Junb,ASTROCYTE,Major,Query,Junb,Astrocyte,Astrocyte
ASTROCYTE,Gfap,ASTROCYTE,Major,Query,Gfap,Astrocyte,Astrocyte
ASTROCYTE,Ppp1r15a,ASTROCYTE,Major,Query,Ppp1r15a,Astrocyte,Astrocyte
ASTROCYTE,Egr1,ASTROCYTE,Major,Query,Egr1,Astrocyte,Astrocyte
ASTROCYTE,Eftud2,ASTROCYTE,Major,Query,Eftud2,Astrocyte,Astrocyte
ASTROCYTE,Zswim6,ASTROCYTE,Major,Query,Zswim6,Astrocyte,Astrocyte
ASTROCYTE,Aldoc,ASTROCYTE,Major,Query,Aldoc,Astrocyte,Astrocyte
ASTROCYTE,Vcl,ASTROCYTE,Major,Query,Vcl,Astrocyte,Astrocyte
ASTROCYTE,Ccn1,ASTROCYTE,Major,Query,Ccn1,Astrocyte,Astrocyte
ASTROCYTE,Wwtr1,ASTROCYTE,Major,Query,Wwtr1,Astrocyte,Astrocyte
ASTROCYTE,Atf3,ASTROCYTE,Major,Query,Atf3,Astrocyte,Astrocyte
BC,Ptprz1,BC,Major,Query,Ptprz1,BC,BC
BC,Ttyh1,BC,Major,Query,Ttyh1,BC,BC
BC,Bsg,BC,Major,Query,Bsg,BC,BC
