Name,Marker,MajorMinor,Set,Original_Marker,Original_Name
AC,Nckap5,Major,Query,Nckap5,AC
AC,Dlgap1,Major,Query,Dlgap1,AC
AC,C1ql1,Major,Query,C1ql1,AC
AC,Synpr,Major,Query,Synpr,AC
AC,Ptprk,Major,Query,Ptprk,AC
AC,Asic2,Major,Query,Asic2,AC
AC,Gria4,Major,Query,Gria4,AC
AC,Frmd5,Major,Query,Frmd5,AC
AC,Tfap2b,Major,Query,Tfap2b,AC
AC,Anks1b,Major,Query,Anks1b,AC
AC,Pcp4,Major,Query,Pcp4,AC
AC,Prkg1,Major,Query,Prkg1,AC
ASTROCYTE,Creb5,Major&Minor,Query,Creb5,Astrocyte
ASTROCYTE,Csrp1,Major&Minor,Query,Csrp1,Astrocyte
ASTROCYTE,S100b,Major&Minor,Query,S100b,Astrocyte
ASTROCYTE,Mlc1,Major&Minor,Query,Mlc1,Astrocyte
ASTROCYTE,Dnajb1,Major&Minor,Query,Dnajb1,Astrocyte
ASTROCYTE,Hspa1a,Major&Minor,Query,Hspa1a,Astrocyte
ASTROCYTE,Fos,Major&Minor,Query,Fos,Astrocyte
ASTROCYTE,Fosb,Major&Minor,Query,Fosb,Astrocyte
ASTROCYTE,Junb,Major&Minor,Query,Junb,Astrocyte
ASTROCYTE,Gfap,Major&Minor,Query,Gfap,Astrocyte
ASTROCYTE,Ppp1r15a,Major&Minor,Query,Ppp1r15a,Astrocyte
ASTROCYTE,Egr1,Major&Minor,Query,Egr1,Astrocyte
ASTROCYTE,Eftud2,Major&Minor,Query,Eftud2,Astrocyte
ASTROCYTE,Zswim6,Major&Minor,Query,Zswim6,Astrocyte
ASTROCYTE,Aldoc,Major&Minor,Query,Aldoc,Astrocyte
ASTROCYTE,Vcl,Major&Minor,Query,Vcl,Astrocyte
ASTROCYTE,Ccn1,Major&Minor,Query,Ccn1,Astrocyte
ASTROCYTE,Wwtr1,Major&Minor,Query,Wwtr1,Astrocyte
