majorclass,Frmd5,Slit2,Zswim6,Mlc1,Gfap,Ppp1r15a,Fosb,Eftud2,Dnajb1,Csrp1,Creb5,S100b,Wwtr1,Vcl,Samsn1,Tenm3,Gm20754,Grik1,Grm5,Trpm1,Ptprz1,Slc24a2,Gnat2,Gm32442,Pde6c,Pals2,Opn1sw,Arr3,Rbp3,Opn1mw,Mylk,Lrfn2,Rtbdn,Cngb3,Gngt2,Pde6h,Id1,Itm2a,Ly6a,Ly6c1,Adgrl4,Plcb1,Ptprb,Tm4sf1,Mecom,Arl15,Ctla2a,Cldn5,Slco1a4,Ptprm,Pde3a,Rgs3,Ndrg1,Thsd7b,Tfap2b,Ryr3,Vwc2,Megf11,Egfem1,Calb1,Chgb,Arhgap15,Anks1b,Frmpd4,Hs6st3,Galnt18,Spc25,Col9a1,Aqp4,Ttyh1,Acsl3,Abca8a,Il33,Gpr37,Ctss,C1qc,Laptm5,C1qa,Cd74,Trem2,Ly86,Ctsz,C1qb,Hexb,Rbpms,Myl9,Plcl1,Atp1a2,Ndufa4l2,Pdgfrb,Ptprk,Rbms3,Thy1,Kcnd2,Il1rapl1,Nefm,Stmn2,Calb2,Galntl6,Nrn1,Nefl,Kctd16,Mt3,Slc16a1,Col8a1,Rpe65,Rdh5,Rbp1,Slc16a8,Rgr,Rp1,Rho,Epb41
AC,6.016793,1.8364563,0.3147268,0.0018713219,0.0031270776,0.07746288,0.14864698,0.18984069,0.2606062,0.024450298,0.0133947255,0.0496639,0.012262084,0.047620222,0.05641051,1.6740699,0.044049934,0.3607958,0.40189102,0.024204073,0.0822643,0.35806268,0.024401054,0.007903873,0.007854627,0.66156155,0.08512053,0.03001502,0.014502745,0.031812474,0.10304582,0.16319898,0.04419767,0.1771354,0.064240515,0.0927043,0.007189816,0.013345481,0.00014773595,0.00056632113,0.00066481176,0.9333957,0.006401891,0.0006894344,0.0013788688,0.54448086,0.00066481176,0.001649718,0.0009602837,0.53591216,1.5891464,0.18641815,0.036983233,0.113461204,3.7530594,0.22384459,0.61738855,0.14837614,0.5836555,0.4302317,1.8041514,0.09972177,3.9070988,0.23322581,2.4014478,0.41097677,0.021741807,0.010144535,0.010809347,0.29657993,0.38943195,0.002511511,0.002437643,0.08827223,0.0011080196,0.00056632113,0.00014773595,0.0008125477,0.000861793,0.00066481176,0.0028562283,0.09654544,0.00044320783,0.0698791,0.031566247,0.0033486814,0.41006574,0.0124344425,0.004604437,0.0006401891,2.5548224,0.4434787,1.1175486,0.43929285,1.5966562,0.14441189,1.0899712,2.7637455,1.9896092,0.0559673,0.42008716,1.1489178,0.20899712,0.037845027,0.04798956,0.00012311329,0.012212838,0.009947553,0.0009602837,0.00019698126,0.011597272,0.056312017,0.3412454
Astrocyte,0.21056548,0.20684524,5.0677085,8.595238,21.4814,6.0877976,10.199405,12.398066,6.473214,4.720982,7.1212797,18.64509,4.5565476,10.794642,0.03125,0.89657736,0.014880952,0.029017856,0.020833334,0.016369049,0.038690478,0.03348214,0.026785715,0.011904762,0.0014880953,0.11309524,0.05282738,0.019345239,0.1748512,0.02455357,0.12053572,0.011904762,0.118303575,0.008928572,0.084821425,0.114583336,3.4412203,0.03422619,0.0066964286,0.00074404763,0.00074404763,0.083333336,0.03348214,0.014880952,0.0014880953,0.63467264,0.0029761905,0.003720238,0.0014880953,0.75744045,0.10342262,0.30059522,0.43452382,0.013392857,0.09821428,0.03199405,0.027529761,0.01860119,0.23214285,0.05580357,0.16294643,0.03199405,0.2767857,0.17336309,0.14136904,0.27752978,0.53348213,0.29166666,0.042410713,1.2589285,1.0133928,0.0796131,0.03348214,0.04910714,0.6078869,0.41889882,0.12648809,0.54464287,0.19642857,0.20982143,0.10119048,1.0089285,0.53943455,0.8735119,0.7901786,0.30580357,1.6294643,3.7120535,0.1688988,0.008184524,1.9144346,0.8891369,0.421875,0.03497024,1.1041666,0.19494048,0.25,1.40625,0.1279762,0.22767857,0.49479166,0.13020833,2.8184524,0.3325893,0.14285715,0.0,0.069196425,0.3809524,0.0,0.023809524,0.109375,3.1681547,0.25520834
BC,0.4773812,5.18095,0.076111235,0.0016203197,0.0006276914,0.06727976,0.006546967,0.18168747,0.10167871,0.0053791692,0.013356689,0.033209253,0.0021823226,0.1040508,8.305437,6.821079,8.660295,10.755712,7.454113,9.718182,4.8353624,1.3735713,0.4392818,0.083847895,0.003196847,0.70667106,0.0038464346,0.0057587037,0.56213415,0.0074082185,0.15194511,0.466528,0.09635063,2.2632728,1.7564266,0.006977593,0.0026640391,0.01086782,0.00069338,0.0008393548,0.00037953435,0.8606744,0.05352894,0.00051821035,0.0011896942,0.6052697,0.00057660026,0.0010948105,0.0009780308,0.7439822,0.44768265,0.5941537,0.12135611,0.085460916,0.0019341654,2.6795197,0.114823736,0.0032041457,0.71747315,0.0029267936,2.6925552,0.35158747,1.2100868,0.21407926,0.0260127,0.0398803,0.010605065,0.0031822494,0.014904021,3.042508,0.28976718,0.0055762352,0.0028538064,0.06773958,0.0050507262,0.001415955,0.0007517699,0.0020509453,0.00089044595,0.0010802131,0.0007590687,0.17079045,0.002386687,0.036055762,0.0020363478,0.0014597474,3.1458871,0.0025253631,0.0007517699,0.00059119775,0.1866579,0.0636085,0.014787242,0.5200861,0.16582732,0.0035033938,0.0054010656,0.010772936,0.12672068,0.0022845047,0.008371652,0.70421135,0.3566455,0.03283702,0.1468214,0.00038683307,0.02514415,0.15363112,0.007254945,0.0020509453,0.012291074,0.049281076,1.6946793
Cone,1.8981462,0.007244833,0.3624547,0.0010654166,0.00042616663,0.08054549,0.07692308,0.2286384,0.15576391,0.0014915832,0.0012784998,0.006179416,0.09972299,0.24057107,0.34796506,0.27807373,0.006818666,0.008736416,0.006818666,0.010014916,0.007457916,6.142553,15.797784,5.611975,12.8022585,5.3954825,32.282124,43.65097,12.870019,43.174942,7.3004475,6.5054336,9.477306,23.211378,33.801834,60.825058,0.0023439166,0.015341999,0.0017046665,0.00021308332,0.0049009165,0.0059663327,0.0021308332,0.00042616663,0.00042616663,1.4721926,0.0017046665,0.0049009165,0.0031962497,0.012998083,0.41039845,0.012998083,0.025569998,0.0019177499,0.0063924994,0.029618582,0.0029831664,0.0010654166,0.0038354998,0.017259749,3.3567014,0.0017046665,0.022373749,0.0023439166,0.0031962497,0.0021308332,0.014063499,0.0021308332,0.0029831664,1.8233539,1.2740252,0.0038354998,0.0029831664,0.0038354998,0.002770083,0.0010654166,0.00021308332,0.0029831664,0.00085233327,0.00042616663,0.0006392499,0.22160664,0.0025569997,0.11378649,0.0059663327,0.0012784998,1.2951204,0.0025569997,0.0012784998,0.00042616663,0.011293416,0.059876412,0.0049009165,0.0038354998,0.002770083,0.010014916,0.010867249,0.039633498,0.013211166,0.06690816,0.03345408,0.013637332,0.017259749,1.0624334,0.00042616663,0.00085233327,0.012998083,0.008097166,0.0,0.00021308332,3.327296,0.6426593,7.0865116
Endothelial,1.745234,0.08318891,2.127383,0.009532062,0.012131716,2.218371,3.227903,0.32842287,1.4783362,0.8032929,0.081455804,0.0389948,2.662045,2.8448873,0.13691507,0.064124785,0.034662046,0.056325823,0.072790295,0.078856155,0.036395147,0.019930676,0.022530328,0.0043327557,0.016464472,0.097920276,0.030329289,0.020797227,0.025996534,0.016464472,0.6412478,0.010398613,0.012998267,0.011265164,0.18024263,0.043327555,6.305026,11.316291,10.196707,12.830156,12.423743,11.369151,8.524263,6.19844,8.891681,11.790295,4.916811,21.890814,9.806759,10.09792,0.6143848,0.897747,1.7131716,0.006932409,0.026863085,0.0389948,0.017331023,0.006932409,0.0051993066,0.01559792,0.049393415,0.08838821,0.041594453,0.030329289,0.00779896,0.42287695,0.07105719,0.008665511,0.006065858,0.055459272,0.2729636,0.03812825,0.012998267,0.009532062,0.10918544,0.06585789,0.045927208,0.110918544,0.33968803,0.025129983,0.051126517,0.69757366,0.09705373,0.29982668,3.5355287,2.4662044,2.1897748,3.245234,1.8466204,1.4991335,2.9107451,0.7616984,0.03119584,0.019930676,0.040727902,0.012998267,0.22010398,0.09272097,0.05372617,0.006065858,0.03986135,0.019064125,0.15511265,4.889948,0.21750434,0.54679376,0.5086655,0.9098787,0.14644714,1.1975737,0.08492201,0.17590988,0.7071057
HC,2.2142856,0.2857143,1.0952381,0.007936508,0.0,0.031746034,0.0,0.2936508,0.21428572,0.015873017,0.0,0.007936508,0.0,0.007936508,0.0,0.023809524,0.007936508,1.1349206,0.055555556,0.0,0.07936508,3.4444444,0.0,0.0,0.007936508,1.2460318,0.007936508,0.007936508,0.04761905,0.0,0.03968254,0.015873017,0.031746034,0.015873017,0.015873017,0.007936508,0.0,0.0,0.0,0.0,0.0,2.515873,0.007936508,0.007936508,0.0,0.96825397,0.0,0.0,0.0,0.015873017,10.777778,4.4444447,9.888889,17.468254,8.412699,6.3650794,5.8174605,4.7222223,9.023809,30.579365,15.380953,14.595238,10.976191,7.2936506,28.603174,5.9603176,0.015873017,0.0,0.023809524,0.37301588,0.515873,0.007936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.23809524,0.12698413,0.007936508,0.023809524,0.0,0.0,0.0,0.0,4.325397,0.14285715,0.07936508,0.06349207,1.1269841,3.8809524,0.9206349,0.08730159,0.1984127,2.1984127,0.04761905,0.055555556,0.11904762,0.0,0.0,0.023809524,0.0,0.0,0.0,0.023809524,0.3968254,0.34920636
MG,1.6138321,0.0940995,1.8699062,3.340275,0.5224322,0.23653425,1.2990102,0.25478855,0.21365213,1.090243,0.99511504,0.26378712,0.9403522,1.1827998,0.01992544,0.5915927,0.025453143,0.025710246,0.027767066,0.12688006,0.39645198,0.055277027,0.02211081,0.010541201,0.007970176,0.18678494,0.017740069,0.017611519,0.13215066,0.01876848,0.030080987,0.025967348,0.11183957,0.018254275,0.060547628,0.06646098,1.4392595,0.7872477,0.0033423319,0.0060419077,0.0033423319,0.12713717,0.007455971,0.0052706003,0.118781336,0.9350816,0.002828127,0.009769893,0.0037279855,0.31713587,0.21262373,0.1829284,0.30582336,0.02712431,0.012212367,0.01684021,0.00629901,0.007970176,0.022882119,0.01568325,0.057205297,0.007841625,0.052191798,0.21069546,0.114924796,1.7724643,14.464198,5.7279854,7.386682,4.9985857,15.540558,9.551742,4.0896,8.478853,0.0047563952,0.009769893,0.0012855122,0.00629901,0.00732742,0.002828127,0.0043707415,0.5050778,0.0060419077,0.1831855,0.39349532,0.3661139,0.23473454,0.7580666,0.15297596,0.39529502,0.081372924,0.1515619,0.1626173,0.025581695,2.870549,0.042293355,0.046664096,0.2353773,0.052191798,0.038822472,0.1304795,0.04370742,1.9618202,1.5264173,0.017997172,0.006556113,0.07224579,3.7869906,0.0023139222,0.098213136,0.24771821,1.8803188,0.8566654
Microglia,0.035996053,0.027613413,1.905161,0.08053912,0.21367522,2.3210058,0.9308021,0.121630505,3.1725838,0.104043394,1.4316239,0.17751479,0.06097962,0.12508218,0.9860289,0.025641026,0.014135437,0.013642341,0.015285996,0.021860618,0.0060815252,0.009368836,0.013806706,0.003616042,0.0027942143,0.22501643,0.034516767,0.013313609,0.065910585,0.013149244,0.0062458906,0.0034516766,0.051117685,0.0034516766,1.2789283,0.057034846,0.054733727,0.0042735045,0.047830373,0.0013149244,0.0,0.023339909,0.0013149244,0.0013149244,0.0006574622,0.60092044,0.019066405,0.0011505588,0.00082182774,0.55966467,0.019395135,0.23126233,0.012984878,0.0046022353,0.044378698,0.009040105,0.011505589,0.0491453,0.010190664,0.044049967,0.11028928,0.8836292,0.03813281,0.0343524,0.01627219,0.008711374,0.06065089,0.0070677185,0.009368836,0.048652202,0.05243261,0.012984878,0.02366864,0.011012492,34.362263,23.310486,6.5312295,32.000492,4.665023,8.535831,9.049146,7.9794545,30.511177,33.45562,0.9436226,0.0041091386,1.4158448,0.015285996,0.0046022353,0.008547009,0.018408941,0.013149244,0.26643655,0.010848126,0.017587114,0.13790269,0.18195266,1.1145627,0.039119,0.13198553,0.42192635,0.053418804,0.08530572,0.070512824,0.0009861933,0.0011505588,0.03550296,0.0142998025,0.00016436556,0.0006574622,0.03846154,1.3864233,0.23356344
Pericyte,0.11414392,0.052109182,0.56079406,0.0,0.0024813896,1.3870968,2.4243176,0.18362282,0.87344915,0.5707196,0.13647643,0.022332506,0.8883375,2.3349876,0.052109182,0.13151364,0.20595534,0.052109182,0.12158809,0.16873449,0.032258064,0.027295286,0.047146402,0.022332506,0.017369727,0.0719603,0.1191067,0.0719603,0.017369727,0.024813896,1.9156327,0.014888338,0.017369727,0.09677419,0.094292805,0.089330025,0.37468982,0.16377172,0.05707196,0.09181141,0.024813896,0.13647643,0.052109182,2.2456577,0.034739453,0.3995037,0.049627792,0.12655087,0.11414392,0.44168735,2.9057071,0.2878412,0.13647643,0.0,0.06947891,0.027295286,0.027295286,0.0024813896,0.007444169,0.012406948,0.11414392,0.1191067,0.13151364,0.014888338,0.06451613,0.14640199,0.029776676,0.0024813896,0.0024813896,0.052109182,0.16377172,0.084367245,0.009925558,0.012406948,0.012406948,0.017369727,0.004962779,0.007444169,0.004962779,0.004962779,0.0024813896,0.45905706,0.004962779,0.12903225,3.2531018,9.270472,7.9280396,8.488833,4.7394543,4.248139,5.724566,2.6153846,0.017369727,0.079404466,0.042183623,0.009925558,0.024813896,0.05955335,0.099255584,0.012406948,0.014888338,0.037220843,0.11662531,0.047146402,0.5136476,0.022332506,0.5459057,0.36476427,0.11166253,0.2580645,0.044665013,0.18858561,0.5955335
RGC,0.42797157,1.0054734,0.5051221,0.00062086433,0.00055551017,0.09572747,0.07523895,0.30922312,0.36936525,0.08420881,0.018854668,0.13283229,0.011306265,0.18315497,0.007711788,3.2724288,0.043738257,0.5597582,0.53923696,0.003986602,0.031876482,1.8978678,0.0012417287,0.009296626,0.0007188955,0.25876972,0.0016665305,0.0015194837,0.0043297117,0.0073523405,0.06651417,0.2009313,0.0675435,0.009018871,0.005195654,0.003087983,0.012221224,0.03859162,4.90156e-05,4.90156e-05,0.00080058817,2.6269748,0.011077526,0.00014704681,0.004068295,0.5569316,0.00045747898,3.2677068e-05,9.80312e-05,1.1764889,0.91979414,0.3332734,0.05452169,1.8247201,0.048950247,0.21343027,0.37840044,0.066938974,1.1857527,1.0188056,2.369447,0.017139122,2.623315,1.3432399,0.7406911,0.34240666,0.012351932,0.011665714,0.0041009723,0.4091169,0.9715873,0.0014541296,0.0013887754,0.12539825,0.011191896,0.005032269,0.0012417287,0.008365329,0.0038068786,0.0017645617,0.0041173105,0.73399234,0.012809411,0.22047219,6.022923,0.0031533372,0.22661547,0.0055714403,0.0051303,0.00050649454,0.05653133,2.9294176,17.041664,5.398889,5.365575,6.9545627,10.382877,58.920807,11.727081,8.270501,24.613985,8.064113,2.525529,0.11221305,0.002320072,0.000702557,0.030291643,0.120431334,0.00065354136,0.00014704681,0.0067641535,0.04414672,0.7817825
