Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Fth1,BC,BC,ENSMUSG00000024661,Fth1,0.3174632546130756
Pcdh15,BC,BC,ENSMUSG00000052613,Pcdh15,0.3446443796169856
Cst3,BC,BC,ENSMUSG00000027447,Cst3,0.6188502862412286
Trpm3,BC,BC,ENSMUSG00000052387,Trpm3,0.2963357627204607
Asic2,BC,BC,ENSMUSG00000020704,Asic2,0.3353405333348766
Apoe,BC,BC,ENSMUSG00000002985,Apoe,1.1416275398492637
Slit2,BC,BC1A,ENSMUSG00000031558,Slit2,0.6637729834811478
Gabra1,BC,BC1A,ENSMUSG00000010803,Gabra1,0.3789379282113108
Gabrb1,BC,BC1A,ENSMUSG00000029212,Gabrb1,0.3160525555834803
Tcf4,BC,BC1A,ENSMUSG00000053477,Tcf4,0.2880081203801865
Meg3,BC,BC1A,ENSMUSG00000021268,Meg3,0.2498673085963008
Galntl6,BC,BC1A,ENSMUSG00000096914,Galntl6,0.3040390406955424
Ttyh1,BC,BC1A,ENSMUSG00000030428,Ttyh1,0.2902829542234115
Rpgrip1,BC,BC1A,ENSMUSG00000057132,Rpgrip1,0.4779369935554227
Tmeff2,BC,BC1A,ENSMUSG00000026109,Tmeff2,0.3837964412366793
Adgrl3,BC,BC1B,ENSMUSG00000037605,Adgrl3,0.1701550126384333
Mdga2,BC,BC1B,ENSMUSG00000034912,Mdga2,0.170214654825996
Ntm,BC,BC1B,ENSMUSG00000059974,Ntm,0.1857536559795267
Cabp5,BC,BC1B,ENSMUSG00000005649,Cabp5,0.5111489773144485
Zfhx4,BC,BC1B,ENSMUSG00000025255,Zfhx4,0.1957560887934999
Cdh8,BC,BC1B,ENSMUSG00000036510,Cdh8,0.1666768481682191
Car2,BC,BC1B,ENSMUSG00000027562,Car2,0.3918583734053244
Nxph1,BC,BC1B,ENSMUSG00000046178,Nxph1,0.5437908113160511
Nrg3,BC,BC1B,ENSMUSG00000041014,Nrg3,0.1700430342115997
Mgat4c,BC,BC2,ENSMUSG00000019888,Mgat4c,0.295677070024813
Pcp4,BC,BC2,ENSMUSG00000090223,Pcp4,0.3218505536806569
Cdh8,BC,BC2,ENSMUSG00000036510,Cdh8,0.4098444277225204
Ebf1,BC,BC2,ENSMUSG00000057098,Ebf1,0.5027282947838861
Scg2,BC,BC2,ENSMUSG00000050711,Scg2,0.2944678020349935
Gria2,BC,BC2,ENSMUSG00000033981,Gria2,0.3014314354800845
Neto1,BC,BC2,ENSMUSG00000050321,Neto1,0.732853662431792
Galntl6,BC,BC2,ENSMUSG00000096914,Galntl6,0.4450617892613038
Tnnt1,BC,BC2,ENSMUSG00000064179,Tnnt1,0.3041943075506164
Zfhx4,BC,BC2,ENSMUSG00000025255,Zfhx4,0.2618813383049934
Nxph1,BC,BC2,ENSMUSG00000046178,Nxph1,0.4260996298077708
Pde1a,BC,BC2,ENSMUSG00000059173,Pde1a,0.2612196941385543
Erbb4,BC,BC3A,ENSMUSG00000062209,Erbb4,1.1382425097811302
Cntn5,BC,BC3A,ENSMUSG00000039488,Cntn5,0.5317405316027586
Ntng1,BC,BC3A,ENSMUSG00000059857,Ntng1,0.6473307357708137
Pcp2,BC,BC3A,ENSMUSG00000004630,Pcp2,0.5279244654972968
